en,hmr
"Adam, Seth, Enosh,","Adam, Seth, Enos;"
"Kenan, Mahalalel, Jared,","Kenan, Mahalalel, Jared;"
"Enoch, Methuselah, Lamech,","Enok, Methusela, Lamek;"
"Noah, Shem, Ham, and Japheth.","Noa, Sem, Ham le Japheth."
"The sons of Japheth: Gomer, and Magog, and Madai, and Javan, and Tubal, and Meshech, and Tiras.","Japheth naupasalhai chu; Gomer, Magog, Madai, Javan, Tubal, Mesek le Tira an nih."
"And the sons of Gomer: Ashkenaz, and Diphath, and Togarmah.","Gomer naupasalhai chu: Aske- naz, Diphath le Togarma an nih."
"And the sons of Javan: Elishah, and Tarshish, Kittim, and Rodanim.","Javan naupasalhai chu: Elisa, Tarsis, Kittim le Rodanim an nih."
"The sons of Ham: Cush, and Mizraim, Put, and Canaan.","Ham naupasalhai chu: Kus, Mizraim, Put le Kanaan an nih."
"And the sons of Cush: Seba, and Havilah, and Sabta, and Raama, and Sabteca. And the sons of Raamah: Sheba, and Dedan.","Chun, Kus naupasalhai chu: Seba, Havila, Sabta, Raama le Sabteka an nih. Raama naupasalhai chu: Seba le Dedan an nih."
And Cush begat Nimrod; he began to be a mighty one in the earth.,Kus chun Nimrod a nei a; hnuoia thilthawtheitak a hung ni ṭan tah a.
"And Mizraim begat Ludim, and Anamim, and Lehabim, and Naphtuhim,","Chun, Mizraim chun Ludim, Anamim, Lehabim, Naphtuhim,"
"and Pathrusim, and Casluhim (from whence came the Philistines), and Caphtorim.","Pathrusim, Kasluhim (Philistin mihai hung suokna chu) le Kaph- torim a nei a."
"And Canaan begat Sidon his first-born, and Heth,","Chun, Kanaan chun a nau lutirah Zidon a nei a, chun, Heth;"
"and the Jebusite, and the Amorite, and the Girgashite,","Chun, Jebus mihai, Amor mihai, Girgas mihai;"
"and the Hivite, and the Arkite, and the Sinite,","Hiv mihai, Ark mihai, Sin mihai;"
"and the Arvadite, and the Zemarite, and the Hamathite.","Arvad mihai, Zemar mihai le Hamath mihai a nei a."
"The sons of Shem: Elam, and Asshur, and Arpachshad, and Lud, and Aram, and Uz, and Hul, and Gether, and Meshech.","Sem naupasalhai chu: Elam, Assur, Arpaksad, Lud, Aram, Uz, Hul, Gether le Mesek an nih."
"And Arpachshad begat Shelah, and Shelah begat Eber.","Arpaksad chun Sela a nei a, Sela chun Eber a nei a."
