en,hmr
"Paul, called to be an apostle of Jesus Christ through the will of God, and Sosthenes our brother,","Paula, Pathien ditzâwnga Isu Krista tirko dinga ko le unaupa Sosthen chun:"
"unto the church of God which is at Corinth, even them that are sanctified in Christ Jesus, called to be saints, with all that call upon the name of our Lord Jesus Christ in every place, their Lord and ours:","Korintha Pathien kohran umhai, Krista Isua sukthieng, mi inthieng ni dinga kohai kuomah, ram tina ei Lalpa (anni le eini Lalpa) Isu Krista hming lamtuhai po po kuoma leh."
Grace to you and peace from God our Father and the Lord Jesus Christ.,Pathien ei Pa le Lalpa Isu Krista kuoma inthawkin lunginsietna le inremna in kuomah um raw se.
"I thank my God always concerning you, for the grace of God which was given you in Christ Jesus;",Krista Isua Pathien lunginsietna in kuoma pêka um lei khan in chungthuah Pathien kuomah lâwm- thu ka hril rawp hlak a nih.
"that in everything ye were enriched in him, in all utterance and all knowledge;","Iengkimah, thu hril tinrêng le hrietna tinrêngah amaa chun suk- hausaa in um thua khan;"
even as the testimony of Christ was confirmed in you:,"chuongchun, Krista thu inhriet- tira um kha nangnia sukdetin a um kha;"
so that ye come behind in no gift; waiting for the revelation of our Lord Jesus Christ;,"chuongchun, ei Lalpa Isu Krista inlârna nghâkin thilpêk hrim hrimah in hlawtling naw nawh a."
"who shall also confirm you unto the end, that ye be unreproveable in the day of our Lord Jesus Christ.",Ama chun ei Lalpa Isu Krista niah sawisêlboa in um theina dingin a tâwp chenin sukdet bawk a ti cheu.
"God is faithful, through whom ye were called into the fellowship of his Son Jesus Christ our Lord.",Pathien a Naupa ei Lalpa Isu Krista pâwlnaa ko lûttu cheu kha ring a um a nih.
"Now I beseech you, brethren, through the name of our Lord Jesus Christ, that ye all speak the same thing, and that there be no divisions among you; but that ye be perfected together in the same mind and in the same judgment.","Chun, unauhai, in rênga thu hmunkhat in hril a, nangni lai inṭhena hrim a um nawna dingin, lungril hmunkhat le ngaituo hmunkhata feltaka in inzawm tlat lemna dingin ei Lalpa Isu Krista hmingin ka ngên cheu."
"For it hath been signified unto me concerning you, my brethren, by them that are of the household of Chloe, that there are contentions among you.","Ka unauhai, in chungchâng thu chu, nangni lai insêlnahai a um ti Kloi sûnghai chun an mi hril a nih."
"Now this I mean, that each one of you saith, I am of Paul; and I of Apollos; and I of Cephas; and I of Christ.","Hi hi a nih ka ti chu: Mi tinin, “Kei Paula pâwl ka nih,” “Kei Appolo pâwl ka nih,” “Kei chu Kipha pâwl ka nih,” “Kei chu Krista pâwl ka nih,” in ti tâwl hi."
Is Christ divided? was Paul crucified for you? or were ye baptized into the name of Paul?,"Krista chu ṭhein a um am a nih? Paula in aia hemdein a um am a nih? Annawleh, Paula hminga baptis- in in um am a nih?"
"I thank God that I baptized none of you, save Crispus and Gaius;","Krispa le Gaia naw chu nangni lai tûkhawm ka baptis naw leiin Pathien kuomah lâwmthu ka hril hlak a nih,"
lest any man should say that ye were baptized into my name.,"chuong naw chun, keima hminga baptis in nih ti hril rawi an tih."
"And I baptized also the household of Stephanas: besides, I know not whether I baptized any other.","Stephan sûnghai ruok chu ka baptis bawk a, chuonghai naw chu mi dang ka baptis am ka hriet nawh."
"For Christ sent me not to baptize, but to preach the gospel: not in wisdom of words, lest the cross of Christ should be made void.","Krista chun baptis dingin a mi tir si nawh, Chanchin Ṭha chu hril dingin a mi tir lem a nih; thu vara hril loin; chuong naw chun, Krista kraws chu iengkhawm ni loin inchangtir rawi an tih."
For the word of the cross is to them that perish foolishness; but unto us who are saved it is the power of God.,"Kraws thu chu bohmang zinghai ta ding chun invêtna a ni sih a, eini sandam zinghai ta ding ruok chun Pathien thilthawtheina a ni lem."
"For it is written, I will destroy the wisdom of the wise, And the discernment of the discerning will I bring to nought.","“Mi var varna chu sukbohmang ka ta, Remhre remhrietna chu peithlâng ka tih,” ti ziek a ni sih a."
Where is the wise? where is the scribe? where is the disputer of this world? hath not God made foolish the wisdom of the world?,Mi var chu khâwlai am a um a? Dân hre mi khawm chu khâwlai am a um a? Hi khawvêla sêltu chu khâwlai am a um a? Pathienin khawvêl varna hi invêtthlâk a nih ti ân hriettir naw am a nih?
"For seeing that in the wisdom of God the world through its wisdom knew not God, it was God’s good pleasure through the foolishness of the preaching to save them that believe.",Pathien varnaa chun khawvêlin varna hmanga Pathien an hmu thei naw hnungin thu hril invêt hmanga a ringtuhai sandam chu Pathienin ṭha a ti hle sih a.
"Seeing that Jews ask for signs, and Greeks seek after wisdom:","Judahai chun inchikna an phût hlak, Grik mihai khawma varna an zawng bawk hlak;"
"but we preach Christ crucified, unto Jews a stumblingblock, and unto Gentiles foolishness;","keini ruok chun Krista hemdea um thu chu kan hril lem hlak a ni hi; chu chu Judahai ta dingin tlûkna, Jentailhai ta dingin invêtna a nih."
"but unto them that are called, both Jews and Greeks, Christ the power of God, and the wisdom of God.","Amiruokchu, Judahai khawm ni sienla, Grikhai khawm ni sienla, kohai ta ding chun Krista Pathien thilthawtheina le Pathien varna chu a nih."
Because the foolishness of God is wiser than men; and the weakness of God is stronger than men.,"Pathien invêtna chu mihriem varna nêkin a var lem a, Pathien hrâtnawna khawm mihriem hrâtna nêkin a hrât lem sih a."
"For behold your calling, brethren, that not many wise after the flesh, not many mighty, not many noble, are called:","Unauhai, a kona cheu hi ngaituo ta u, tisa tienga mi var tamtakhai, mi hrât tamtakhai, mi ṭha tamtakhai ko an ni naw zie hi;"
"but God chose the foolish things of the world, that he might put to shame them that are wise; and God chose the weak things of the world, that he might put to shame the things that are strong;","nisienlakhawm, Pathienin khawvêl thil invêthai chu a thlang lem a, mi varhai chu a sukmuolpho theina dingin;"
"and the base things of the world, and the things that are despised, did God choose, yea and the things that are not, that he might bring to nought the things that are:","chun, khawvêl thil sie le hmusitumhai, thil umnawhai chenin a thlang a, thil umsahai chu ieng- khawm ni loa a siem theina dingin;"
that no flesh should glory before God.,"chuongchun, Pathien hmaah mi tûkhawm insuong thei naw ni hai."
"But of him are ye in Christ Jesus, who was made unto us wisdom from God, and righteousness and sanctification, and redemption:","Nangni ruok chu ama zârah, Krista Isua chun in um a nih; ama chu Pathien kuoma inthawka ei ta dinga varnaa siem a nih, felnaa dâm, inthiengnaa dâm, intlannaa dâm leh."
"that, according as it is written, He that glorieth, let him glory in the Lord.","Chuongchun, an ziek ang khan, “A suong taphawt chun Lalpa chu suong raw seh.”"
"For I would not, brethren, have you ignorant, that our fathers were all under the cloud, and all passed through the sea;","Unauhai, hieng hi in hriet naw ka nuom nawh ie, khânga ei thlatuhai po po sûm hnuoiah an um vawng a, an rênga tuisuoriet khawm an kai vawng a;"
and were all baptized unto Moses in the cloud and in the sea;,"an rênga sûma le tuisuorieta khawm Mosie bêl dinga baptisa an um vawng a,"
and did all eat the same spiritual food;,"an rêngin thlarau tieng bu hmunkhat khawm an fâk seng a,"
and did all drink the same spiritual drink: for they drank of a spiritual rock that followed them: and the rock was Christ.,an rêngin thlarau tieng dâwn ding hmunkhat khawm an dâwn seng kha; anni zuitu thlarau tieng lungpuia kha an dâwn seng kha; chu lungpui chu Krista a nih.
Howbeit with most of them God was not well pleased: for they were overthrown in the wilderness.,"Nisienlakhawm, anni laia mi tam lem chunga chun Pathien a lung- ni ta nawh a, thlalêra khan tluhlumin an um a."
"Now these things were our examples, to the intent we should not lust after evil things, as they also lusted.","Chun, chuong chu eini ta dingin inentirna a nih, thil suol an châk ang bawk khan ei châk ve nawna dingin."
"Neither be ye idolaters, as were some of them; as it is written, The people sat down to eat and drink, and rose up to play.","Anni laia mi ṭhenkhat milim betu an ni ang khan milim betu ni naw ro, “mipui chu fa le dâwn dingin an ṭhung tâwl a, infiem dingin an tho nâwk a,” ti ziek ang khan."
"Neither let us commit fornication, as some of them committed, and fell in one day three and twenty thousand.","Anni laia mi ṭhenkhatin nu- nghâk an dit a, ni khata sîng hni le sâng thumin an tlûkhlum pha ang khan, in dit ve nâwng ei tiu."
"Neither let us make trial of the Lord, as some of them made trial, and perished by the serpents.","Anni laia mi ṭhenkhatin Lalpa an fieh a, rûla sukbohmanga an um pha ang khan Lalpa chu fie nâwng ei tiu."
"Neither murmur ye, as some of them murmured, and perished by the destroyer.","Anni laia ṭhenkhat an chier a, sukbohmangtu sukbohmanga an um ang khan chier naw bawk ei tiu."
"Now these things happened unto them by way of example; and they were written for our admonition, upon whom the ends of the ages are come.","Chun, chuong chu inentirna dingin an chungah a hung tlung a ni kha; eini hun tâwp hung tlungnahai hi mi zil dingin an ziek a n i bawk a."
Wherefore let him that thinketh he standeth take heed lest he fall.,"Chuleiin, ngîra inring chu fimkhur raw se; chuong naw chun, tlu rawi a tih."
"There hath no temptation taken you but such as man can bear: but God is faithful, who will not suffer you to be tempted above that ye are able; but will with the temptation make also the way of escape, that ye may be able to endure it.",Mihriem ituor thei ang bâk chu thlêmna hrim hrim in chungah a tlung ngai nawh. Pathien chu a ringum a nih; ama chun in tuor thei bâk chu thlêmna in tuor phal naw ni; in tuor theina dingin thlêmna ruolin tlân suokna lampui siem nghâl lem a tih.
"Wherefore, my beloved, flee from idolatry.","Chuleichun, ka idittakhai, mi- lim biek hi tlânsan ro."
I speak as to wise men; judge ye what I say.,Mi varhai kuoma hril angin ka hril a nih; ka thu hril hi ngaituo ro.
"The cup of blessing which we bless, is it not a communion of the blood of Christ? The bread which we break, is it not a communion of the body of Christ?","Malsâwmna no mal ei isâwm hlak hi, Krista thisen inṭawmpuina a ni naw am a nih? Bei ei khawi hlak hi Krista taksa inṭawmpuina a ni naw am a nih?"
"seeing that we, who are many, are one bread, one body: for we all partake of the one bread.","Eini mi tamtak hi, bei tlang khat, taksa pumkhat ei ni hi; ei rêngin bei tlang khata inthawkin ei chang seng sih a."
Behold Israel after the flesh: have not they that eat the sacrifices communion with the altar?,Tisa tienga Israelhai chu en ta u; inthâwina sa fatuhai chun mâi- châm chu an inṭawmpui a ni naw am a nih?
"What say I then? that a thing sacrificed to idols is anything, or that an idol is anything?",Ieng am a na ka hril? Milim hmaa thil inhlân chu hlutna nei thil am a nih? Milim khawm chu thil tlâktlai am a ni?
"But I say, that the things which the Gentiles sacrifice, they sacrifice to demons, and not to God: and I would not that ye should have communion with demons.","Jentailhai inthâwina chu Pathien kuomah ni loin, khawhrihai kuomah an inthâwi hlak ti ka hril lem a nih; nangnirawi chu khawhrihai in inṭawmpui ka nuompêk naw cheu a ni hi."
