en,hmr
"Paul, and Silvanus, and Timothy, unto the church of the Thessalonians in God the Father and the Lord Jesus Christ: Grace to you and peace.",Paula le Silvan le Timothe chun: Pa Pathien le Lalpa Isu Kristaa Thessalonikaa kohranhai kuomah: Lunginsietna le inremna in kuomah um raw se.
"We give thanks to God always for you all, making mention of you in our prayers;","Kan ṭawngṭainahaia chun in hming lamin, nangni po po leiin Pathien kuomah lâwmthu kan hril hlak a nih."
"remembering without ceasing your work of faith and labor of love and patience of hope in our Lord Jesus Christ, before our God and Father;","Ei Pathien le Pa hmaa ringna leia in sin thawzie dâm, hmangaina leia in sin inrimzie dâm, ei Lalpa Isu Krista beisei leia in selzie dâm kha theinghil loa hre zingin."
"knowing, brethren beloved of God, your election,","Unau Pathien idittakhai, a thlangzie cheu kha kan hriet a,"
"how that our gospel came not unto you in word only, but also in power, and in the Holy Spirit, and in much assurance; even as ye know what manner of men we showed ourselves toward you for your sake.","khânga kan Chanchin Ṭha chu thu chaua tlung loa, thilthawtheina le Thlarau Inthieng le nasataka ring tlatna leh a hung tlung lem kha. Nangni hma sielin in chungah ieng ang mi am kan lo ni ta kha in hriet sih a."
"And ye became imitators of us, and of the Lord, having received the word in much affliction, with joy of the Holy Spirit;","Chun, thu chu rinum tuor pumin Thlarau Inthienga lâwmin in lo pawm a, keini le Lalpa inchûktuhai in lo nih."
so that ye became an ensample to all that believe in Macedonia and in Achaia.,"Chuongchun, Makedonia le Akaia rama ringtuhai po po ta dingin enkhina in hung ni kha,"
"For from you hath sounded forth the word of the Lord, not only in Macedonia and Achaia, but in every place your faith to God-ward is gone forth; so that we need not to speak anything.","Lalpa thu chu nangnia inthawk- in ân thang suok ta sih a; Makedonia le Akaia rama chau ni loin, hmun tina khan Pathien tienga in ringzie chu ân thang tah a; chuongchun, keinîn iengkhawm hril hrim a ngai ta nawh."
"For they themselves report concerning us what manner of entering in we had unto you; and how ye turned unto God from idols, to serve a living and true God,","Nangni laiah ieng ang lawm- lûtna am kan dawng anni ngeiin an inhriettir a; milimhai chu Pathien tienga in nghatsanzie, Pathien hring le indiktak rawng bâwl ding le,"
"and to wait for his Son from heaven, whom he raised from the dead, even Jesus, who delivereth us from the wrath to come.","a Naupa mithi laia inthawka a ikeitho, lunginsenna hung tlung dinga inthawka a mi sansuoktu Isu kha vâna inthawka hung lo nghâk dinga in nghatsanzie khawm kha an inhriettir bawk hlak a nih."
"For yourselves, brethren, know our entering in unto you, that it hath not been found vain:","Unauhai, nangni laia kan hung lûtna kha a lo thlâwn nawh ti nangni ngeiin in hriet sih a;"
"but having suffered before and been shamefully treated, as ye know, at Philippi, we waxed bold in our God to speak unto you the gospel of God in much conflict.","thlâwn nêk hmanin, in hriet ta angin, kha hma khan Philippia chun rinum tuor le inzaktaka siemin lo um ta inlang khawm, Pathien Chanchin Ṭha chu, kan Pathiena huoina neiin, dodâlna nasatak kârah, in kuomah kan puong ta lem kha."
"For our exhortation is not of error, nor of uncleanness, nor in guile:","Kan thu hril hi khêla suok a ni si nawh a, inthieng nawnaa suok a ni bawk nawh a, zâwrnain a ni bawk nawh a;"
"but even as we have been approved of God to be intrusted with the gospel, so we speak; not as pleasing men, but God who proveth our hearts.","Chanchin Ṭha inkawltira um dingin Pathien ṭhati zâwng mi kan ni ang ngeiin, mihriem suklâwm ding ang ni loin, kan lungril fietu Pathien suklâwm lemin thu kan hril lem hlak a nih."
"For neither at any time were we found using words of flattery, as ye know, nor a cloak of covetousness, God is witness;","Ieng lai khawma inpâk tehlêmna thu amanih, duâm inkhumna ama- nih, kan hmang lai an hriet nawh ti in hriet kha (Pathien a mi hrietpuitu a nih.)"
"nor seeking glory of men, neither from you nor from others, when we might have claimed authority as apostles of Christ.","Mihriem laiah, nangni laia manih, mi danghai laia mani khawm chawimawina kan zawng ngai nawh;"
"But we were gentle in the midst of you, as when a nurse cherisheth her own children:","Krista tirkohai kan nina leiin inkhâwkpuium kan lo ni el thei de khawmin. Nu nau pawmin ama nau- hai a duot angin, nangni laiah zaidamtakin kan um lem kha."
"even so, being affectionately desirous of you, we were well pleased to impart unto you, not the gospel of God only, but also our own souls, because ye were become very dear to us.","Chuong ang bawkin, kan dit zâwng tak in hung ni ta lei khan, kan dit ngawi ngawi cheu a, Pathien Chanchin Ṭha chau ni loin kan hring- na rau khawm pêk cheu kan inhuom kha."
"For ye remember, brethren, our labor and travail: working night and day, that we might not burden any of you, we preached unto you the gospel of God.","Unauhai, kan thaw sâwlzie le kan sin inrimzie kha in hriet zing deh! nangni laia tûkhawm kan sukkhâwk nawna ding cheuin a sûn a zâna sin thawin, Pathien Chanchin Ṭha kan hril hlak cheu kha."
"Ye are witnesses, and God also, how holily and righteously and unblamably we behaved ourselves toward you that believe:","Nangni ringtuhai chungah in- thiengtak le feltak le, demum lotaka kan umzie kha Pathien leh a mi hrietpuituhai in nih;"
"as ye know how we dealt with each one of you, as a father with his own children, exhorting you, and encouraging you, and testifying,","pain ama nauhai chunga a thaw angin in chunga kan thawzie kha in hriet, infui le thlamuon le inhriettir cheuin, in chung senga kan thawzie kha;"
"to the end that ye should walk worthily of God, who calleth you into his own kingdom and glory.",Ama ram le ropuinaa kolûttu cheu Pathien mi ni tlâka in um theina dingin.
"And for this cause we also thank God without ceasing, that, when ye received from us the word of the message, even the word of God, ye accepted it not as the word of men, but, as it is in truth, the word of God, which also worketh in you that believe.","Hi hi lei hin ma loin Pathien kuomah lâwmthu kan hril bawk hlak, Pathien thu kan kuoma inthawka in hriet, in pawm lai khan, mihriem thu pawmin in pawm nawh a, Pathien thu pawma in pawm lem lei khan; chu chu Pathien thu a ni hrim a, nangni a ringtuhai sûnga sin thaw hlak bawk chu a nih."
"For ye, brethren, became imitators of the churches of God which are in Judæa in Christ Jesus: for ye also suffered the same things of your own countrymen, even as they did of the Jews;","Nangni unauhai, Judai rama Pathien kohran, Krista Isua umhai inchûktu in lo ni kha; anni chun Judahai laia an tuor angin nangni khawmin nangni rama mihai laia inthawkin in tuor ve bawk sih a."
"who both killed the Lord Jesus and the prophets, and drove out us, and please not God, and are contrary to all men;","Chuong Judahai chun Lalpa Isu le zâwlneihai khawm an that a, keini khawm an mi hnawt suok a, Pathien an suklâwm nawh a, mi po po an kal hlak;"
forbidding us to speak to the Gentiles that they may be saved; to fill up their sins always: but the wrath is come upon them to the uttermost.,"sandam an ni theina dinga Jentailhai laia thu hril an mi khap hlak sih a, chuong anga an suol inkhi- na suksip rawp dingin, nisienla- khawm, lunginsenna chu an chungah a tâwp khâwk râwtin a hung tlung tah."
"But we, brethren, being bereaved of you for a short season, in presence not in heart, endeavored the more exceedingly to see your face with great desire:","Nisienlakhawm, unauhai, sâwt nâwtea dingin nangni leh lungril tienga inṭhe loin, hmêl tieng chaua inṭhea ei um hri lei hin, inhâwk tak puma in hmêl hmu dingin kan beisei nasa nâwk zuol hlak a nih;"
"because we would fain have come unto you, I Paul once and again; and Satan hindered us.","in kuomah hung kan tum tlat sih a; kei Paula ngei khawm hin vawi hni rau hung ka tum nghe nghe tah a; nisienlakhawm, Setanin a mi hluo hlak a nih."
"For what is our hope, or joy, or crown of glorying? Are not even ye, before our Lord Jesus at his coming?","Kan beiseina amanih, kan hlimna amanih, kan lallukhum suong amani chu ieng am a na? A hung phaleh ei Lalpa Isu hmaa chun nangni ngei in ni ding a ni naw am a nih?"
For ye are our glory and our joy.,Nangni hi kan isuong le kan hlimna in nih in sawnnaw.
"Wherefore when we could no longer forbear, we thought it good to be left behind at Athens alone;","Chuongchun, kan tuor zo ta naw tika chun Atheniah keini chau mâksanin um inlang ṭha kan tih a."
"and sent Timothy, our brother and God’s minister in the gospel of Christ, to establish you, and to comfort you concerning your faith;","Timothe ei unaupa, Krista Chan- chin Ṭha tienga Pathien rawngbâwl- tu hi sukdet ding cheu le in ringna kawnga thlamuon ding cheuin kan hung tir a nih;"
that no man be moved by these afflictions; for yourselves know that hereunto we are appointed.,hieng rinum tuorna lei hin tûkhawm an inhnîng nawna dingin; hienghai hi tuor dinga ruot kan nih ti nangni ngeiin in hriet sih a.
