en,hmr
And Moab rebelled against Israel after the death of Ahab.,Ahab thi hnung chun Moab ram chu Israel ram chunga chun a hel tah a.
"And Ahaziah fell down through the lattice in his upper chamber that was in Samaria, and was sick: and he sent messengers, and said unto them, Go, inquire of Baal-zebub, the god of Ekron, whether I shall recover of this sickness.","Chun, Ahazia chu Samaria khuoa um a in pindan chunghnung inhuonna dai âwngkâra chun a tlah a, a damnaw tah a; chun, tirtâwnhai a tir a, “Fe unla, Ekronhai Pathien Baal-zebub chu hi natnaa inthawk hin ka dam nâwk ding am va râwn ta u,” tiin."
"But the angel of Jehovah said to Elijah the Tishbite, Arise, go up to meet the messengers of the king of Samaria, and say unto them, Is it because there is no God in Israel, that ye go to inquire of Baal-zebub, the god of Ekron?","Nisienlakhawm, Tisbe mi Elija kuoma chun LALPA vântirkoin, “Tho la, Samari lal tirtâwnhai chu intuokpui dingin fe rawh; chun, an kuoma chun, Israel rama hin Pathien a um ta naw leiin amanih Ekronhai pathien Baal-zebub chu râwn dinga in fe chu?"
"Now therefore thus saith Jehovah, Thou shalt not come down from the bed whither thou art gone up, but shalt surely die. And Elijah departed.","Tuhin, LALPA chun hieng hin a ti a nih, ‘Khum, i kainaa inthawk khan hung ṭum nâwk ta ngai dêr naw ti nih a, i thi ngei ngei ding a nih, a tih,’ tiin hril rawh,” a ta. Chun, Elija chu a fe tah a."
"And the messengers returned unto him, and he said unto them, Why is it that ye are returned?","Chun, mitirhai chu a kuomah an hung kîr nâwk a, an kuomah, “Ieng- tiziea hung kîr nâwk am in nih a?” a lo tih a."
"And they said unto him, There came up a man to meet us, and said unto us, Go, turn again unto the king that sent you, and say unto him, Thus saith Jehovah, Is it because there is no God in Israel, that thou sendest to inquire of Baal-zebub, the god of Ekron? therefore thou shalt not come down from the bed whither thou art gone up, but shalt surely die.","Anni chun a kuomah, “Mi pa- khat keini mîn tuokpui dingin a hung a, kan kuomah, ‘Fe unla, kîr nâwk unla, lal a tirtu cheu kuoma chun hieng hin va hril ro, LALPA chun hieng hin a hril a nih, Israel rama hin Pathien a um ta naw leiin am a ni Ekronhai pathien Baal-zebub chu thu indawn dinga mi i tir chu? Chulei- chun, khum i kainaa inthawk khan ṭum nâwk ta naw ti nih a, i thi ngei ngei ding a nih,’ tiin, ti rawh, a tih a,” an ta."
"And he said unto them, What manner of man was he that came up to meet you, and told you these words?","Chun, an kuoma chun, “Nangni intuokpui dinga hung a, hieng thuhai hung hriltu cheu chu mi ieng ang hrim am a ni leh?” a ta."
"And they answered him, He was a hairy man, and girt with a girdle of leather about his loins. And he said, It is Elijah the Tishbite.","Anni chun, “Ama chu sahmul puon sila, a kâwng chu kâwngkhia inhrên a nih,” an tih a, an dawn a. Chun, ama chun, “Elija, Tisbe mi kha a ni chu,” a ta."
"Then the king sent unto him a captain of fifty with his fifty. And he went up to him: and, behold, he was sitting on the top of the hill. And he spake unto him, O man of God, the king hath said, Come down.","Chun, lal chun sipai sâwmnga pâwl hotu pakhat, a rawihai sâwm- nga le chun a tir tah a, chun, a kuoma chun a hang feh a, ngai ta, tlâng sîpa chun ama chu a lo ṭhung a. Chun, a kuomah, “Aw nang Pathien mi, lal chun, ‘Hung thla raw se,’ a ti che,” a ta."
"And Elijah answered and said to the captain of fifty, If I be a man of God, let fire come down from heaven, and consume thee and thy fifty. And there came down fire from heaven, and consumed him and his fifty.","Chun, Elija chun a dawn a, sipai sâwmnga pâwl hotu kuoma chun, “Pathien mi ka ni chun, vâna in- thawkin mei hung tla thla sienla, nang le i rawihai sâwmnga kha kânghâwp vawng raw se,” a ta. Chun, vâna inthawk chun mei a hung tla thlah a, ama le a rawihai sâwmnga chu a kânghâwp vawng tah a."
"And again he sent unto him another captain of fifty with his fifty. And he answered and said unto him, O man of God, thus hath the king said, Come down quickly.","Chun, a kuoma chun sipai sâwmnga pâwl hotu dang le sâwmnga a tir nâwk a. Ama chu a hang feh a, a kuomah, “Aw nang Pathien mi, lal chun, ‘Hung thla raw se,’ a ti che,” a ta."
"And Elijah answered and said unto them, If I be a man of God, let fire come down from heaven, and consume thee and thy fifty. And the fire of God came down from heaven, and consumed him and his fifty.","Chun, Elija chun a dawn a, an kuomah, “Pathien mi ka ni tak zet chun, vâna inthawkin mei hung tla thla sienla, nang le i rawihai sâwm- nga kha kânghâwp vawng raw se,” a ta. Chun vâna inthawk chun Pathien mei a hung tla thlah a, ama le a rawihai sâwmnga chu a kânghâwp vawng tah a."
"And again he sent the captain of a third fifty with his fifty. And the third captain of fifty went up, and came and fell on his knees before Elijah, and besought him, and said unto him, O man of God, I pray thee, let my life, and the life of these fifty thy servants, be precious in thy sight.","Chun, sipai sâwmnga pâwl hotu le a rawihai sâwmnga ma a tir nâwk a. Chun, sâwmnga pâwl hotu pa- thumna chu a hang feh a, a hung a, Elija hmaa dingṭhaṭhuonin, a ngên a, a kuomah, “Aw Pathien mi, ka ngên che hi, keia hringna le hi i siehlaw sâwmngahai hringna hi i mithmua chun hlutak ni raw se;"
"Behold, there came fire down from heaven, and consumed the two former captains of fifty with their fifties; but now let my life be precious in thy sight.","ngai ta, vâna inthawkin mei a hung tla thla a, kha sâwmnga pâwl hotu pahnihai kha, an rawihai sâwm- ngahai leh a kânghâwp vawng tah a; amiruokchu, tuhin ka hringna chu i mithmua chun hlutak ni raw se,” a tih a."
"And the angel of Jehovah said unto Elijah, Go down with him: be not afraid of him. And he arose, and went down with him unto the king.","Chun, LALPA vântirko chun Elija kuomah, “Ama kha zui thla la, ama kha ṭi naw rawh,” a ta. Chun, a tho a, ama chu a zui thlâk a, lal kuoma chun a fe tah a."
"And he said unto him, Thus saith Jehovah, Forasmuch as thou hast sent messengers to inquire of Baal-zebub, the god of Ekron, is it because there is no God in Israel to inquire of his word? therefore thou shalt not come down from the bed whither thou art gone up, but shalt surely die.","Chun, a kuomah, “LALPA chun hieng hin a ti a nih, ‘Ekronhai pa- thien Baal-zebub chu thu indawn dinga tirtâwnhai i lo tir hi, Israel rama hin Pathien rawn ding hrim an um naw lei a ni maw? chuleiin, khum i kainaa inthawk khan ṭum nâwk ta naw ti nih a, i thi ngei ngei ding a nih,’ tiin,” a ta."
So he died according to the word of Jehovah which Elijah had spoken. And Jehoram began to reign in his stead in the second year of Jehoram the son of Jehoshaphat king of Judah; because he had no son.,"Chuongchun, Elijân LALPA thu a hril ang ngei chun ama chu a thi tah a. Chun, naupasal a nei naw leiin Juda lal Jehosaphat naupa Jehoram inlal kum hninaa chun Jehoram chun a aia chun ro a rêl tah a."
"Now the rest of the acts of Ahaziah which he did, are they not written in the book of the chronicles of the kings of Israel?","Chun, Ahazia thilthaw danghai a thaw tahai chu Israel lalhai inlal lai chanchin ziekna bua chun a chuong a ni naw am a nih?"
"Now Ahab had seventy sons in Samaria. And Jehu wrote letters, and sent to Samaria, unto the rulers of Jezreel, even the elders, and unto them that brought up the sons of Ahab, saying,","Ahab chun Samaria chun nau- pasal sâwmsari a nei a. Chun, Jehu chun Samaria Jezreel khaw hotu, upahai kuoma le Ahab nauhai lo enkawl tleituhai kuoma chun lekha a thawn a."
"And now as soon as this letter cometh to you, seeing your master’s sons are with you, and there are with you chariots and horses, a fortified city also, and armor;","“Hi lekha hi in hmu phingleh, in pu nauhai chu in kuoma um an na; tawlailîrhai, sakawrhai, kulpui nei khuohai dâm, râlthuomhai khawm in nei a na;"
"look ye out the best and meetest of your master’s sons, and set him on his father’s throne, and fight for your master’s house.","chuongchun, in pu nauhai laia a ṭha tak le a fel tak zawng suok unla, a pa lal ṭhungphaah inṭhungtir unla, in pu sûnghai do chu dopui ro,” tiin."
"But they were exceedingly afraid, and said, Behold, the two kings stood not before him: how then shall we stand?","Nisienlakhawm, anni chun an ṭi ta êm êm el a, “Ngai ta u, lal pahni khawm khan an hne ta naw a na, einin iengtin am hne thei hlak ei ta?” an ta."
"And he that was over the household, and he that was over the city, the elders also, and they that brought up the children, sent to Jehu, saying, We are thy servants, and will do all that thou shalt bid us; we will not make any man king: do thou that which is good in thine eyes.","Chun, lal in sûnga hotu tak dâm, khawpui awptuhai dâm, upahai le naupanghai lo enkawltuhai chun Jehu kuoma chun, “I siehlawhai kan nih, thaw dinga i mi hril ang phawt chun thaw pei kan tih; tukhawm lalah siem naw ning ung ah, nangin ṭha i ti ang angin thaw el rawh,” tiin mi an tir a."
"Then he wrote a letter the second time to them, saying, If ye be on my side, and if ye will hearken unto my voice, take ye the heads of the men your master’s sons, and come to me to Jezreel by to-morrow this time. Now the king’s sons, being seventy persons, were with the great men of the city, who brought them up.","Chun, an kuomah, “Keia tienga ṭhang in na, ka thu in awi ding chun in pu naupasalhai lu hang la unla, zîngah hieng tik phât hin Jezreelah ka kuomah hung ro,” tiin lekha a thawn nâwk a. Lal naupasalhai chu sâwmsari an na, khawpui mi lienhai, anni enkawl tleituhai kuoma chun an um a."
"And it came to pass, when the letter came to them, that they took the king’s sons, and slew them, even seventy persons, and put their heads in baskets, and sent them unto him to Jezreel.","Chun, lekha chu an hmu chun lal naupahai chu an man a, a sâwmsari chun an that a, an luhai chu bâwm- rângah an sieh a, Jezreel khuoah a kuomah an inphur tah a."
"And there came a messenger, and told him, saying, They have brought the heads of the king’s sons. And he said, Lay ye them in two heaps at the entrance of the gate until the morning.","Chun, thangko a hung a, “Lal naupasalhai lu chu an hung lâk tah,” tiin a hril a. Chun, ama chu, “Kul lûtna kawtkhâr bulah hmun hniah intieng khâwm unla, zinga chen um raw se,” a ta."
"And it came to pass in the morning, that he went out, and stood, and said to all the people, Ye are righteous: behold, I conspired against my master, and slew him; but who smote all these?","Chun, a zînga chun a va suok a, a ngîr a, mi po po kuoma chun, “Mi fel in nih; ngai ta u, ka pu chu ka phier rûk a, ka lo sukhlum ta luoh a; anleh, hienghai po po hi tu that am an nih a?"
"Know now that there shall fall unto the earth nothing of the word of Jehovah, which Jehovah spake concerning the house of Ahab: for Jehovah hath done that which he spake by his servant Elijah.","LALPA chun Ahab sûnghai chungchâng thu a hril a, LALPA thu chu hnuoi chunga hin luong hmang el naw ni ti hre ro; LALPAIN a siehlaw Elija hmanga a hril kha a hung suktlung a ni ta hi,” a ta."
"So Jehu smote all that remained of the house of Ahab in Jezreel, and all his great men, and his familiar friends, and his priests, until he left him none remaining.","Chuongchun, Jehu chu Jezreel khuoa Ahab sûnghai la um po po le, a mi lienhai po po le, a ruolhai po po le, a thiempuhai chu pakhat khawm hlapêk hlek loin a that fai vawng a."
"And he arose and departed, and went to Samaria. And as he was at the shearing-house of the shepherds in the way,","Chun, a tho a, a suok a, Sama- riah a fe tah a. Chun, lampuia berâm- puhai berâm hmul vâwna hmun a va tlung chun,"
"Jehu met with the brethren of Ahaziah king of Judah, and said, Who are ye? And they answered, We are the brethren of Ahaziah: and we go down to salute the children of the king and the children of the queen.","Jehu chun Juda lal Ahazia unauhairawi a hmuh a, “Tuhai am in nih a?” a ta. Anni chun, “Ahazia unauhai kan na, lal nauhai le; lalnu nauhai chibai kan zu bûk ding a nih,” tiin an dawn a."
"And he said, Take them alive. And they took them alive, and slew them at the pit of the shearing-house, even two and forty men; neither left he any of them.","Chun, ama chun, “A hringin man tâwl ro,” a ta. Chuongchun, a hringin an man tâwl a, berâm hmul vâwna in khur bula chun an that a, mi sâwmli le pahni zet an nih, pakhat khawm an hla nawh."
"And when he was departed thence, he lighted on Jehonadab the son of Rechab coming to meet him; and he saluted him, and said to him, Is thy heart right, as my heart is with thy heart? And Jehonadab answered, It is. If it be, give me thy hand. And he gave him his hand; and he took him up to him into the chariot.","Chun, chutaka inthawka a suok hnung chun Rekab naupa Jehonadab, ama tuok dinga hung a va hmuh a; chuongchun, chibai a bûk a, a kuom- ah, “I chunga lungril indik ka put ang hin lungril indik i put ve am chu?” a ta. Jehonadab chun, “Put e,” tiin a dawn a. “Anleh i kut mi hang pe ta,” a ta. Chuongchun, a kut chu a hang pêk a; chun, ama chun a kuomah a tawlailîr sûngah a kei lût tah a."
"And he said, Come with me, and see my zeal for Jehovah. So they made him ride in his chariot.","Chun, ama chun, “Ka kuomah hung ve la, LALPA ta dinga ṭhahnem ka ngaizie hi hang hmu ve hrim ta khai,” a ta. Chuongchun, a tawlailîra chun ân chuongtir ve tah a."
"And when he came to Samaria, he smote all that remained unto Ahab in Samaria, till he had destroyed him, according to the word of Jehovah, which he spake to Elijah.","Chun, Samari a va tlung chun Ahab sûnghai Samaria la um sunhai chu a sukbohmang vawng hmakhat chun a that pei a, Elija kuoma a hril, LALPA thu ang ngei khan."
"And Jehu gathered all the people together, and said unto them, Ahab served Baal a little; but Jehu will serve him much.","Chun, Jehu chun mipuihai po po chu a ko khâwm a, an kuoma chun, “Ahab khan Baal rawng hi a bâwl met chau a na, Jehu ruok hin chu nasa- takin a nih a bâwl ding chu."
"Now therefore call unto me all the prophets of Baal, all his worshippers, and all his priests; let none be wanting: for I have a great sacrifice to do to Baal; whosoever shall be wanting, he shall not live. But Jehu did it in subtlety, to the intent that he might destroy the worshippers of Baal.","Chuongchun, Baal zâwlneihai po po le a betuhai po po le a thiem- puhai po po ka kuoma hin hung ko khâwm ta u; tukhawm a kim naw um naw raw se, Baal kuoma hin in- thâwina ropuitak inhlân ding ka nei a, tukhawm a kim naw taphawt chu hring dêr naw nih,” a ta. Nisien- lakhawm, Jehu chun Baal betuhai chu sukhlum tumin, var vervêkin a thaw a nih."
"And Jehu said, Sanctify a solemn assembly for Baal. And they proclaimed it.","Chun, Jehu chun, “Baal hming- in ruoiṭhena ropui siem ro,” a ta. Chuongchun, chu chu an inthawn vêl tah a."
"And Jehu sent through all Israel: and all the worshippers of Baal came, so that there was not a man left that came not. And they came into the house of Baal; and the house of Baal was filled from one end to another.","Chun, Jehu chun Israel ram po poah a thawn vêl a; chuongchun, Baal betuhai po po chu an hung a, ṭhang naw hrim hrim an um nawh. Chun, Baal ina chun an lût a; chun, Baal in chu kawtkhâra inthawka châwrtieng chenin an sip mup el a."
"And he said unto him that was over the vestry, Bring forth vestments for all the worshippers of Baal. And he brought them forth vestments.","Chun, inthuomna puon enkawl- tu kuomah, “Baal betuhai po po hi inthuomna puon hung lapêk ro,” a ta. Chuongchun, inthuomna puonhai chu a hung lâkpêk a."
"And Jehu went, and Jehonadab the son of Rechab, into the house of Baal; and he said unto the worshippers of Baal, Search, and look that there be here with you none of the servants of Jehovah, but the worshippers of Baal only.","Chun, Jehu chu Rekab naupa Jehonadab le chun Baal inah an lût a, Baal betuhai kuoma chu, “Hitaka hin Baal betuhai ti lo, LALPA mihai lo um ve rawi an tih, zawng unla, en vêl ta u,” a ta."
"And they went in to offer sacrifices and burnt-offerings. Now Jehu had appointed him fourscore men without, and said, If any of the men whom I bring into your hands escape, he that letteth him go, his life shall be for the life of him.","Chun, inthâwinahai le pumraw- hmang thilinhlân inhlân dingin an lût a. Jehu chun tuola chun mi sâwm- riet a lo inngîr ta hrim a, “Hieng in kuta ka pêk ta cheu hi tukhawm an suok vai chun, ân suotu chun, a hringna aia chun ama hringna chu chân a tih,” a ta."
"And it came to pass, as soon as he had made an end of offering the burnt-offering, that Jehu said to the guard and to the captains, Go in, and slay them; let none come forth. And they smote them with the edge of the sword; and the guard and the captains cast them out, and went to the city of the house of Baal.","Chun, pumrawhmang thilin- hlân chu ân hlân zo chun Jehu chun vêngtu sipai le an hotu kuoma chun, “Va lût unla, va that ro, tukhawm insuoktir naw ro,” a ta. Chun, kâwl- hnâmin an sât rak el a; chun, vêngtu sipai le an hotuhai chun an pei suok a; chun, Baal in umna khuoa chun an feh a."
"And they brought forth the pillars that were in the house of Baal, and burned them.","Chun, Baal ina milimhai chu an lâksuok a, an rawh a."
"And they brake down the pillar of Baal, and brake down the house of Baal, and made it a draught-house, unto this day.","Chun, Baal lungphun chu an sukchim a, Baal in chu an suksiet a, inhnâwmna inah an hmang tah a; tu chen hin an la hmang zing a nih."
Thus Jehu destroyed Baal out of Israel.,Chuong ang chun Jehu chun Baal chu Israel rama chun a suk- bohmang a nih.
