en,hmr
"Simon Peter, a servant and apostle of Jesus Christ, to them that have obtained a like precious faith with us in the righteousness of our God and the Saviour Jesus Christ:","Simon Peter, Isu Krista suok le tirko chun: Isu Krista kan Pathien le Sandamtu felna leia ringna hlutak kan chang ang chang vehai kuomah:"
Grace to you and peace be multiplied in the knowledge of God and of Jesus our Lord;,Pathien le ei Lalpa Isu hrietnaa chun in chungah lunginsietna le inremna sukpungin um raw se.
"seeing that his divine power hath granted unto us all things that pertain unto life and godliness, through the knowledge of him that called us by his own glory and virtue;","Ama ropuina le ṭhatna zâra a mi kotu, a chanchin hriet leiin a Pathien thilthawtheinain hringna le Pathien ngaisakna kawnga chun thil po po a mi pêk sih a."
"whereby he hath granted unto us his precious and exceeding great promises; that through these ye may become partakers of the divine nature, having escaped from the corruption that is in the world by lust.","Chuong zâra chun a thutiem hlutak le ropui nasatakhai chu a mi pêk a nih, chuongchun, châkna leia khawvêla sietna hung um hi tlân suok sanin, chuong thutiem hlutak le ropui nasatakhai lei chun Pathien nungchang inṭâwmpui ve thei in tih."
"Yea, and for this very cause adding on your part all diligence, in your faith supply virtue; and in your virtue knowledge;","Anih, chu chu lei tak chun taimâk hrim hrim insuoin, in ringnaa chun ṭhatna inṭhangtir unla, in ṭhatnaa chun hrietna,"
and in your knowledge self-control; and in your self-control patience; and in your patience godliness;,"in hrietnaa chun insûmna, in insûmnaa chun selna, in selnaa chun Pathien ngaisakna,"
and in your godliness brotherly kindness; and in your brotherly kindness love.,"in Pathien ngaisaknaa chun unau- hai hmangaina, in unauhai hmangai- naa chun hmangaina inṭhangtir ro."
"For if these things are yours and abound, they make you to be not idle nor unfruitful unto the knowledge of our Lord Jesus Christ.","Chuong chu in ta a na, a pung pei si chun, ei Lalpa Isu Krista hrietna kawnga hin zawmthaw lo le ra nuom takin a siem cheu a nih."
"For he that lacketh these things is blind, seeing only what is near, having forgotten the cleansing from his old sins.","Tûkhawm chuong thil nei naw chu mitdel a na, hnaitaka mi chau a hmu thei a, hi hmaa a suolhai sâwpfai pêkna chu a theinghil ta sih a."
"Wherefore, brethren, give the more diligence to make your calling and election sure: for if ye do these things, ye shall never stumble:","Chuleiin, unauhai, a kona le a thlangna cheu chu sukdet dingin taimâk insuo nâwkzuol ro; chuong chu in thaw chun ieng tik khawm tlu naw ti niu;"
for thus shall be richly supplied unto you the entrance into the eternal kingdom of our Lord and Saviour Jesus Christ.,"chuongchun, Isu Krista ei Lalpa le Sandamtu chatuon rama lûtna chu nasataka inhmutir nîng in tih."
"Wherefore I shall be ready always to put you in remembrance of these things, though ye know them, and are established in the truth which is with you.","Chuleiin, chuong thil chu hrein, thutak in kuoma uma chun in det dea chu chuong thil chu inhrietthartir cheu ka tum zing hlak a."
"And I think it right, as long as I am in this tabernacle, to stir you up by putting you in remembrance;","Chun, hi bâwktêa ka um sûng po hin nangni hrietpuiin chawkhar rawp cheu ṭhain ka hriet a nih,"
"knowing that the putting off of my tabernacle cometh swiftly, even as our Lord Jesus Christ signified unto me.",ei Lalpa Isu Kristain a min hriettir ang khan ka bâwktê sie hmang hun chu tlung vak a tih ti ka hriet a.
"Yea, I will give diligence that at every time ye may be able after my decease to call these things to remembrance.","Anih, ka fe suok hnunga chuong thil chu in hriet zing rawp theina dingin thâwng ka tih."
"For we did not follow cunningly devised fables, when we made known unto you the power and coming of our Lord Jesus Christ, but we were eyewitnesses of his majesty.","Ei Lalpa Isu Krista thil- thawthei zie le a hung nâwkna thu chu kan inhriettir lai cheu khan, tienami vartaka ngaituo suok elhai zâwm kan ni nawh a, a ropuina hmutuhai kan ni lem in sâwnnaw."
