en,hmr
"Paul, an apostle of Christ Jesus through the will of God, according to the promise of the life which is in Christ Jesus,","Paula, Krista Isua hringna um tiemna thu chu hril kawnga Pathien dit zâwnga Krista Isu tirko chun:"
"to Timothy, my beloved child: Grace, mercy, peace, from God the Father and Christ Jesus our Lord.","Ka nau dittak Timothe kuomah, Pathien ei Pa le Krista Isu ei Lalpa kuoma inthawka lunginsietna dâm, zângaina dâm, inremna dâm um raw se."
"I thank God, whom I serve from my forefathers in a pure conscience, how unceasing is my remembrance of thee in my supplications, night and day","A mi thlatuhai chena sie le ṭha hrietna inthiengtak neia a rawng ka ibâwl hlak Pathien kuoma chun lâwmthu ka hril a nih; a sûn a zâna ka ṭawngṭainahaia chun ka hrietpui zing hlak che a,"
"longing to see thee, remembering thy tears, that I may be filled with joy;","lâwma ka sip theina dingin, i mitthlihai chu hre zingin hmu che ka nuom bêk bêk a nih."
"having been reminded of the unfeigned faith that is in thee; which dwelt first in thy grandmother Lois, and thy mother Eunice; and, I am persuaded, in thee also.","Ringna tak tak nangmaa um chu ka hriet zing sih a, chu ringna chu a tîrin i pi Loisiah a um a, i nu Eunikiah a um bawk a, nangmaa khawm a um ti indiktakin ka hriet."
"For which cause I put thee in remembrance that thou stir up the gift of God, which is in thee through the laying on of my hands.","Chuleiin, ka kut innghat leia Pathien thilpêk nangmaa um kha mût chawk dingin ka hril nawn che a nih."
For God gave us not a spirit of fearfulness; but of power and love and discipline.,"Pathienin ṭitna thlarau a mi pêk nawh a, thilthawtheina le hmangaina le lungril feltak neina thlarau a mi pêk lem a ni sih a."
"Be not ashamed therefore of the testimony of our Lord, nor of me his prisoner: but suffer hardship with the gospel according to the power of God;","Chuongchun, ei Lalpa thu in- hriettirna chu inzâpui naw la, ama mi intâng kei khawm hi mîn zâpui bawk naw rawh. Chanchin Ṭha leia rinum hi Pathien thilthawtheina ang angin mi tuorpui lem rawh."
"who saved us, and called us with a holy calling, not according to our works, but according to his own purpose and grace, which was given us in Christ Jesus before times eternal,","Ama chun ei thilthawhai ang ni loin, ama ruot le a lunginsietna ang lemin a mi sandam a, kona inthiengin a mi ko bawk a, chu lunginsietna chu leilung insieng hmâin Krista Isua chun ei kuoma pêk a ni tah;"
"but hath now been manifested by the appearing of our Saviour Christ Jesus, who abolished death, and brought life and immortality to light through the gospel,","chu chu a mi sandamtu Isu Krista inlârna leiin, tuhin suklangin a um tah. Ama chun thina chu sukbo- hmangin, Chanchin Ṭhain hringna le bohmang thei nawna a suklang tah;"
"whereunto I was appointed a preacher, and an apostle, and a teacher.",chu Chanchin Ṭha thu chu inhriettir dingin tlâng insampuitu le tirko le inchûktirtua ruot ka nih.
"For which cause I suffer also these things: yet I am not ashamed; for I know him whom I have believed, and I am persuaded that he is able to guard that which I have committed unto him against that day.","Chu lei chun a nih hieng thilhai khawm hi ka tuor chu, nisienla- khawm, kân zak nawh, ka iâwi chu ka hriet a, a kuoma ka înkawltir chu chû nia ding chun a vawng ṭha thei ti indiktakin ka hriet bawk a."
"Hold the pattern of sound words which thou hast heard from me, in faith and love which is in Christ Jesus.","Krista Isua um, ringna le hmangaina neiin thu indik dân ka bâua i hriethai kha nei tlat rawh."
That good thing which was committed unto thee guard through the Holy Spirit which dwelleth in us.,"Thil ṭha i kuoma inkawltira um kha, ei sûnga Thlarau Inthieng um hin vawng ṭha rawh."
"This thou knowest, that all that are in Asia turned away from me; of whom are Phygelus and Hermogenes.","Asia rama um po pohaiin an mi nghatsan ti ka hriet a, anni lai chun, Phugel le Hermogen an ṭhang a nih."
"The Lord grant mercy unto the house of Onesiphorus: for he oft refreshed me, and was not ashamed of my chain;","Lalpa chun Onesiphora sûnghai kuomah zângaina pe raw se; ama chun a mi sukhar rawp a, ka khaidiet bun khawm a mîn zâpui si nawh a."
"but, when he was in Rome, he sought me diligently, and found me",Roma a um lai khan nguntakin a mi zawng suok ta lem a nih.
"(the Lord grant unto him to find mercy of the Lord in that day); and in how many things he ministered at Ephesus, thou knowest very well.",(Chu nia chun Lalpa kuomah zângaina hmu dingin Lalpa chun ruot raw se) Ephesia rawng a bâwl nasat zie kha i hriet ta bawk a nih.
"Thou therefore, my child, be strengthened in the grace that is in Christ Jesus.","Chuongchun, nang, ka nau, Krista Isua lunginsietna uma hin suknghetin um rawh."
"And the things which thou hast heard from me among many witnesses, the same commit thou to faithful men, who shall be able to teach others also.","Chun, hretu tamtakhai laia ka bâua thu i hriethai kha, chuong chu, mi ringum, mi danghai inchûktir sâwng thei dinghai kuoma chun inkawltir rawh."
"Suffer hardship with me, as a good soldier of Christ Jesus.",Krista Isu sipai ṭhatak angin rinum mi tuorpui rawh.
No soldier on service entangleth himself in the affairs of this life; that he may please him who enrolled him as a soldier.,"Sipaia um dinga thlangtu chu a suklâwm theina dingin, sipai tû- khawm indo laiin hi dam sûng khawsakna hin ân sukhnawk ngai nawh a."
