en,hmr
"The words of Amos, who was among the herdsmen of Tekoa, which he saw concerning Israel in the days of Uzziah king of Judah, and in the days of Jeroboam the son of Joash king of Israel, two years before the earthquake.","Juda lal Uzzia inlal lai le Israel lal Joas naupa Jeroboam inlal laia, simkhawleihnuoi inhnîng hma kum hnia, Tekoa ran ruol vêngtuhai laia mi Amos thu Israel chungchâng thu a hmu chu."
"And he said, Jehovah will roar from Zion, and utter his voice from Jerusalem; and the pastures of the shepherds shall mourn, and the top of Carmel shall wither.","Chun, ama chun, “LALPA chu Zion tlânga inthawk chun inrûm hum hum a ta, Jerusalema inthawkin a râwl insuong a ta, berâm vêngtuhai ran tlatna hmunhai chu lungngai an ta, Karmel tlâng sîp chu ṭuoi a tih,” a ta."
"Thus saith Jehovah: For three transgressions of Damascus, yea, for four, I will not turn away the punishment thereof; because they have threshed Gilead with threshing instruments of iron.","LALPAIN hieng ang hin a tih, “Damaska khaw bawsietna pathum leiin, anih, pali leiin, a hremna sukbo naw ning: Gilead ram chu bu râwtna thîrhai chun an râwt leiin;"
"But I will send a fire into the house of Hazael, and it shall devour the palaces of Ben-hadad.","chuleiin, Hazael ina chun mei tir ka ta, Benhadad lal inhai chu kâng vawng a tih."
"And I will break the bar of Damascus, and cut off the inhabitant from the valley of Aven, and him that holdeth the sceptre from the house of Eden; and the people of Syria shall go into captivity unto Kir, saith Jehovah.","Damaska khaw kawtkhâr thîr chu suktliek ka ta, Aven ruoma in- thawka a hluotuhai le Eden ina inthawka lal hmawl chawituhai chu sukbo ka ta; chun, Suria mihai chu Kir ramah salah um an tih,” LALPA- IN a tih."
"Thus saith Jehovah: For three transgressions of Gaza, yea, for four, I will not turn away the punishment thereof; because they carried away captive the whole people, to deliver them up to Edom.","LALPA chun hieng ang hin a tih, “Gaza khaw bawsietna pathum leiin, anih, pali leiin, a hremna suk- bo naw ning; Edom mi kuoma pêk dingin mi po po sala an ṭhuoi leiin;"
"But I will send a fire on the wall of Gaza, and it shall devour the palaces thereof.","chuleiin, Gaza khaw kul chunga chun mei tir ka ta, a lal inhai chu kâng vawng a tih;"
"And I will cut off the inhabitant from Ashdod, and him that holdeth the sceptre from Ashkelon; and I will turn my hand against Ekron; and the remnant of the Philistines shall perish, saith the Lord Jehovah.","chun, Asdod khuoa inthawka hluotuhai le Askelon khuoa inthawka lal hmawl chawituhai chu sukbo- hmang ka tih; chun, Ekron khaw chungah ka kut inlet ka ta, chun, Philistin mi la umhai chu bohmang an tih,” Lalpa PATHIEN chun a tih."
"Thus saith Jehovah: For three transgressions of Tyre, yea, for four, I will not turn away the punishment thereof; because they delivered up the whole people to Edom, and remembered not the brotherly covenant.","LALPAIN hieng ang hin a tih. “Tura khaw bawsietna pathum leiin, anih, pali leiin, a hremna sukbo naw ning; Edom mi kuomah mi po po chu a pêk a, unau thuthlung chu an hriet zing naw leiin;"
"But I will send a fire on the wall of Tyre, and it shall devour the palaces thereof.","chuleiin, Tura khaw kul chung- ah mei tir ka ta, a lal inhai chu kâng vawng a tih,” tiin."
"Thus saith Jehovah: For three transgressions of Edom, yea, for four, I will not turn away the punishment thereof; because he did pursue his brother with the sword, and did cast off all pity, and his anger did tear perpetually, and he kept his wrath for ever.","LALPAIN hieng ang hin a tih, “Edom bawsietna pathum leiin, anih, pali leiin, a hremna sukbo naw ning; a unau chu kâwlhnâm leh a hnawt a, a lunginsietna po po a peihâwn vawng a, a lunginsenna chu a kei- thlêr rawp hlak a, kumkhuoin a lunginsenna chu a vawng zing leiin;"
"But I will send a fire upon Teman, and it shall devour the palaces of Bozrah.","chuleiin, Teman hmun chunga chun mei tir ka ta, Bozra khaw lal inhai chu kâng vawng a tih,” tiin."
"Thus saith Jehovah: For three transgressions of the children of Ammon, yea, for four, I will not turn away the punishment thereof; because they have ripped up the women with child of Gilead, that they may enlarge their border.","LALPAIN hieng ang hin a tih, “Ammon nauhai bawsietna pathum leiin, anih, pali leiin, a hremna sukbo naw ning; an ram an suklien theina dingin, Gilead khaw nuhmei nau vawnhai an phirthlêr leiin;"
"But I will kindle a fire in the wall of Rabbah, and it shall devour the palaces thereof, with shouting in the day of battle, with a tempest in the day of the whirlwind;","chuleiin, Rabba khaw kul chung- ah mei sêm chawk ka ta; chun, indo nia khêk le, thlivir nia thlipui leh, a lal inhai chu kâng vawng a ta;"
"and their king shall go into captivity, he and his princes together, saith Jehovah.","an lal chu salah man an ta, a mi lienhai leh, a ruolin,” LALPA chun a tih."
"Thus saith Jehovah: For three transgressions of Moab, yea, for four, I will not turn away the punishment thereof; because he burned the bones of the king of Edom into lime.","LALPAIN hieng ang hin a tih, “Moab bawsietna pathum leiin, anih, pali leiin, a hremna sukbo naw ning; Edom lal ruhai chu chinai ang hiela a raw leiin,"
"But I will send a fire upon Moab, and it shall devour the palaces of Kerioth; and Moab shall die with tumult, with shouting, and with the sound of the trumpet;","chuleiin, Moab chungah mei tir ka ta, Kerioth lal inhai chu kâng vawng a ta; chun, Moab chu buoina le khêk ri le tawtawrâwt riin thîng a ta,"
"and I will cut off the judge from the midst thereof, and will slay all the princes thereof with him, saith Jehovah.","chu laia rorêltu chu sukbo ka ta, a mi lienhai po po chu, ama leh that ka tih,” LALPA chun a tih."
