en,hmr
"Paul, an apostle of Christ Jesus through the will of God, and Timothy our brother,","Paula, Pathien dit zâwnga Krista Isu tirko le Timothe, ei unaupa chun:"
to the saints and faithful brethren in Christ that are at Colossæ: Grace to you and peace from God our Father.,"Kolossaa Kristaa mi inthienghai le unau ringumhai kuoma chun, Pathien ei Pa kuoma inthawka lunginsietna le inremna in kuomah um raw se."
"We give thanks to God the Father of our Lord Jesus Christ, praying always for you,","In ta dinga ṭawngṭai rawpin, Pathien ei Lalpa Isu Krista Pa kuoma chun lâwmthu kan hril hlak:"
"having heard of your faith in Christ Jesus, and of the love which ye have toward all the saints,","Chu chu, Krista Isua in ringna le mi inthieng po pohai chunga in hmangaina chu kan lo hriet leiin le,"
"because of the hope which is laid up for you in the heavens, whereof ye heard before in the word of the truth of the gospel,",vâna in ta dinga beiseina siepêka in um leiin a nih a; Chanchin Ṭha thutak thua in lo hriet ta lei khan a nih.
"which is come unto you; even as it is also in all the world bearing fruit and increasing, as it doth in you also, since the day ye heard and knew the grace of God in truth;","Chu Chanchin Ṭha chu, khawvêl pumpuiah malsâwmna hung intlunin a pung pei a; chuong ang takin in kuoma khawm a hung tlung a; titakzeta Pathien lunginsietna chu ngaia in hriet ni chena inthawk khan chu nangnia khawm rain a pung pei a ni kha."
"even as ye learned of Epaphras our beloved fellow-servant, who is a faithful minister of Christ on our behalf,","Epaphra, kan suok chanpui dittaka inthawka in inchûk ngei kha a nih. Ama hi kan aiawa Krista rawngbâwltu ringumtak a na."
who also declared unto us your love in the Spirit.,Thlarauin nangnia hmangaina ân neitir cheu thu keini mi hriltu kha a ni bawk.
"For this cause we also, since the day we heard it, do not cease to pray and make request for you, that ye may be filled with the knowledge of his will in all spiritual wisdom and understanding,","Chuleichun, Thlarau tieng varna le hriet theina po poa a dit zâwng hrietnaa chun in hung sip theina dingin, kan hriet nia inthawk chu keini khawma ṭawngṭai le hnipêk cheu kan ma nawh a."
"to walk worthily of the Lord unto all pleasing, bearing fruit in every good work, and increasing in the knowledge of God;","Chuongchun, sinthaw tinrênga hung rah a, Pathien hrietna kawnga hung inṭhang deu deu a, kawng tinrênga ama suklungawi dinga Lalpa zui tlâka in um theina ding le,"
