en,hmr
"These are the words which Moses spake unto all Israel beyond the Jordan in the wilderness, in the Arabah over against Suph, between Paran, and Tophel, and Laban, and Hazeroth, and Di-zahab.","Hieng thu hi Jordan saktieng thlalêr, Paran le Tophel, Laban, Hazeroth le Dizahab inkara Suph va dep Arabaa Mosien Israelmihai po po kuoma a hril chu a nih."
It is eleven days’ journey from Horeb by the way of mount Seir unto Kadesh-barnea.,Horeb tlânga inthawkin Kades- barnea chu Seir tlâng tieng lampuia ni sâwmpakhat lam a na.
"And it came to pass in the fortieth year, in the eleventh month, on the first day of the month, that Moses spake unto the children of Israel, according unto all that Jehovah had given him in commandment unto them;","Kum sâwmli kum, thla sâwmpa- khatna, chu thla ni khat ni chun, LALPAIN anni hril dinga thu a pêkhai po po chu Israel thlahai kuoma chun Mosien a hril a."
"after he had smitten Sihon the king of the Amorites, who dwelt in Heshbon, and Og the king of Bashan, who dwelt in Ashtaroth, at Edrei.",Chu chu Hesbona um Amor mihai lal Sihon le Edrei le Astaroth-a um Basan lal Og a that hnungin a nih.
"Beyond the Jordan, in the land of Moab, began Moses to declare this law, saying,","Jordan saktieng Moab ramah hi dân hi Mosien a phuong ṭan tah a,"
"Jehovah our God spake unto us in Horeb, saying, Ye have dwelt long enough in this mountain:","“LALPA ei Pathien chun Horeb tlângah a mi biek a, ‘Hi tlânga hin in um sâwt tâwk tah a;"
"turn you, and take your journey, and go to the hill-country of the Amorites, and unto all the places nigh thereunto, in the Arabah, in the hill-country, and in the lowland, and in the South, and by the sea-shore, the land of the Canaanites, and Lebanon, as far as the great river, the river Euphrates.","insawn ta unla, fe suok unla, Amor mihai tlâng rama le a kâwl vêl po po Arabaa dâm, tlâng rama dâm, phai rama dâm, Sim rama dâm, Kanaan mihai umna tuisuoriet pang- haia le Lebanona dâm, vadungpui Euphrates vadung chenin fe ro."
"Behold, I have set the land before you: go in and possess the land which Jehovah sware unto your fathers, to Abraham, to Isaac, and to Jacob, to give unto them and to their seed after them.","Ngai ta u, ram chu ka pêk dai ta cheu, in pu Abraham hai, Isak hai, Jakob hai le an hnunga an thla nâwk peihai kuoma inkhâma LALPAIN a pêk ram chu va hluo ro,’ tiin."
"And I spake unto you at that time, saying, I am not able to bear you myself alone:","“Horeb tlânga ei umlai khan in kuomah, ‘Keima ngawt chun ka zo naw cheu a,"
"Jehovah your God hath multiplied you, and, behold, ye are this day as the stars of heaven for multitude.","LALPA in Pathien chun a suk- pung cheu a, ngai ta u, tuhin chu in tamzie chu vâna arasi zât zet in hung ni tah a."
