en,hmr
"The words of the Preacher, the son of David, king in Jerusalem.","Jerusalema lal, David naupa Thuhriltu thuhai chu:"
"Vanity of vanities, saith the Preacher; vanity of vanities, all is vanity.","“Teplohai teplo, Thuhriltu chun, teplohai teplo! Thil po po hi teplo a nih,” a ta."
What profit hath man of all his labor wherein he laboreth under the sun?,"Miin a sininrimna, nisa hnuoia a sininrimna po poa chun ieng am hlâwkna a hmu a?"
"One generation goeth, and another generation cometh; but the earth abideth for ever.","Suon khat a fe liem a, suon dang a hung suok a; Leihnuoi ruok hi chu a um ngaiin a um zing a."
"The sun also ariseth, and the sun goeth down, and hasteth to its place where it ariseth.","Nisa chu a hung suok a, nisa chu a tla nâwk a, A hung suokna hmun ma chu a tlung nâwk vak a."
"The wind goeth toward the south, and turneth about unto the north; it turneth about continually in its course, and the wind returneth again to its circuits.","Thli chu simtieng a hrâng a, hmartieng a kîr nâwk a. A vêl a vêlin thli chu a hrâng a, Chu thli chu a fe kuolnaa bawk chun a kîr nâwk a."
"All the rivers run into the sea, yet the sea is not full; unto the place whither the rivers go, thither they go again.","Vadunghai po po chu tuisuorietah an luong lût a, Anachu tuisuoriet chu a sip nawh a: Vadunghai chu an hung suokna hmun tiengah, chutieng ma chun an kîr nâwk a."
"All things are full of weariness; man cannot utter it: the eye is not satisfied with seeing, nor the ear filled with hearing.","Thil po po hi inrimna el a nih; miin a hril thei nawh; A hmua hmuin mit chu a tlai ngai nawh a, A hrieta hrietin na khawm chu a sip ngai bawk nawh."
That which hath been is that which shall be; and that which hath been done is that which shall be done: and there is no new thing under the sun.,"Thil ni tasa kha, thil la hung ni ding chu a na; Thaw tasa kha la thaw ding chu a nih: Nisa hnuoia hin thil tharlâm hrim a um nawh."
"Is there a thing whereof it may be said, See, this is new? it hath been long ago, in the ages which were before us.","Miin, “En ta, hi hi a thar a nih” an ti ding thil hrim a um am a nih? Einihai hmaa lo um ta dai ruok an nih;"
"There is no remembrance of the former generations; neither shall there be any remembrance of the latter generations that are to come, among those that shall come after.","Hi hma thilhai hriet zingna a um nawh a, La hung um ding thilhai khawm chu Suon hung um dinghai laia tukhawmin hre zing chuong naw nih."
I the Preacher was king over Israel in Jerusalem.,Kei Thuhriltu hi Jerusalema Israelhai chunga lal ka ni tah a.
And I applied my heart to seek and to search out by wisdom concerning all that is done under heaven: it is a sore travail that God hath given to the sons of men to be exercised therewith.,Vânkhuphnuoia thil thawa um ta po po chungthu chu varnaa zawnga zawng suok dingin ka lungril ka lo hmang tah a; Pathienin mihriem nauhai buoipui dinga a pêk chu sin rinumtak a nih.
"I have seen all the works that are done under the sun; and, behold, all is vanity and a striving after wind.","Nisa hnuoia sin thawa um tahai po po chu ka hmu tah a; chun, ngai ta, thil po po chu teplo el, lungril sâwlna el a nih."
That which is crooked cannot be made straight; and that which is wanting cannot be numbered.,"A kâwi ta hlak chu siem tlûn thei a ni nawh a, Chun, a um naw hlak tiem el thei a ni hliek nawh a."
"I communed with mine own heart, saying, Lo, I have gotten me great wisdom above all that were before me in Jerusalem; yea, my heart hath had great experience of wisdom and knowledge.","Ka lungrilin, “Ka hmaa Jerusa- lema umhai po po nêkin varna ka nei nasa lem a nih, ka lungril khawmin hrietthiemna le varna nasatak a nei a,” ka tih a."
"And I applied my heart to know wisdom, and to know madness and folly: I perceived that this also was a striving after wind.","Chun, intlâwkna le invêtna hre dingin le, varna chu hre dingin ka lungril ka sêng a; hi khawm hi nuom- hmanglo el a niin ka hriet tah a."
For in much wisdom is much grief; and he that increaseth knowledge increaseth sorrow.,Varna tamtak umnaa chun lungngaina tamtak a um veh a; Hrietna insukpungtu khawm chun lungngaina ân sukpung bawk a nih.
Dead flies cause the oil of the perfumer to send forth an evil odor; so doth a little folly outweigh wisdom and honor.,"Tho thihai chun rim inhnik siemtu hriek chu rim thu an innamsuoktir a. Chuong ang bawk chun, invêtna chite chun varna le inzâkaina chu a suksietpêk."
A wise man’s heart is at his right hand; but a fool’s heart at his left.,"Mi var lung chu a changtieng pangah a ngha a, Mi invêt lung chu vawitieng a ngha."
"Yea also, when the fool walketh by the way, his understanding faileth him, and he saith to every one that he is a fool.","Anih, mi invêt chu lampuia a fe laiin, A hrietthiemna chun ân hlawsamtir a; Mi tin kuoma chun invêt a ni chu a hril hlak."
"If the spirit of the ruler rise up against thee, leave not thy place; for gentleness allayeth great offences.","Rorêltu lungril chu i chungah a tho chun, I umna hmun chu mâksan naw la; Intuklûtna hin lungninawna nasatak chu a sukrê sih a."
"There is an evil which I have seen under the sun, as it were an error which proceedeth from the ruler:",Thil ṭha naw nisa hnuoia hin ka hmu chu a um a; Rorêltua inthawk thil indik lo suok ang tak chu;
"folly is set in great dignity, and the rich sit in a low place.","Invêt chu insâng nasataka siein a um a, Hausa chu hmun inhnuoia a ṭhung si hai hi."
"I have seen servants upon horses, and princes walking like servants upon the earth.","Siehlawhai chu sakawr chunga chuonga, Lal nauhai chu hnuoia kea lâwn ka hmuh a."
"He that diggeth a pit shall fall into it; and whoso breaketh through a wall, a serpent shall bite him.","Khur chotu chu chutaka chun tlâng a ta, Dâi nêrâwngtu chu rûlin chuk bawk a tih."
Whoso heweth out stones shall be hurt therewith; and he that cleaveth wood is endangered thereby.,"Lung keilûttu chu suknatin um a ta, Thing chêkkhawitu chu chutak- a chun sukṭitin um a tih."
"If the iron be blunt, and one do not whet the edge, then must he put to more strength: but wisdom is profitable to direct.","Thîr chu a mâwla, miin a sîr chu a tâtngei naw chun, Hrâtna tam lem a hmang a ṭûl a; Nisienlakhawm, hlawtlingna ding chun varna a ṭhangkai."
"If the serpent bite before it is charmed, then is there no advantage in the charmer.","Dâwivêt a ni hmaa rûl chun a chuk si chun, Rûl dâwivêttu ta ding chun ṭhangkaina a um dêr nawh."
The words of a wise man’s mouth are gracious; but the lips of a fool will swallow up himself.,"Mi var baua thuhai chu a zainêm hlak a, Mi invêt hmûrhai ruok chun ama chu lem a tih."
The beginning of the words of his mouth is foolishness; and the end of his talk is mischievous madness.,"A baua inthawka thu hung inṭanna khawm chu invêtna a na, A thuhril tâwpna khawm chu intlâwkna pawitâwk thei a nih."
"A fool also multiplieth words: yet man knoweth not what shall be; and that which shall be after him, who can tell him?","Mi invêt khawma thuhai a sukpung a, Mihriem chun ieng am a um ding a hriet nawh, Ama hnunga chun ieng am a um ding ti tuin am ama chu hril thei a ta?"
The labor of fools wearieth every one of them; for he knoweth not how to go to the city.,"Invêt sininrimna chun ama chu a suklungzîng a, Khawpuia fe dân khawm a hriet si nawh a."
"Woe to thee, O land, when thy king is a child, and thy princes eat in the morning!","Aw ram, i chung a rik! i lal chu naupang a na, I rorêltuhaiin zîngkâr ruoi an ṭhe hlak si a."
"Happy art thou, O land, when thy king is the son of nobles, and thy princes eat in due season, for strength, and not for drunkenness!","Aw ram, i lal chu mi ṭhahai naupa a na, I rorêltuhai chun inruina ding el ni loa, hrâtna dinga A hunbi taka an fâk lai chun i va hlim de!"
By slothfulness the roof sinketh in; and through idleness of the hands the house leaketh.,"Zawmthâwtnaa chun inchung chu a chim a, Thabona kuthaia chun in a far."
"A feast is made for laughter, and wine maketh glad the life; and money answereth all things.","Ruoiṭhena chu innuina dinga siem a na, Uoin chun nun chu a suk- lâwm a; Tangka ruok chun iengkim a thaw thei."
"Revile not the king, no, not in thy thought; and revile not the rich in thy bedchamber: for a bird of the heavens shall carry the voice, and that which hath wings shall tell the matter.","Lal chu ṭawngsie inphur naw rawh, ngaituona khawmin; I khum pindana chun mi hausa chu ṭawngsie inphur bawk naw rawh; Chunga vate chun râwl rî chu phur a ta, Chuong thla neihai chun thu chu hril rawi an tih."
Cast thy bread upon the waters; for thou shalt find it after many days.,"Tuihai chunga chun i bei chu pei la, Ni tamtak hnunga chun i hmu nâwk ding a ni sih a."
"Give a portion to seven, yea, even unto eight; for thou knowest not what evil shall be upon the earth.","Chan chu hmun sariah sem lem la, anih, hmun rieta khawm; Hnuoi chunga hin thil ṭha naw ieng am a hung ding ti i hriet si nawh a."
"If the clouds be full of rain, they empty themselves upon the earth; and if a tree fall toward the south, or toward the north, in the place where the tree falleth, there shall it be.","Sûmhai chu ruoa an sip hle chun hnuoi chungah an insukruok hlak a, Thing hi chu hmârtienga manih, simtienga manih a tlu chun, A tlûkna hmuna chun thing chu um a tih."
He that observeth the wind shall not sow; and he that regardeth the clouds shall not reap.,"Thli nghâktu chun thlaichi thlâk naw nih a, Sûmhai pawisatu chun sîk ngai bawk naw nih."
"As thou knowest not what is the way of the wind, nor how the bones do grow in the womb of her that is with child; even so thou knowest not the work of God who doeth all.","Thli lampui chu khâwtieng am ti i hriet naw angin le, nau vawntu phîng sûnga chun iengtin am ruhai chu an inṭhanga ti i hriet naw angin, thil po po thawtu Pathien sinthaw chu i hriet nawh."
"In the morning sow thy seed, and in the evening withhold not thy hand; for thou knowest not which shall prosper, whether this or that, or whether they both shall be alike good.","Zingkâr chun i thlaichi chu thlâk la, zântienga khawm i kut chu la kîr naw rawh; a ieng lem am a hung hlawtling ding, a hi am a nih a kha am a nih, an pahni ve vein angkhat an ni ding am khawm i hriet si nawh a."
"Truly the light is sweet, and a pleasant thing it is for the eyes to behold the sun.","Var chu ân hawi a, mithai ta dinga thil inhawi chu nisa hmu hi a nih."
"Yea, if a man live many years, let him rejoice in them all; but let him remember the days of darkness, for they shall be many. All that cometh is vanity.","Anih, mi chu kum tamtak a dam chun, chuonga po po chun ama chu hlim raw se; amiruokchu, inthim lai nihai chu hre zing raw se, tamtak an ni ding a ni sih a. Chuong a hung tlunghai po po chu teplo el a nih."
"Rejoice, O young man, in thy youth, and let thy heart cheer thee in the days of thy youth, and walk in the ways of thy heart, and in the sight of thine eyes; but know thou, that for all these things God will bring thee into judgment.","Aw tlangvâl, i tlangvâlnaa chun hlim rawh; i vânglai nihaia chun i lungril chu hlim sienla, i lungril lampui chu hraw la, i mithmu ngeia chun; amiruokchu, hieng thil po poa ding hin Pathien chun rorêlnaah a ṭhuoilût ding che a nih ti hre rawh."
"Therefore remove sorrow from thy heart, and put away evil from thy flesh; for youth and the dawn of life are vanity.","Chuleiin, i lungrila inthawkin lungngaina chu sie hmang la, i tisaa inthawk chun thil ṭha naw chu sie hmang bawk la, tlangvâl lai le vânglai nihai hi teplo el a ni sih a."
"Remember also thy Creator in the days of thy youth, before the evil days come, and the years draw nigh, when thou shalt say, I have no pleasure in them;","I vânglai nihaia chun nangma Siemtu che chu hre zing la, kumhai a hung hnai a, ni ṭha nawhai a hung tlung hma le;"
"before the sun, and the light, and the moon, and the stars, are darkened, and the clouds return after the rain;","chu huna chun, “Annia chun inhawitina ka nei nawh,” i tina hun a hung tlung hma hin; nisa amanih, var amanih, thla amanih, arasihai amanih an inthim hmain, sûmhai chu ruo hnunga an hung ki nâwk hma hin."
"in the day when the keepers of the house shall tremble, and the strong men shall bow themselves, and the grinders cease because they are few, and those that look out of the windows shall be darkened,","In vêngtuhai chu an inthin a, mi hrâthai chu an kûn a, bu râwttuhai chu an tlâwm leia an maa, tukvera dâkhai chu an inthim nia chun;"
"and the doors shall be shut in the street; when the sound of the grinding is low, and one shall rise up at the voice of a bird, and all the daughters of music shall be brought low;","kawtthlêrahai chun kawtkhâr- hai khâr a na, thil râwt rihai chu a hung dei a, mi chu vate râwl ria chun a hung tho a, thil ri mawi naunu- hmeihai po po chu sukhnuoi an hung na;"
