en,hmr
"Paul, an apostle of Christ Jesus through the will of God, to the saints that are at Ephesus, and the faithful in Christ Jesus:","Paula, Pathien ditzâwnga Krista Isu tirko chun: Mi inthieng Ephesia um, Krista Isua mi ringumhai kuoma chun:"
Grace to you and peace from God our Father and the Lord Jesus Christ.,Pathien ei Pa le Lalpa Isu Krista kuoma inthawka lunginsietna le inremna in kuomah um raw se.
"Blessed be the God and Father of our Lord Jesus Christ, who hath blessed us with every spiritual blessing in the heavenly places in Christ:",Ei Lalpa Isu Krista Pathien le Pa chu inpâkin um raw se. Ama chun vân hmunhaia thlarau tieng mal- sâwmpêkna tinrêngin Kristaa chun mal a mi sâwm a.
"even as he chose us in him before the foundation of the world, that we should be holy and without blemish before him in love:","Hmangainaa inthieng le, sawi- sêlboa ama hmaa ei um theina dingin leilung insieng hmain Kristaa chun a mi thlang a."
"having foreordained us unto adoption as sons through Jesus Christ unto himself, according to the good pleasure of his will,","Ama lungdit, a lâwmzâwng angin Isu Krista zârah ama ta dinga naua siem dingin a mi lo ruot lâwk tah a,"
"to the praise of the glory of his grace, which he freely bestowed on us in the Beloved:",a lunginsietna ropuizie chu Dittaka a thlâwna a mi pêk chu inpâk dingin.
"in whom we have our redemption through his blood, the forgiveness of our trespasses, according to the riches of his grace,",A thisen leiin amaa chun ei intlanna ei nei a nih — a lunginsietna hauzie ang peia ei bawsietnahai ngaidamna chu.
"which he made to abound toward us in all wisdom and prudence,",Chu lunginsietna chu amain vartak le remhretakin a mi vur a nih:
"making known unto us the mystery of his will, according to his good pleasure which he purposed in him","a ditzâwng thurûk, a lungni- zâwngtaka amaa thaw a itum chu eini kuomah mîn hriettirin,"
"unto a dispensation of the fulness of the times, to sum up all things in Christ, the things in the heavens, and the things upon the earth; in him, I say,","hunbi kim hunah: iengkim — vâna thil umhai le hnuoia thil umhai khawm–Kristaah, amaa ngei chun fâwkkhâwm dingin a nih."
"in whom also we were made a heritage, having been foreordained according to the purpose of him who worketh all things after the counsel of his will;","Ama ditzâwnga remruot ang peia iengkim thawtu tum anga ruot lâwk ni tain, amaa bawk chun a ro dinga siem kan nih,"
"to the end that we should be unto the praise of his glory, we who had before hoped in Christ:",keini Krista lo beisei hmasatu- hai hi a ropui inpâkna kan lo nina dingin.
"in whom ye also, having heard the word of the truth, the gospel of your salvation,—in whom, having also believed, ye were sealed with the Holy Spirit of promise,","Amaa chun nangni khawm thutak thu, in sandamna Chanchin Ṭha chu, in ngaia ring khawm in ring hnungin, amaa chun a ta in nih ti Thlarau Inthieng tiem chun inchika in um kha."
"which is an earnest of our inheritance, unto the redemption of God’s own possession, unto the praise of his glory.","Chu chu Pathien ropuizie inpâkna dinga, ama ta ngeihai intlan suok phaa ei rohluona dinga zakhamna a nih."
"For this cause I also, having heard of the faith in the Lord Jesus which is among you, and the love which ye show toward all the saints,","Chuleiin, kei khawma Lalpa Isu ringna nangnia um le, mi inthienghai po po chunga in inlangtir hlak hmangaina chu, ka lo hrietin,"
"cease not to give thanks for you, making mention of you in my prayers;",ka ṭawngṭainaahai chun in hming lamin nangni leia lâwmthu hril ka ma nawh;
"that the God of our Lord Jesus Christ, the Father of glory, may give unto you a spirit of wisdom and revelation in the knowledge of him;","ei Lalpa Isu Krista Pathien, ropuina Pa chun, ama hrietna kawngah, varna le hriet chiengna thlarau a pêk theina ding cheuin."
"having the eyes of your heart enlightened, that ye may know what is the hope of his calling, what the riches of the glory of his inheritance in the saints,","Chuongchun, in lungril mithai sukvara umin hieng hi hung hre thei in tih:"
"and what the exceeding greatness of his power to us-ward who believe, according to that working of the strength of his might","ama kona beiseina dâm, mi inthienghaia chun a ro hluo ding ropui hauzie dâm, a thahrui hrâtna thaw zie ang peia, keini a ringtuhai tienga a thilthawtheina inkhi ruolloa lien Krista chunga a thaw —"
"which he wrought in Christ, when he raised him from the dead, and made him to sit at his right hand in the heavenly places,","chu chu Krista ah asuk lang a ,mithi laia inthawka a keitho a vanram ah a kut changtienga a an thrungtir khan,"
"far above all rule, and authority, and power, and dominion, and every name that is named, not only in this world, but also in that which is to come:","inlalna dâm, thuneina dâm, thilthawtheina dâm, rorêlna po po dâm, hi khawvêla chau ni loa, khaw- vêl la hung tlung ding hai le hming sak tinrênghai chunga hai"
"and he put all things in subjection under his feet, and gave him to be head over all things to the church,","chun, thil tinrêng a ke hnuoiah a sieh a, ama chu iengkim po po chunga lu dingin kohranhai kuoma chun a pêk a,"
"which is his body, the fulness of him that filleth all in all.","kohran chu a taksa a nih, iengkim tinrênga suksiptu famkimna chu."
"And you did he make alive, when ye were dead through your trespasses and sins,","Nangni khawm in bawsiet le in suolhai leia thi in ni lai khan, a sukhring cheu a nih,"
"wherein ye once walked according to the course of this world, according to the prince of the powers of the air, of the spirit that now worketh in the sons of disobedience;","chuongahai chun inhma khan hi khawvêl dân angin in um kha, boruoka thuneina lal, tuta awinaw nauhai sûnga sin thaw zingtu thlarau dân ang hin."
"among whom we also all once lived in the lusts of our flesh, doing the desires of the flesh and of the mind, and were by nature children of wrath, even as the rest:—","Chuong ringnaw nauhai laia chun, eini khawm inhma chun tisa le lungril nuomzâwng thawin, ei tisa châknahai angin ei um vawng a, mi danghai angin lunginsenna naua insieng hrim ei ni kha."
"but God, being rich in mercy, for his great love wherewith he loved us,","Nisienlakhawm, Pathien chun lunginsietna a hauin, a mi hmangai- na nasatak lei khan,"
"even when we were dead through our trespasses, made us alive together with Christ (by grace have ye been saved),","ei bawsietna leia thi ei ni lai meu khawmin, Krista ruolin a mi suk- hring veh a, (lunginsietnaa sandam in ni tah),"
"and raised us up with him, and made us to sit with him in the heavenly places, in Christ Jesus:","Krista Isua chun ama ruol bawka mi keithoin, vân hmunhaiah ama kuom ngeiah a mîn ṭhungtir tah a,"
that in the ages to come he might show the exceeding riches of his grace in kindness toward us in Christ Jesus:,"Chuongchun, hun la hung tlung dinghaia chun Krista Isua hin ei chunga ngilneiin, a lunginsietna nasatzie chu inentir thei a tih."
"for by grace have ye been saved through faith; and that not of yourselves, it is the gift of God;","Ringna leia lunginsietnaa sandam in ni sih a, chu khawm chu nangnia inthawka suok a ni nawh a, Pathien thilpêk a nih."
"not of works, that no man should glory.","Thilthaw lei a ni nawh; chuong naw chun, miin suong rawi an tih."
"For we are his workmanship, created in Christ Jesus for good works, which God afore prepared that we should walk in them.","Thil ṭha thaw dinga Isu Kristaa chun siema umin, ama kut suok ei ni sih a, chu thil ṭha thaw chu ei umna dingin Pathienin a buotsai lâwk a nih."
"Wherefore remember, that once ye, the Gentiles in the flesh, who are called Uncircumcision by that which is called Circumcision, in the flesh, made by hands;","Chuleiin, hi hi hre zing ro: Inhmaa nangni tisaa Jentail, tisaa kuta siem “Sertan” an tihaiin, “Sertannaw,” an tihai,"
"that ye were at that time separate from Christ, alienated from the commonwealth of Israel, and strangers from the covenants of the promise, having no hope and without God in the world.","khâng lai khan Krista boin, Israel khuoletui leh intuolkhat loin, khawvêla hin beiseina hrim nei lo le, Pathien boa umin, tiemna thu- thlunghaia mikhuola in um kha."
But now in Christ Jesus ye that once were far off are made nigh in the blood of Christ.,"Tu ruok hin chu Krista Isuah, nangni inhmaa hlataka umhai kha, Krista thisen chun sukhnaiin in lo um tah a."
"For he is our peace, who made both one, and brake down the middle wall of partition,","Ama chu ei inremna a nih, pâwl hnihai chu pumkhata siemin, an inkâr ping dangna bang chu a sukchim a;"
"having abolished in his flesh the enmity, even the law of commandments contained in ordinances; that he might create in himself of the two one new man, so making peace;","ama chun intaina, (ser le sâng thilhaia thupêk Dân um chu), a taksaa sukboin, amaa chun pahnihai chu mihriem thar pumkhata siem a, inremna a siem theina ding le,"
"and might reconcile them both in one body unto God through the cross, having slain the enmity thereby:",kraws zâra taksa pumkhata pahnihai chu Pathien le ân remtir theina dingin: chu kraws chun intaina chu a sukhlum sih a.
"and he came and preached peace to you that were far off, and peace to them that were nigh:","Chun, a hungin nangni hlataka umhai kuomah inremna Chanchin Ṭha a hril cheu a, hnaitaka umhai kuoma khawm Chanchin Ṭha a hril bawk a."
for through him we both have our access in one Spirit unto the Father.,"Ama zârin Thlarau hmunkhata, Pa kuoma lût theina ei nei ve ve a nih."
