en,hmr
"Paul, an apostle (not from men, neither through man, but through Jesus Christ, and God the Father, who raised him from the dead),","Paula, tirko (mihriemhai tir suok ni loa, mihriemhai zârah ni bawk loa, Isu Krista le mithi laia inthawka a keithotu, Pa Pathien zâra tirko ni lem) le,"
"and all the brethren that are with me, unto the churches of Galatia:","ka kuoma unau um po pohai chun, Galati rama kohranhai kuomah:"
"Grace to you and peace from God the Father, and our Lord Jesus Christ,",Pa Pathien le ei Lalpa Isu Krista kuoma inthawkin lungin- sietna le inremna in kuomah um raw se:
"who gave himself for our sins, that he might deliver us out of this present evil world, according to the will of our God and Father:","ama chun ei Pathien le ei Pa remtizâwngin tulai khawvêl suoltaka a mi san suok theina dingin, ei suolhai aiin ama ân pe tah a;"
to whom be the glory for ever and ever. Amen.,Pathien kuoma chun ropuina chatuonin um raw se. Amen.
I marvel that ye are so quickly removing from him that called you in the grace of Christ unto a different gospel;,Krista lunginsietna zâra a kotu cheu kha chuong ang thuta chanchin ṭha dang tienga in kai san hi a mak ka ti a nih.
"which is not another gospel: only there are some that trouble you, and would pervert the gospel of Christ.","Chu chu Chanchin Ṭha a ni ve si nawh a; nangni sukbuoiin, Krista Chanchin Ṭha suk danglam nuom tuhai amanih an um el a nih."
"But though we, or an angel from heaven, should preach unto you any gospel other than that which we preached unto you, let him be anathema.","Nisienlakhawm, keiniin amanih, vâna inthawka hung ṭum vântirko khawmin amanih, Chanchin Ṭha kan ihril cheu ti lo kha chu chanchin ṭha dang hrim hrim lo hril sien la cheu ṭawngsephurin um raw se."
"As we have said before, so say I now again, If any man preacheth unto you any gospel other than that which ye received, let him be anathema.","Inhmaa kan hril ang khan tuhin ka hril nâwk ding a nih, “Chanchin Ṭha in ipawm naw kha chu, chanchin ṭha dang tûkhawmin hril sien la cheu, ṭawngsephurin um raw se.”"
"For am I now seeking the favor of men, or of God? or am I striving to please men? if I were still pleasing men, I should not be a servant of Christ.","Anleh, tuhin mihriem suklâwm tum am ka ni, Pathien suklâwm? Annawleh, mihriem laia tlâktlum tum ringawt am ka nih? Lo ni lang chu Krista suok ni naw ningah."
