en,hmr
"The vision of Isaiah the son of Amoz, which he saw concerning Judah and Jerusalem, in the days of Uzziah, Jotham, Ahaz, and Hezekiah, kings of Judah.","Amoz naupa Isaiin Judahai lal Uzzia, Jotham, Ahaz le Hezekia hai inlal laia Judahai le Jerusalem chungchâng thua inlârna a hmu chu."
"Hear, O heavens, and give ear, O earth; for Jehovah hath spoken: I have nourished and brought up children, and they have rebelled against me.","Aw vânhai, ngai unla, aw lei- hnuoi, na sit rawh, LALPA chun thu a hril ie: “Nauhai chu ka châwm puitling a, ka chungah an hel ta sih a."
"The ox knoweth his owner, and the ass his master’s crib; but Israel doth not know, my people doth not consider.","Bâwngchal chun a pu a hriet a, sabengtung khawma a pu bupêkna a hriet bawk a, Israelhai ruok chun an hriet si nawh a; ka mihai chun an ngaituo naw a nih,” tiin."
"Ah sinful nation, a people laden with iniquity, a seed of evil-doers, children that deal corruptly! they have forsaken Jehovah, they have despised the Holy One of Israel, they are estranged and gone backward.","A! hnam suol, khawhlona riktak phur mihai, chithla thil ṭha naw thaw- tuhai, nau rilotaka khawsa hlakhai an nih. LALPA chu an mâksan a, Israelhai Mi Inthieng chu an hmusit a, insuktumin an hnungtawl tah."
"Why will ye be still stricken, that ye revolt more and more? the whole head is sick, and the whole heart faint.","Iengdinga hel zuol deu deu a, vuoka la um rawp ding am in nih a? Lu chu a pumin a nah a, lungril khawm chu a pumin a châu tah."
"From the sole of the foot even unto the head there is no soundness in it; but wounds, and bruises, and fresh stripes: they have not been closed, neither bound up, neither mollified with oil.","Kepha hnuoia inthawka lu chenin a dam lai hrim a um nawh; pawp dâm, vuok duk chur dâm, pânna hnâi la ruok an nih; chuong chu an hmetping nawh a, an tuom bawk nawh a, sahriek khawm an nâl bawk nawh."
"Your country is desolate; your cities are burned with fire; your land, strangers devour it in your presence, and it is desolate, as overthrown by strangers.","In ram chu rausanin a um zo a, in khuohai chu meiin a kâng zo a, in ram chu ram dang mihaiin in mithmu ngeiah an nei zo a, ram dang mihai suksiet angin a se zo tah."
"And the daughter of Zion is left as a booth in a vineyard, as a lodge in a garden of cucumbers, as a besieged city.","Zion naunu chu grêp huona vêngbûk ang le, fanghma huona ṭu ang le, khawpui inhuolvêl anga mâksanin a um tah."
"Except Jehovah of hosts had left unto us a very small remnant, we should have been as Sodom, we should have been like unto Gomorrah.","Sipaihai LALPA chun hlabîkhai tlâwmte mi lo hlapêk naw sienla chu Sodom ang khan um dai tâng ei ta, Gomorra ang el khan um tâng ei tih."
"Hear the word of Jehovah, ye rulers of Sodom; give ear unto the law of our God, ye people of Gomorrah.","Sodom rorêltuhai, LALPA thu hi hre unla, Gomorra mihai, ei Pathien dân thua hin na sit ro!"
"What unto me is the multitude of your sacrifices? saith Jehovah: I have had enough of the burnt-offerings of rams, and the fat of fed beasts; and I delight not in the blood of bullocks, or of lambs, or of he-goats.","LALPA chun, “In inthâwina zozai hi ka ta dingin ieng am a ṭhang- kaina a um a? Berâmchal pumraw- hmanga inhlân le, ran châwm thâu- hai thâu chu ka nghawk tah; bâwng- chalhai le berâmte le kêlchalhai thisena hin ka lâwm ta nawh."
"When ye come to appear before me, who hath required this at your hand, to trample my courts?","Ka hmaa hin inlang dinga in hung hin, ka biekin inhuon sûng tuollai hi sir dingin tuin am a phût cheu a?"
"Bring no more vain oblations; incense is an abomination unto me; new moon and sabbath, the calling of assemblies,—I cannot away with iniquity and the solemn meeting.","Thilpêk mei meihai chu hung chawi ta ngai naw ro; thil riminhnik khawm chu ka ta dingin thil tirdak- umtak a nih; thla thar dâm, châwlni dâm inkhâwmpuia infiel khâwm dâm mei mei chu ka ngai thei naw tawp el; khawhlona mei mei a nih, inkhâwm ropuitak khawm hi."
Your new moons and your appointed feasts my soul hateth; they are a trouble unto me; I am weary of bearing them.,"In thla tharhai le in hunbi nei ruoiṭhehai chu ka lungril chun a theida a nih; ka ta dinga thil hnawk- saktak a nih, tuor ka nghawk tah a nih."
"And when ye spread forth your hands, I will hide mine eyes from you; yea, when ye make many prayers, I will not hear: your hands are full of blood.","Chuongchun, in kut in phar pha khawm in tienga chun ka hmai hip tâng ka ta, anih, vawi tamtak in ṭawngṭai hnung khawmin ngai ta naw ningah; in kuthai chu thisenin a sip sih a."
"Wash you, make you clean; put away the evil of your doings from before mine eyes; cease to do evil;","Insâwp unla, insukfai ro, ka mithmu phâk nawah in thilthawhai hi a suolna chu sie hmang ro; suol thaw thaw el hi ma ta unla, thil ṭha thaw inchûk ta ro;"
"learn to do well; seek justice, relieve the oppressed, judge the fatherless, plead for the widow.","rorêlna fel zawng unla, nêk- sâwrna tuorhai chu ṭhangpui unla, pa bohai chu ro rêlpêk unla, hmeithaihai chu hrilpui ro,” ti hi."
"Come now, and let us reason together, saith Jehovah: though your sins be as scarlet, they shall be as white as snow; though they be red like crimson, they shall be as wool.","LALPA chun, “Hung ta u, ngaituo tlâng ei tiu! In suolhai chu sen inlâr angin um ta sienla khawm, vûr angin vâr a tih; sen duk angin sen ta sienla khawm, berâm hmul angin um a tih."
"If ye be willing and obedient, ye shall eat the good of the land:","Tiâwitak le thuâwitaka in um chun, in rama thil ṭhahai hi fâng in ta;"
"but if ye refuse and rebel, ye shall be devoured with the sword; for the mouth of Jehovah hath spoken it.","nisienlakhawm, in nuom nawh a, in hel chun kâwlhnâmin fa zo a ti cheu; LALPA bau chun chu chu a hril tah a nih,” a ta."
"How is the faithful city become a harlot! she that was full of justice! righteousness lodged in her, but now murderers.","Iengtiziea khawpui ringumtak chu nawchizawra inchang el am a ni le aw! Rorêl felnaa sipnu a ni hlak vei leh! Amaa chun felna a um hlak a, tu ruok hin chu tuolthattuhai an um lem ta hi."
"Thy silver is become dross, thy wine mixed with water.","I tangka chu a êksiein ân chang tah a, i uoin chu tui le pawl a ni tah a."
"Thy princes are rebellious, and companions of thieves; every one loveth bribes, and followeth after rewards: they judge not the fatherless, neither doth the cause of the widow come unto them.","I mi lienhai chu mi hel hmang, inru hmanghai ruolhai an nih, mi tinin tham an nuom a, lâwmman an hnawt hlak; pa bohai ro an rêlpêk ngai nawh a, hmeithai thu hlak an kuom a tlung ngai nawh."
"Therefore saith the Lord, Jehovah of hosts, the Mighty One of Israel, Ah, I will ease me of mine adversaries, and avenge me of mine enemies;","Chuleiin, LALPA, Sipaihai LALPA, Israelhai Mi Hrât chun, hieng ang hin a hril a nih: “A! A mi dotuhai hi sukfithla el ka ta, ka hmêl- mahai chungah phuba lâng ka tih:"
"and I will turn my hand upon thee, and thoroughly purge away thy dross, and will take away all thy tin;","chun, i chungah ka kut thlâk nâwk ka ta, i êksie chu faitakin sukbo ka ta, i suon po po chu la hmang vawng ka tih:"
"and I will restore thy judges as at the first, and thy counsellors as at the beginning: afterward thou shalt be called The city of righteousness, a faithful town.","chun, i chungah rorêltuhai chu a tîra an um ang khan inumtir nâwk ka ta, i sûnga remruottuhai chu a hmasa taka an um ang khan inumtir nâwk bawk ka tih; chu hnunga chun, ‘Felna khawpui, khawpui ringumtak,’ la tîng an ti che."
"Zion shall be redeemed with justice, and her converts with righteousness.","Zion chu rorêlna fela sansuok ni tâng a ta, a sûnga mi nghakîr nâwkhai khawm felnaa sansuok nîng an tih."
"But the destruction of transgressors and sinners shall be together, and they that forsake Jehovah shall be consumed.","Nisienlakhawm, bawsetuhai le mi suolhai suksietna chu um inruol a ta, LALPA mâksantuhai khawm sukbohmangin um an tih."
"For they shall be ashamed of the oaks which ye have desired, and ye shall be confounded for the gardens that ye have chosen.","In thingsaisuo dittakhai chu inzâpui tâng an ta, in huon thlanghai lei chun inzaktakin in um ta ding a nih."
"For ye shall be as an oak whose leaf fadeth, and as a garden that hath no water.","Thingsaisuo a hna vuoi ta le, huon tui hmu naw ang el hi in ni ding a nih."
"And the strong shall be as tow, and his work as a spark; and they shall both burn together, and none shall quench them.","Chun, mi hrâttak chu ziza pawn ang ni tâng a ta, a sinthaw chu meisi ang ni tâng a tih; chuongchun, kâng rêl an ta, tukhawma sukrêm naw ni hai,” tiin."
"Woe unto them that decree unrighteous decrees, and to the writers that write perverseness;",Fel nawtaka thu ruottuhai le indik nawtaka ziektuhai chu an chung a rik ie!
"to turn aside the needy from justice, and to rob the poor of my people of their right, that widows may be their spoil, and that they may make the fatherless their prey!","Pasiehai chu rorêlna fel inkhêltir ding le ka mihai laia pasiehai hmu thei ding âwm hrim hrim lâkpêk dinga, hmeithaihai chu an râllâk anga an um theina dingin le pa nei nawhai chu an thil lâkpêk anga an siem theina dinga thawtuhai chu."
"And what will ye do in the day of visitation, and in the desolation which shall come from far? to whom will ye flee for help? and where will ye leave your glory?","Chuongchun, an hung kan nia cheu le hlataka inthawka râusanna hung tlung dinga inthawk ieng am thaw tâng in ta le? Ṭhangpuina hniin tu kuom âm tlân tâng in ta le? In ropuina chu khâw lai am mâksan tâng in ta le?"
"They shall only bow down under the prisoners, and shall fall under the slain. For all this his anger is not turned away, but his hand is stretched out still.","Salhai hnuoiahai chun kûn an ta, thata umhai hnuoiahai chun tlûng an tih, chu chau chu an chan ni tâng a tih. Chuong ang lâwma a thaw khawm chun a lunginsen chu a la bo chuong si nawh a, a kut chu a lân let ta rawp a."
"Ho Assyrian, the rod of mine anger, the staff in whose hand is mine indignation!","Hung ta, Assuria mi, ka lungin- senna hembâwk, ka lungninawna chawitu hmawl!"
"I will send him against a profane nation, and against the people of my wrath will I give him a charge, to take the spoil, and to take the prey, and to tread them down like the mire of the streets.","Râllâk la ding le, thil lâkpêk la ding le kawtthlêr chirhak anga sir dingin ama chu Pathien inza naw hnam do dingin tir ka ta, ka lunginsenna mihai chu thaw dingin thu pêng ka tih."
