en,hmr
"James, a servant of God and of the Lord Jesus Christ, to the twelve tribes which are of the Dispersion, greeting.","Jakob, Pathien le Isu Krista suokin, Hnam sâwm le pahni indarhai chu chibai a bûk."
"Count it all joy, my brethren, when ye fall into manifold temptations;","Ka unauhai, thlêmna tinrêng in tuok hnungin lâwmna ruokah ngai ro,"
knowing that the proving of your faith worketh patience.,in ringna fiena chun selna a siem ti hrein.
"And let patience have its perfect work, that ye may be perfect and entire, lacking in nothing.","Chun, iengkhawm tlasam loa in famkima, in puma in him theina ding- in, selna chun thaw famkim raw se."
"But if any of you lacketh wisdom, let him ask of God, who giveth to all liberally and upbraideth not; and it shall be given him.","Nangni laia tûkhawmin varna a tlasam chun, mi po po kuoma hal lo le inro loa pe hlaktu Pathien chu hni raw se; chuongchun, a kuomah pêk nîng a tih."
"But let him ask in faith, nothing doubting: for he that doubteth is like the surge of the sea driven by the wind and tossed.","Nisienlakhawm, ringhla hlek loin, ringna neiin hni raw se, ring- hlatu chu tuisuoriet fâwn thli imût lêng le vawr ang a ni sih a."
For let not that man think that he shall receive anything of the Lord;,"Chuong ang mi chun Lalpa kuomah iengkhawm hmu inring naw raw se,"
"a doubleminded man, unstable in all his ways.","mi lungril bulbâl nei naw, a thil thaw po poa det naw mi chun."
But let the brother of low degree glory in his high estate:,Unau daikilkâra mi chu chawi- mawia a um leiin lâwm raw se.
"and the rich, in that he is made low: because as the flower of the grass he shall pass away.",Hausa ruok chu suktlâwma a um leiin lâwm lem raw se; hlohna pâr angin a la bo el ding a ni sih a.
"For the sun ariseth with the scorching wind, and withereth the grass; and the flower thereof falleth, and the grace of the fashion of it perisheth: so also shall the rich man fade away in his goings.","Nisa a hung suok a, thli lumtak a hung hrângin, hlo chu a sukvuoi a; chun a pâr chu a rêm a, a um dân mawizie chu a bohmang hlak; chuong ang bawkin mi hausa chu a fenaa chun a la vuoi ding a ni sih a."
"Blessed is the man that endureth temptation; for when he hath been approved, he shall receive the crown of life, which the Lord promised to them that love him.","Thlêmna tuor hrâm hrâmtu chu a hamṭha, fiea a um phâleh hringna lallukhum Lalpain ama hmangai- tuhai kuoma a tiem chu a hmu ding a ni si."
"Let no man say when he is tempted, I am tempted of God; for God cannot be tempted with evil, and he himself tempteth no man:","Tûkhawmin thlêmna an tuok laiin, “Pathien ithlêm ka nih,” ti naw raw hai se; Pathien chu suol ithlêm ruol a ni nawh, ama khawmin tûkhawm a thlêm ngai nawh."
"but each man is tempted, when he is drawn away by his own lust, and enticed.","Mi tin mâni châknaa ṭhuoi hmang le hîpa an um chun, thlêmna an tuok lem a nih."
"Then the lust, when it hath conceived, beareth sin: and the sin, when it is fullgrown, bringeth forth death.","Chun, châkna chun tê a vawn a, suol a nei hlak; chun, suol chun a hung puitlingin thina a hung suksuok hlak."
"Be not deceived, my beloved brethren.","Ka unau dittakhai, hlêmin um naw ro."
"Every good gift and every perfect gift is from above, coming down from the Father of lights, with whom can be no variation, neither shadow that is cast by turning.","Thilpêk ṭha le thilpêk famkim po po chu chung tienga inthawkin, varhai Pa kuoma inthawkin a hung ṭum hlak a nih, amaa chun dang- lamna le inherna hlim hrim hrim a um thei nawh."
"Of his own will he brought us forth by the word of truth, that we should be a kind of firstfruits of his creatures.",A thilsiemhai hma ṭhuoitu ang ei lo ni theina dingin ama dit zâwngin thutaka inthawkin a mi nei a nih.
"Ye know this, my beloved brethren. But let every man be swift to hear, slow to speak, slow to wrath:","Unau dittakhai, chuong chu in hriet; nisienlakhawm, mi tinin ngai inchu sienla, thu hril inchu loin, lungril sukuoi raw se;"
for the wrath of man worketh not the righteousness of God.,mihriem lunginsenna chun Pathien felna chu a siem si nawh.
"Wherefore putting away all filthiness and overflowing of wickedness, receive with meekness the implanted word, which is able to save your souls.","Chuleiin, inthieng nawna po po le suol sip liem chu sie hmang unla, thu tu, in thlarau sandam thei chu thuhnuoirawl takin pawm ro."
"But be ye doers of the word, and not hearers only, deluding your own selves.","Nisienlakhawm, mâni inhlêm a, thu ngaituhai chau ni loin, thu zâwmtuhai lo ni lem ro."
"For if any one is a hearer of the word and not a doer, he is like unto a man beholding his natural face in a mirror:","Tûkhawm thu ngaitu nia, zâwmtu ni si lo chu, mi hlimenah a hmai pienpui nguntaka inen ang chu a nih."
"for he beholdeth himself, and goeth away, and straightway forgetteth what manner of man he was.","Nguntakin ân en a, a fe hmang a, mi ieng ang am a ni a theinghil nâwk si hlak a."
"But he that looketh into the perfect law, the law of liberty, and so continueth, being not a hearer that forgetteth but a doer that worketh, this man shall be blessed in his doing.","Amiruokchu, tûkhawm dân famkim, zalênna dân hi bia, chuong anga um zinga, ngaia theinghil nâwk el hlaktu ni loa, zâwma sin thaw rawptu ni lem chu, ama chu a thil thawah malsâwmin um a tih."
"If any man thinketh himself to be religious, while he bridleth not his tongue but deceiveth his heart, this man’s religion is vain.","Tûkhawm sakhaw ngaisak nia inringa, a lei vêng ṭha si loa, mâni lungrila inhlêm lemtu chu, chu mi sakhaw biek dân chu iengkhawm a ni nawh."
"Pure religion and undefiled before our God and Father is this, to visit the fatherless and widows in their affliction, and to keep oneself unspotted from the world.","Ei Pathien le Pa mithmua sakhaw biek dân inthieng le, suol ṭhang naw chu hi hi a nih, fahra le hmeithaihai an rimsik laia kan le, khawvêl inthieng nawna kai loa in- siem hi."
"My brethren, hold not the faith of our Lord Jesus Christ, the Lord of glory, with respect of persons.","Ka unauhai, ei Lalpa Isu Krista, Ropuina Lalpa, ring si chun mi thlier bîk nei naw ro."
"For if there come into your synagogue a man with a gold ring, in fine clothing, and there come in also a poor man in vile clothing;","In inkhâwmna inah mi râng- kachak kutsebi bun, puon mawitak sil hung lût sienla, chun, pasie puon setak sil hung lût bawk sienla,"
"and ye have regard to him that weareth the fine clothing, and say, Sit thou here in a good place; and ye say to the poor man, Stand thou there, or sit under my footstool;","puon mawitak sil chu in ngaisak a, a kuoma chun, “Nang hi hmun ṭhaa hin ṭhung rawh,” in tih a; chun, pasie kuoma chun, “Nang chu sawtaka sawn ngîr la, annawleh ka ke sirsan hrûla hin ṭhung rawh,” in ti chun,"
"do ye not make distinctions among yourselves, and become judges with evil thoughts?",in lungrilin thlier bîk neia ngai- tuona suol puta sawisêltu chu in ni naw ding am a nih?
"Hearken, my beloved brethren; did not God choose them that are poor as to the world to be rich in faith, and heirs of the kingdom which he promised to them that love him?","Ka unau dittakhai, ngai ta u, Pathienin hi khawvêl thila pasiehai hi, ringnaa hausa ding le, ama hmangaituhai kuoma a tiem ram chu hluotu dingahai a ruot naw am a nih?"
"But ye have dishonored the poor man. Do not the rich oppress you, and themselves drag you before the judgment-seats?","Nangni ruok chun pasie chu in sukmuolpho ta lem a nih. Mi hau- sahai chu a suknawmnatu cheu le, rorêlna ina kei lût hlaktu cheu chu an ni naw am a nih?"
Do not they blaspheme the honorable name by which ye are called?,Hming inzaumtak in put hi hrilsetuhai an ni naw am a nih?
"Howbeit if ye fulfil the royal law, according to the scripture, Thou shalt love thy neighbor as thyself, ye do well:","Nisienlakhawm, Pathien Lekha thu, “Nang în hmangai angin i vêng- hai i hmangai ding a nih,” ti lal dân hi in zâwm chun, in thaw ṭha;"
"but if ye have respect of persons, ye commit sin, being convicted by the law as transgressors.","amiruokchu, mi thlier bîk in nei chun, in suksuol a nih, Dânin bâw- setuah ân changtir si cheu a."
"For whosoever shall keep the whole law, and yet stumble in one point, he is become guilty of all.","Tûkhawmin Dân zâwm kim sienla khawm, kawng khatah a suk- suol si chun, a rênga chun thiemnaw changin a um tah a nih."
"For he that said, Do not commit adultery, said also, Do not kill. Now if thou dost not commit adultery, but killest, thou art become a transgressor of the law.","“Uire naw,” titu chun, “Tuol that naw,” a ti bawk sih a. Chuongchun, uire naw la khawm tuol i that si chun, Dân bawsetu i ni hrim hrim ta a nih."
"So speak ye, and so do, as men that are to be judged by a law of liberty.","Chuleiin, zalênna dâna mi ro rêl pêka um dinghai angin thu hril unla, thil thaw bawk ro."
For judgment is without mercy to him that hath showed no mercy: mercy glorieth against judgment.,"Mi chunga lunginsietna nei naw chu, lunginsietna ṭhang loa rorêl pêkin um a tih, lunginsietna chu rorêlna chunga chun ân suong hlak a nih."
"What doth it profit, my brethren, if a man say he hath faith, but have not works? can that faith save him?","Ka unauhai, miin, “Ringna ka nei,” ti sienla, thilthaw a ṭhang si naw chun ieng am ṭhahnem a ta? chuong ang ringna chun ama a sandam thei ding am a nih?"
"If a brother or sister be naked and in lack of daily food,","Unaupa amanih, unaunu ama- nih, saruoka umin, an ni tin bu tlasam sienla;"
"and one of you say unto them, Go in peace, be ye warmed and filled; and yet ye give them not the things needful to the body; what doth it profit?","chun, nangni laia tûin amanih an kuomah, “Thlamuongtakin fe unla, lumtak le khawptakin um ro,” ti unla, taksa ta dinga thil ṭûl chu in pêk si naw chun ieng am ṭhahnem a ta?"
"Even so faith, if it have not works, is dead in itself.","Chuong ang bawkin ringna chu, thilthaw nei loa ama chaua a um chun thi a nih."
"Yea, a man will say, Thou hast faith, and I have works: show me thy faith apart from thy works, and I by my works will show thee my faith.","Anih, mi tûin amanih, “Nangin ringna i nei a, keiin thilthaw ka nei a nih; i ringna chu thilthaw ṭhang loin mîn entir rawh, chun, keiin ka thilthawin ka ringna inentir ka ti che."
"Thou believest that God is one; thou doest well: the demons also believe, and shudder.","Pathien chu pakhat a ni ti i ring a ni maw? I ti ṭha, khawhrihai khawmin an ring a, an inthin hlak a nih,” tîng a tih."
"But wilt thou know, O vain man, that faith apart from works is barren?","Aw, mi teplopa, thilthaw ṭhang loa ringna ngawt chu iengkhawm a ni nawh ti i hriet nuom am?"
"Was not Abraham our father justified by works, in that he offered up Isaac his son upon the altar?",Ei thlatu Abraham chun a naupa Isak mâichâm chunga ân hlân lai khan thilthaw leiin thiem a chang a ni naw am a nih?
"Thou seest that faith wrought with his works, and by works was faith made perfect;","Ringna chun a thilthaw leh a thaw hmunkhat a, chun, thilthaw leiin a ringna chu a famkim tah ti i hriet."
"and the scripture was fulfilled which saith, And Abraham believed God, and it was reckoned unto him for righteousness; and he was called the friend of God.","Pathien Lekha Thu, “Abraham chun Pathien a ring a, chu ringna chu a felnaa ruot a nih,” ti thu kha a hung hlawtling a, chuongchun, Pathien Ruola inbûkin a um tah a."
"Ye see that by works a man is justified, and not only by faith.","Ringna lei ngawt ni loin, thilthaw lei lemin, miin thiem a chang hlak ti in hriet tah."
"And in like manner was not also Rahab the harlot justified by works, in that she received the messengers, and sent them out another way?","Chuong ang bawkin, Rahab nawchizawr khawm khan tirkohai kha a lo lâwm a, lampui danga ân fetir lai khan, thilthaw leiin thiem a chang a ni naw am a nih?"
"For as the body apart from the spirit is dead, even so faith apart from works is dead.","Thlarau ṭhang naw chun taksa chu thi a nih, chuong ang bawkin thilthaw ṭhang naw chun ringna khawm chu a thi a nih."
"Be not many of you teachers, my brethren, knowing that we shall receive heavier judgment.","Ka unauhai, nangni laia mi tamtak hi inchûktirtuahai hung um naw ro, inchûktirtu chun rorêlna nasa lem kan tuok ding a nih ti kan hriet sih a."
"For in many things we all stumble. If any stumbleth not in word, the same is a perfect man, able to bridle the whole body also.","Thil tamtaka chun ei rêngin ei suol hlak sih a. Tûkhawm thuhril kawnga a suol naw chun, ama chu puitling a nih, a taksa pum khawm vêng thei mi a nih."
