en,hmr
"The words of Jeremiah the son of Hilkiah, of the priests that were in Anathoth in the land of Benjamin:","Benjamin rama Anathotha um thiempuhai laia mi, Hilkia naupa Jeremia thuhai chu."
"to whom the word of Jehovah came in the days of Josiah the son of Amon, king of Judah, in the thirteenth year of his reign.","Ama kuoma chun Juda lal Amon naupa Josia hun lai, a rorêl a kum sâwm le pathum kum chun LALPA thu chu a hung tlung a,"
"It came also in the days of Jehoiakim the son of Josiah, king of Judah, unto the end of the eleventh year of Zedekiah, the son of Josiah, king of Judah, unto the carrying away of Jerusalem captive in the fifth month.","Juda lal Josia naupa Jehoiakim hun lai, Juda lal Josia naupa Zedekia kum sâwm pakhat kum tâwp chen; Jerusalem sala ṭhuoihmanga a um a thla ngana chen chun a hung tlung zing a."
"Now the word of Jehovah came unto me, saying,","Chun, LALPA thu chu ka kuomah a hung tlung a:"
"Before I formed thee in the belly I knew thee, and before thou camest forth out of the womb I sanctified thee; I have appointed thee a prophet unto the nations.","“Phîng sûnga ka siem hma che khawma ka hriet cheh a, Sula inthawka i hung suok hma khawma ka sukthieng ta cheh a: Hnamhai kuoma zâwlnei dingin ka lo thlang ta che a nih,” tiin."
"Then said I, Ah, Lord Jehovah! behold, I know not how to speak; for I am a child.","Chun, kei chun, “E, Lalpa PATHIEN, ngai ta, thu ka hril thei le; naupang el ka ni sih a,” ka tih a."
"But Jehovah said unto me, Say not, I am a child; for to whomsoever I shall send thee thou shalt go, and whatsoever I shall command thee thou shalt speak.","Nisienlakhawm, LALPA chun ka kuomah hieng hin a hril a: “Naupang el ka nih, ti naw rawh, Tu kuoma khawm ka tirna phawt che kuoma chun i fe ding a ni sih a; Thu ka pêk ang pei che chun thu hril bawk i tih."
"Be not afraid because of them; for I am with thee to deliver thee, saith Jehovah.","Anni lei chun ṭi naw la, Nang chu sanhim ding chein i kuomah ka um sih a; LALPA chun a tih,” tiin."
"Then Jehovah put forth his hand, and touched my mouth; and Jehovah said unto me, Behold, I have put my words in thy mouth:","Chun, LALPA chun a kutin a hung ban a, ka bau chu a tâwk tah a; chun, LALPA chun ka kuoma chun, “Ngai ta, i baua chun ka thuhai chu ka sie tah,"
"see, I have this day set thee over the nations and over the kingdoms, to pluck up and to break down and to destroy and to overthrow, to build and to plant.","En ta, vawisûn hin, hnamhai chunga le ramhai chunga chun, Hrukbit ding le, sukchim ding le, Sukse ding le, Pei thla ding le, bâwl ding le Phun dingin ka sie ta che a nih,” a ta."
