en,hmr
The word of Jehovah that came to Joel the son of Pethuel.,Pethuel naupa Joel kuoma LALPA thu hung tlung chu.
"Hear this, ye old men, and give ear, all ye inhabitants of the land. Hath this been in your days, or in the days of your fathers?","Tarsiehai, hi hi hre unla, hi rama um po pohai, na lo sit ro.Hi in hun lai le in puhai hun laia khawm a um ta hlak am a nih?"
"Tell ye your children of it, and let your children tell their children, and their children another generation.","Chu chu in nauhai hril unla, in nauhai chun an nauhai hril sienla, an nau nâwksâwnghai chun suon dang hril pei raw hai se."
That which the palmer-worm hath left hath the locust eaten; and that which the locust hath left hath the canker-worm eaten; and that which the canker-worm hath left hath the caterpillar eaten.,"Thilngein a fâk mahla po chu khauṭhikṭhiin a fâk a, khâuṭhikṭhiin a fâk mahla po chu thingngein a fâk a; thingngein a fâk mahla po chu tuktulungin a fâk zo a."
"Awake, ye drunkards, and weep; and wail, all ye drinkers of wine, because of the sweet wine; for it is cut off from your mouth.","Inruihai, har unla, ṭap ro; uoin dâwn po pohai, a uoin thlum lei chun khêk rak rak unla, in baua inthawka lâk hmang a ni ta sih a."
"For a nation is come up upon my land, strong, and without number; his teeth are the teeth of a lion, and he hath the jaw-teeth of a lioness.","Hnam hrâttak, tiem sênglo ka rama inthawkin a hung suok ta sih a, a ha chu sakeibaknei ha ang a na, sakeibaknei lientak hapui ang a nei bawk a."
"He hath laid my vine waste, and barked my fig-tree: he hath made it clean bare, and cast it away; the branches thereof are made white.","Ka grêp hrui a suksiet a, ka theichang kûng hâwng a khek a, a khek fai vawng a, a peihâwn a; a kâuhai chu a fil vâr vawng a."
Lament like a virgin girded with sackcloth for the husband of her youth.,"Nunghâkin saiip puon bil a, a ṭhat- lai pasal a sûn angin ṭap rak rak ro."
"The meal-offering and the drink-offering are cut off from the house of Jehovah; the priests, Jehovah’s ministers, mourn.","Beiphit inhlân dâm, dâwn ding inhlân dâm chu LALPA ina inthawka sukbo a na, thiempu LALPA rawng- bâwltuhai chu an lungngai a."
"The field is laid waste, the land mourneth; for the grain is destroyed, the new wine is dried up, the oil languisheth.","Lo chu suksiet a na, ram chu a lungngai a, bu chu suksiet a na, uoin thar chu a kang a, hriek khawm chu a chau a."
"Be confounded, O ye husbandmen, wail, O ye vinedressers, for the wheat and for the barley; for the harvest of the field is perished.","Aw, nangni lo neituhai, inzak unla, nangni grêp hrui enkawltuhai, bupui le buṭei leiin khêk rak rak ro; loa bu sîk ding chu a bohmang ta sih a."
"The vine is withered, and the fig-tree languisheth; the pomegranate-tree, the palm-tree also, and the apple-tree, even all the trees of the field are withered: for joy is withered away from the sons of men.","Grêp hrui chu a vuoi a, thei- chang kûng chu a châu a, theibufai kûng dâm, intûm dâm le apple thei kûng dâm, loa thing po pohai khawm chu a ṭuoi tah a; mihriem nauhai laia lâwmna chu a vuoi hmang ta sih a."
"Gird yourselves with sackcloth, and lament, ye priests; wail, ye ministers of the altar; come, lie all night in sackcloth, ye ministers of my God: for the meal-offering and the drink-offering are withholden from the house of your God.","Nangni thiempuhai, saiip puon dierkei unla, ṭap ro; nangni mâichâm rawngbâwltuhai, khêk rak rak ro; nangni ka Pathien rawngbâwltuhai, hung unla, saiip puon silin zânkhaw- vârin zâl ro: in Pathien ina inthawk chun beiphit inhlân le dâwn ding inhlân chu khap a ni sih a."
