en,hmr
"Now the word of Jehovah came unto Jonah the son of Amittai, saying,",Amittai naupa Jona kuomah LALPA thu a hung tlung a:
"Arise, go to Nineveh, that great city, and cry against it; for their wickedness is come up before me.","“Tho la, Ninevi khuo, khawpui ropuitaka chun fe la, a chunga thu tlânginsampui rawh; an rîtlona chu ka hmaah a hung tlung ta sih a,” tiin."
"But Jonah rose up to flee unto Tarshish from the presence of Jehovah; and he went down to Joppa, and found a ship going to Tarshish: so he paid the fare thereof, and went down into it, to go with them unto Tarshish from the presence of Jehovah.","Nisienlakhawm, Jona chu LALPA hmaa inthawka Tarsis-a tlân hmang dingin a tho tah a; chun, Joppa khuoah a zuk feh a, Tarsis khaw pan ding lawng a hmuh a, chuongchun, a chuong man ding chu a pêk a, LALPA hmaa inthawk chun Tarsis pan dinghai le fe dingin lawnga chun a lût thla ve tah a."
"But Jehovah sent out a great wind upon the sea, and there was a mighty tempest on the sea, so that the ship was like to be broken.","Nisienlakhawm, LALPA chun thli natak el tuisuorieta chun ân hrângtir a, tuisuorieta chun thlipui nasatak el chu a hrâng tah a; chuongchun, lawng chu kawi ding ang elin a um tah a."
"Then the mariners were afraid, and cried every man unto his god; and they cast forth the wares that were in the ship into the sea, to lighten it unto them. But Jonah was gone down into the innermost parts of the ship; and he lay, and was fast asleep.","Chun, lawng mihai chun an ṭih a, mâni pathien an ko seng a; lawng chu an ta dinga a zângna dingin lawng sûnga thuomhnawhai chu tuisuorieta chun an pei suok tah a, Jona ruok chu lawng sûngril taka chun a lo lût tah a, a lo zâl a, a lo ininnghil dêr tah a."
"So the shipmaster came to him, and said unto him, What meanest thou, O sleeper? arise, call upon thy God, if so be that God will think upon us, that we perish not.","Chuongchun, lawng hotu chu a kuoma chun a hung a, “Aw nang a inpa, iengtizie am a na? Tho la, i Pathien ko rawh, Pathien chun, ei bohmang nawna dingin a mi ngaituo rawi mawh,” a ta."
"And they said every one to his fellow, Come, and let us cast lots, that we may know for whose cause this evil is upon us. So they cast lots, and the lot fell upon Jonah.","Chun, “Hung ta u, hi thil ṭha naw ei chunga hung tlung hi tu lei am a na ti ei hriet theina dingin, ai sân ei tiu,” tiin an inbiek tâwl a. Chuongchun, ai chu an sân a, aisân chu Jona chunga chun a tlu tah a."
"Then said they unto him, Tell us, we pray thee, for whose cause this evil is upon us; what is thine occupation? and whence comest thou? what is thy country? and of what people art thou?","Chun, a kuoma chun, “Hi thil ṭha naw ei chunga um hi tu lei am a nih mi hril rawh, kan ngên che hi? I sinthaw ieng am a na? Khâwlaia inthawka hung am i nih a? Khâw tieng ram mi am i na, khâwlai ieng hnam am i na?” an tih a."
"And he said unto them, I am a Hebrew; and I fear Jehovah, the God of heaven, who hath made the sea and the dry land.","Ama chun an kuomah, “Hebrai mi ka na, tuisuoriet le khawmuol siemtu LALPA, vân Pathien chu ka ṭi a nih,” a ta."
"Then were the men exceedingly afraid, and said unto him, What is this that thou hast done? For the men knew that he was fleeing from the presence of Jehovah, because he had told them.","Chun, mihai chun an ṭi nasa ta êm êm a, a kuoma chun, “Sei le, ieng am i lo thaw an leh?” an tih a; a hril ta lei chun mihai chun LALPA hmaa inthawkin a tlân hmang a nih ti an hriet tah a."
