en,hmr
"Now it came to pass after the death of Moses the servant of Jehovah, that Jehovah spake unto Joshua the son of Nun, Moses’ minister, saying,","LALPA siehlaw Mosie chu a thi hnung chun, Mosie rawngbâwltu Nun naupa Josua kuoma chun LALPAIN,"
"Moses my servant is dead; now therefore arise, go over this Jordan, thou, and all this people, unto the land which I do give to them, even to the children of Israel.","“Ka siehlaw Mosie chu a thi tah a; tho la, nang le hieng mipui po pohai le hin Jordan hi kân unla, anni Israel thlahai ngei ka ipêk rama chun fe ro."
"Every place that the sole of your foot shall tread upon, to you have I given it, as I spake unto Moses.","Mosie kuoma ka hril ta ang khan, in kephaa in isir taphawt chu ka pêk vawng cheu a nih."
"From the wilderness, and this Lebanon, even unto the great river, the river Euphrates, all the land of the Hittites, and unto the great sea toward the going down of the sun, shall be your border.","Thlalêra inthawk le hi Lebanon tlânga inthawka Euphrates vadung, vadung lientak chen, Hit mihai ram po po, nisa tlâkna tieng tuisuoriet lientak chen in ramri nîng a ta."
"There shall not any man be able to stand before thee all the days of thy life: as I was with Moses, so I will be with thee; I will not fail thee, nor forsake thee.","I dam sûng po po chun tukhawm i hmaah ngîr thei naw ni hai a, Mosie kuoma ka um ang khan i kuoma khawm ka um ve ding a nih; inhlâw- samtir naw ning cheh a, mâk khawm mâksan naw tawp ka ti che."
Be strong and of good courage; for thou shalt cause this people to inherit the land which I sware unto their fathers to give them.,"Hrâttak le huoitakin um rawh, inkhâma an thlatuhai pêk ka lo tiem ta ram kha anni hi în hluotir ding a ni sih a."
"Only be strong and very courageous, to observe to do according to all the law, which Moses my servant commanded thee: turn not from it to the right hand or to the left, that thou mayest have good success whithersoever thou goest.","Ka siehlaw Mosiein dân po po zâwm dinga a pêk che kha zâwm tlat dingin hrâttak le huoitakin um phawt el rawh. I fena taphawta i tluongtlung peina dingin i changtieng amanih, i vawitieng amaniha khawm pêtsan dêr naw rawh."
"This book of the law shall not depart out of thy mouth, but thou shalt meditate thereon day and night, that thou mayest observe to do according to all that is written therein: for then thou shalt make thy way prosperous, and then thou shalt have good success.","Hi dân bu hin i bâu chu suoksan hlek naw sienla, chu thu ziekhai po po chu i zâwm tlat theina dingin sûn le zânin i ngaituo ding a nih, chuong- chun, i lampuihai chu suktluong pei i ta; i hung tluongtlung pei ding a nih. Thu ka pêk che a ni naw am a nih?"
"Have not I commanded thee? Be strong and of good courage; be not affrighted, neither be thou dismayed: for Jehovah thy God is with thee whithersoever thou goest.","Hrâttak le huoitakin um rawh; ṭi naw la, zâm bawk naw rawh, LALPA i Pathien chu i fena taphawtah i kuomah a um pei ding annâwm,” tiin, a hril a."
"Then Joshua commanded the officers of the people, saying,","Chuongchun, Josua chun mipui hotuhai chu thu a pêk a,"
"Pass through the midst of the camp, and command the people, saying, Prepare you victuals; for within three days ye are to pass over this Jordan, to go in to possess the land, which Jehovah your God giveth you to possess it.","“Riebûk chu va fang unla, mi- puihai kuoma chun, ‘Fâk dinghai buot- sai ro khai, ni thum sûngin LALPA in Pathienin ram hluo ding a pêk cheu hi hluo dingin Jordan vadung hi in kân ding a nih,’ tiin thu pe ro,” tiin."
"And to the Reubenites, and to the Gadites, and to the half-tribe of Manasseh, spake Joshua, saying,","Chun, Reuben mihai le, Gad mihai le Manasse hnam zâtvehai kuoma chun Josua chun,"
"Remember the word which Moses the servant of Jehovah commanded you, saying, Jehovah your God giveth you rest, and will give you this land.","“LALPA in Pathienin châwlna a pêk cheu a, hi ram hi a la pêk ding cheu a nih, tia LALPA siehlaw Mosien thu a pêk cheu hi hre zing unla."
