en,hmr
"How doth the city sit solitary, that was full of people! She is become as a widow, that was great among the nations! She that was a princess among the provinces is become tributary!","Iengtiziea khawpui khânga mi- puia sip kha khawsâwta ṭhung el am an tah a! Hnamhai laia khânga ropui kha, iem a tih a hmeithai ang a hung ni ta el chu! Rambunghai laia a lalnu ni hlak kha, chîn lem a hung ni ta el chu!"
"She weepeth sore in the night, and her tears are on her cheeks; Among all her lovers she hath none to comfort her: All her friends have dealt treacherously with her; they are become her enemies.","Zâna chun a ṭap ngâwi ngâwi a, a mitthli chu a bienga chun a luong a, A hmangaituhai po po lai tukhawm ama thlamuongtu ding a nei nawh; A ruolhai po po chun khaw- hlotakin ama an sawisak a; A hmêlmahai an hung ni vawng el tah ie."
"Judah is gone into captivity because of affliction, and because of great servitude; She dwelleth among the nations, she findeth no rest: All her persecutors overtook her within the straits.","Sukrinumna le sal nina nasatak- ah Juda chu salin a fe tah a, Awi naw mihai laia chun a khawsa a, châwl hrim a hmu nawh; Ama sukrimsituhai po po chun hmun inchêptakah an nangchîng a."
"The ways of Zion do mourn, because none come to the solemn assembly; All her gates are desolate, her priests do sigh: Her virgins are afflicted, and she herself is in bitterness.","Inkhâwmpui hunbi neia chun tukhawm an hung naw leiin Zion lampui chun a sûn a, A dai kawtkhârhai po po chu râusanin a um a, a thiempuhai chu an inrûm a; A nunghâkhai chu sukrinumin an um a, ama khawm chu khâknaa chun a um a."
"Her adversaries are become the head, her enemies prosper; For Jehovah hath afflicted her for the multitude of her transgressions: Her young children are gone into captivity before the adversary.","A khingtuhai chu lu an hung na, a hmêlmahai chu an hung hlawtling a; A bawsietna tamtak el lei chun LALPAIN ama chu a sukrimsi sih a, A nau le têhai chu a hmêl- mahai hmaa chun salah an feh a."
"And from the daughter of Zion all her majesty is departed: Her princes are become like harts that find no pasture, And they are gone without strength before the pursuer.","Zion nâunua inthawk chun a lal nina po po a fe hmang a, A lalhai khawm sakhi hlo petna ding hmu lohai ang an ni zo a; Anni hnawttuhai hmaa chun hrâtna neiloin an tlân a."
"Jerusalem remembereth in the days of her affliction and of her miseries all her pleasant things that were from the days of old: When her people fell into the hand of the adversary, and none did help her, The adversaries saw her, they did mock at her desolations.","Jerusalem chun sukrinuma a um nihaia le, a rimsik nihaia chun, a hriet zing, A tienlai inhawitirna po po kha; A mipuihai chu hmêlma kuta an tlûk lai chun an ṭhangpui nawh a, Hmêlmahai chun an hmuh a, râusana a umnaa chun an nuisan a."
"Jerusalem hath grievously sinned; therefore she is become as an unclean thing; All that honored her despise her, because they have seen her nakedness: Yea, she sigheth, and turneth backward.","Jerusalem chu lungngaithlâk- tak elin a lo suol tah a; chuleiin, thil thieng naw ang a hung ni tah a; A saruokna chu an hmu leiin, ama lo inza hlaktuhai po po khawm khan an hmusit tah a; Anih, ân rûm a, nawtieng a nghah a."
"Her filthiness was in her skirts; she remembered not her latter end; Therefore is she come down wonderfully; she hath no comforter: Behold, O Jehovah, my affliction; for the enemy hath magnified himself.","A tirdakumna chu a puonah a kai a, a tâwpna ding hrim a ngaituo nawh, Chuleiin, maktakelin a tlâwm a, thlamuongtu hrim a hmu nawh; En ta, aw LALPA, ka rimsikzie hi, ka hmêlma chu ama le ama ân chawimawi sih a!"
"The adversary hath spread out his hand upon all her pleasant things: For she hath seen that the nations are entered into her sanctuary, Concerning whom thou didst command that they should not enter into thine assembly.","Hmêlma chun a thil hlu hai po po chungah a kut a phar a, Awinaw mi chu a hmun inthiengtaka chun a lût ti a hmu sih a, I mipui inkhâwmnaa lût lo dinga i khaphai ngei kha."
