en,hmr
"And Jehovah called unto Moses, and spake unto him out of the tent of meeting, saying,","Lalpa chun Mosie a ko a, intuokna puon ina inthawkin a biek a,"
"Speak unto the children of Israel, and say unto them, When any man of you offereth an oblation unto Jehovah, ye shall offer your oblation of the cattle, even of the herd and of the flock.","“Israel thlahai chu hril la, an kuomah, ‘Nangni laia tukhawmin thilinhlân LALPA kuoma in inhlânin, ran, bâwng ruol le berâm ruol laia mi, in inhlân ding a nih."
"If his oblation be a burnt-offering of the herd, he shall offer it a male without blemish: he shall offer it at the door of the tent of meeting, that he may be accepted before Jehovah.","“A thilinhlân chu bâwng ruol laia mi, pumrawhmang thilinhlân a ni chun a chal, demkailo ân hlân ding a nih: ama chu LALPA hmaa pawm a ni theina dingin intuokna puon in kawt- khâr bula chun ân hlân ding a nih."
And he shall lay his hand upon the head of the burnt-offering; and it shall be accepted for him to make atonement for him.,"Pumrawhmang thilinhlân lu chunga chun a kut innghat a ta; chuongchun, a ta dingin intlanna siemna dingin pawmpêk ning a tih."
"And he shall kill the bullock before Jehovah: and Aaron’s sons, the priests, shall present the blood, and sprinkle the blood round about upon the altar that is at the door of the tent of meeting.","LALPA hmaa chun bâwngchal that a ta; Aron naupasal thiempuhai chun thisen chu inhlân an ta, intuok- na puon in kawtkhâr bula mâichâm chu thisen chun the huol an tih."
"And he shall flay the burnt-offering, and cut it into its pieces.","Pumrawhmang thilinhlân chu inhlip a ta, chan nawi a tih."
"And the sons of Aaron the priest shall put fire upon the altar, and lay wood in order upon the fire;","Chun, thiempu Aron naupasal- hai chun mâichâma chun mei sieng an ta; mei chunga chun thing sep khâwm an tih."
"and Aaron’s sons, the priests, shall lay the pieces, the head, and the fat, in order upon the wood that is on the fire which is upon the altar:","Aron naupasal thiempuhai chun sa tlin dâm, a lu dâm, a thâu dâm chu mâichâma chun mei chunga thinga chun sie fel diem an ta;"
"but its inwards and its legs shall he wash with water. And the priest shall burn the whole on the altar, for a burnt-offering, an offering made by fire, of a sweet savor unto Jehovah.","a sûnghai le a kehai ruok chu tuiin sâwp an ta; thiempu chun LALPA ta dinga rim inhniktak, mei hmanga thilinhlân pumrawhmang thilinhlân dingin a pum chun mâi- châma chun a raw ding a nih."
"And if his oblation be of the flock, of the sheep, or of the goats, for a burnt-offering; he shall offer it a male without blemish.","“A thilinhlân chu pumrawhmang thilinhlân dinga ran ruol laia mi, berâm amanih, kêl amanih a ni chun, a chal demkailo ân hlân ding a nih."
"And he shall kill it on the side of the altar northward before Jehovah: and Aaron’s sons, the priests, shall sprinkle its blood upon the altar round about.","Mâichâm sîr hmârtieng pangah LALPA hmaah that a ta, Aron nau- pasal thiempuhai chun mâichâm chu a thisen chun an the huol ding a nih."
"And he shall cut it into its pieces, with its head and its fat; and the priest shall lay them in order on the wood that is on the fire which is upon the altar:","Chun, chan nawi a ta, a lu leh a thâu leh; thiempu chun mâichâm chunga mei chunga thinga chun sie fel diem a ta;"
"but the inwards and the legs shall he wash with water. And the priest shall offer the whole, and burn it upon the altar: it is a burnt-offering, an offering made by fire, of a sweet savor unto Jehovah.","a sûnghai le a kehai ruok chu tuiin sâwp a ta, a pumin thiempu chun inhlân a ta, mâichâma chun a raw ding a nih; LALPA ta dinga riminhniktak, mei hmanga pumraw- hmang thilinhlân a nih."
"And if his oblation to Jehovah be a burnt-offering of birds, then he shall offer his oblation of turtle-doves, or of young pigeons.","“LALPA ta dinga a thilinhlân chu vate tieng pumrawhmang thilin- hlân a ni chun, a thilinhlâna chun, vaṭhuhai amanih, pârvate amanih ân hlân ding a nih."
"And the priest shall bring it unto the altar, and wring off its head, and burn it on the altar; and the blood thereof shall be drained out on the side of the altar;","Thiempu chun mâichâma chun hung chawi a ta, a lu chu her bawng a ta, mâichâma chun rawng a ta, a thisen chu mâichâm panga chun infar kangtir a tih."
"and he shall take away its crop with the filth thereof, and cast it beside the altar on the east part, in the place of the ashes:","A awng chu a hmul le chun pei a ta, mâichâm kâwl, saktieng panga vut siena hmuna chun pei a tih."
"and he shall rend it by the wings thereof, but shall not divide it asunder. And the priest shall burn it upon the altar, upon the wood that is upon the fire: it is a burnt-offering, an offering made by fire, of a sweet savor unto Jehovah.","A thla le a thla inkârah thlêr a ta, a puma thlêr suok ruok chu ni loin; chun, thiempu chun mâichâmah, mei chunga thinga chun a raw ding a nih; chu chu LALPA ta dinga riminhniktak, mei hmanga thilinhlân, pumrawhmang thilinhlân a nih."
"And Nadab and Abihu, the sons of Aaron, took each of them his censer, and put fire therein, and laid incense thereon, and offered strange fire before Jehovah, which he had not commanded them.","Aron naupasalhai Nadab le Abihu chun an mei lâkna chu an lâk ve veh a, chutaka chun meiling chu an sieh a, riminhnik chu an phul a, LALPA hmaah thu a pêk naw dântakin mei inthiengnaw an in- hlân a."
"And there came forth fire from before Jehovah, and devoured them, and they died before Jehovah.","Chuongchun, LALPA hmaa in- thawkin mei a hung suok a, anni chu a kâng hlum a, LALPA hmaa chun an thi tah a."
"Then Moses said unto Aaron, This is it that Jehovah spake, saying, I will be sanctified in them that come nigh me, and before all the people I will be glorified. And Aaron held his peace.","Chuongchun, Mosie chun Aron kuomah, “Hi hi a nih LALPAIN, ‘A mi hnaituhaia chun inthiengin inlang ka ta, mipui po po hmaa chun chawi- mawiin um ka tih,’ tiha a hril kha,” a tih a. Aron chu a to zing a."
"And Moses called Mishael and Elzaphan, the sons of Uzziel the uncle of Aaron, and said unto them, Draw near, carry your brethren from before the sanctuary out of the camp.","Chun, Mosie chun Aron pami Uzziel naupa Misael le Elzaphan chu a ko a, an kuomah, “Hung hnai unla, in unauhai hi hmun inthienga inthawk hin riebûk puoah zâwn dawk ro,” a ta."
"So they drew near, and carried them in their coats out of the camp, as Moses had said.","Chuongchun, an hung hnai a, zakuo hâk pumin riebûk puoa chun, Mosie hril angin an zâwn dawk a."
"And Moses said unto Aaron, and unto Eleazar and unto Ithamar, his sons, Let not the hair of your heads go loose, neither rend your clothes; that ye die not, and that he be not wroth with all the congregation: but let your brethren, the whole house of Israel, bewail the burning which Jehovah hath kindled.","Mosie chun Aron kuoma le a naupasalhai Eleazar le Ithamar kuoma chun, “A sûnnain in sam inthla naw unla, in puonhai keithlêr bawk naw ro, chuong naw chun thi rawi in ta, mi po po chungah lung- insen rawi a tih; in unauhai Israel sûngkuo pumpuiin LALPA isêm chawk mei chu sûn lem raw se."
"And ye shall not go out from the door of the tent of meeting, lest ye die; for the anointing oil of Jehovah is upon you. And they did according to the word of Moses.","Chun, intuokna puon in kawt- khâra chun in suok ding a ni nawh, chuong naw chun thîng in tih; LALPA hriek chu in chungah a um sih a,” a ta. Chuongchun, Mosie thu ang chun an thawh tah a."
"And Jehovah spake unto Aaron, saying,","LALPA chun Aron chu a biek a,"
"Drink no wine nor strong drink, thou, nor thy sons with thee, when ye go into the tent of meeting, that ye die not: it shall be a statute for ever throughout your generations:","“Nang amanih, i naupasalhai amani khawmin, intuokna puon in sûnga in fe laiin uoin le zu hrim hrim dâwn naw ro, chuong naw chun thîng in tih; hi hi in thlahai chena kum- khaw dân ding nîng a tih."
"and that ye may make a distinction between the holy and the common, and between the unclean and the clean;","Chu chu ân thieng le ân thieng naw le, a thieng le a thieng naw in thlier theina ding le,"
and that ye may teach the children of Israel all the statutes which Jehovah hath spoken unto them by Moses.,"LALPAIN Mosie hmanga an kuoma a hril, thupêkhai po po chu Israel thlahai în chûktir theina dingin nîng a tih,” tiin."
