en,hmr
The burden of the word of Jehovah to Israel by Malachi.,Malaki hmanga Israel chunga LALPA thu phurrik chu.
"I have loved you, saith Jehovah. Yet ye say, Wherein hast thou loved us? Was not Esau Jacob’s brother? saith Jehovah: yet I loved Jacob;","LALPA chun, “Ka hmangai cheu a, nangni ruok chun, ‘Khaw lai am i mi hmangai a?’ in la ti rawp a,” a ta. LALPA chun, “Esau chu Jakob u- naupa a ni naw am a nih? Jakob chu ka hmangai a,"
"but Esau I hated, and made his mountains a desolation, and gave his heritage to the jackals of the wilderness.","Esau ruok chu ka theida a, tlânghai chu râusanin ka siem a, a rochan chu thlalêr sihalhai kuomah ka pêk kha,” a ta."
"Whereas Edom saith, We are beaten down, but we will return and build the waste places; thus saith Jehovah of hosts, They shall build, but I will throw down; and men shall call them The border of wickedness, and The people against whom Jehovah hath indignation for ever.","Edom mihai chun, “Hnein ei um ta ngeia chu, kîr nâwk ei ta, hmun se tahai chu siem ṭhâng ei tih,” ti hai sien khawm; sipaihai LALPA chun hieng hin a tih, “Bâwl an ta chu, kei thlûng ka tih: chun, mihai chun anni chu, ‘Khawhlona ram le, kumkhuoa an chunga LALPA lunginsenna zing zing hnam,’ tîng an tih."
"And your eyes shall see, and ye shall say, Jehovah be magnified beyond the border of Israel.","In mithaiin hmûng in ta, ‘Israel ram khêl chena khawm LALPA chu chawimawiin a um tah a ni hi,’ tîng in tih,” tiin."
"A son honoreth his father, and a servant his master: if then I am a father, where is mine honor? and if I am a master, where is my fear? saith Jehovah of hosts unto you, O priests, that despise my name. And ye say, Wherein have we despised thy name?","Sipaihai LALPA chun in kuomah a hril a, “Aw thiempu, ka hming hmusittuhai, naupa chun a pa ân zah a, siehlaw chun a hotu: chuonga pa ka ni chun, khâw lai am inza ka nina? Hotu ka ni chun, khâwlai am ṭi ka nina? Nangni chun, ‘Khâwlai am i hming chu kan hmusit a?’ in tih a."
"Ye offer polluted bread upon mine altar. And ye say, Wherein have we polluted thee? In that ye say, The table of Jehovah is contemptible.","Ka dawkân chunga khan bei sukpawrche tah in inhlân a; chun, nangni chun, ‘Khâwlai am kan sukpawrche cheh a?’ in tih a. Chutaka chun, ‘LALPA dawkân chu hmusitum a nih,’ in ti kha."
"And when ye offer the blind for sacrifice, it is no evil! and when ye offer the lame and sick, it is no evil! Present it now unto thy governor; will he be pleased with thee? or will he accept thy person? saith Jehovah of hosts.","Inthâwina dinga a mitdel in inhlân khan, suol a ni naw bâk chu teh! A damnaw le a kebai in inhlân khan, suol a ni naw bâk chu teh! In rorêltu kuomah va pe hrim ta u, a lo lâwm hrim cheu am? Annawleh, in mi nina chu a lo pawm ding am a nih? sipaihai LALPA chun a tih."
"And now, I pray you, entreat the favor of God, that he may be gracious unto us: this hath been by your means: will he accept any of your persons? saith Jehovah of hosts.","Chuongchun, tuhin, ka ngên cheu hi, ei kuoma za a ngai theina dingin LALPA ditsakna chu ngên ro; hi hi nangni kut thilthaw ngei chu a na, nangni mi nina chu a pawmpêk ding cheu am a nih? sipaihai LALPA chun a tih."
"Oh that there were one among you that would shut the doors, that ye might not kindle fire on mine altar in vain! I have no pleasure in you, saith Jehovah of hosts, neither will I accept an offering at your hand.","Nangni laia mi pakhat bêk, ka mâichâma a thlâwna mei a sêm nawna dinga kawtkhârhai khâr hlak chu um unla chu aw! sipaihai LALPA chun a tih, nangnia hin lâwmna hrim ka nei naw a nih; in kuta thilin- hlân hrim hrim khawm lâwm naw ningah."
"For from the rising of the sun even unto the going down of the same my name shall be great among the Gentiles; and in every place incense shall be offered unto my name, and a pure offering: for my name shall be great among the Gentiles, saith Jehovah of hosts.","Nisa suoknaa inthawka a tlâk- na chenin Jentailhai lai hman ka hming hi a ropui a na; hmun tinahai chun riminhnik dâm ka hminga in- hlân a na, thil inthieng inhlân leh; Jentailhai lai hman ka hming chu a ropui sih a, sipaihai LALPA chun a tih."
"But ye profane it, in that ye say, The table of Jehovah is polluted, and the fruit thereof, even its food, is contemptible.","Amiruokchu, in bawsiet a, chu- taka chun, ‘LALPA dawkân chu sukpawrche a ni tah a, chutaka a theirahai khawm chu; chun, a buhai ngei khawm chu hmusitum a ni tah,’ in ta."
"Ye say also, Behold, what a weariness is it! and ye have snuffed at it, saith Jehovah of hosts; and ye have brought that which was taken by violence, and the lame, and the sick; thus ye bring the offering: should I accept this at your hand? saith Jehovah.","Chun, ‘Ngai ta u, nghawk a va um ngei de!’ in ta, in hnâr in hnâwt- khum a, sipaihai LALPA chun a tih. Chun, pâwngnêka lâk chu in hung lâk a, a kebai ruol, a damnaw ruol leh; chuong ang chun thilinhlân chu in hung lâk a na, hi in kut thilthaw hi ka pawmpêk ding cheu am a nih? sipaihai LALPA chun a tih."
"But cursed be the deceiver, who hath in his flock a male, and voweth, and sacrificeth unto the Lord a blemished thing; for I am a great King, saith Jehovah of hosts, and my name is terrible among the Gentiles.","Amiruokchu, a berâm ruol lai a chal, tiemkam sa tah neia, LALPA kuoma demuma inthâwi a, hlêmtu chu ṭawngsephurin um raw se: lal ropuitak ka ni sih a, ka hming khawm Jentailhai kuom chena khawm ṭi a um a nih, sipaihai LALPA chun a tih."
"And now, O ye priests, this commandment is for you.","“Tuhin, aw nangni thiempuhai, hi thutiem hi in ta ding a nih."
"If ye will not hear, and if ye will not lay it to heart, to give glory unto my name, saith Jehovah of hosts, then will I send the curse upon you, and I will curse your blessings; yea, I have cursed them already, because ye do not lay it to heart.","In ngai a, ka hming sukropui dinga, in lungrila in sie tlat naw chun, Sipaihai LALPA chun hieng hin a tih, in chunga chun ṭawngsie hung tir ka ta, in malsâwmnahai chu ṭawngsie inphur ka tih; anih, lungrila in sie tlat naw leiin, ṭawngsie kân phur nghâl tah a nih."
"Behold, I will rebuke your seed, and will spread dung upon your faces, even the dung of your feasts; and ye shall be taken away with it.","Ngai ta u, nangni leiin chu chi chu kâwk ka ta, in inthâwina êkhai chu in hmaihai chunga chun thêng ka ta, chun, a chu le chun nangni chu lâk hmangin um in tih."
"And ye shall know that I have sent this commandment unto you, that my covenant may be with Levi, saith Jehovah of hosts.","Ka thuthlung chu Levi kuoma chun a um theina dingin, hi thupêk hi in kuomah ka hung pêk a nih ti hre tâng in tih, sipaihai LALPA chun a tih."
"My covenant was with him of life and peace; and I gave them to him that he might fear; and he feared me, and stood in awe of my name.","Ka thuthlung chu ama ta ding chun hringna le muongna a na; a ṭi theina ding le, ka hming a ṭina ding le, ka hming ṭiha a ngîr theina dingin a kuoma chun ka pêk a nih."
"The law of truth was in his mouth, and unrighteousness was not found in his lips: he walked with me in peace and uprightness, and turned many away from iniquity.","Thutak dân chu a baua chun a um a, fel nawna chu a hmûrhaia chun hmu a ni hrim hrim nawh; tluongtak le kei le inremin a khawsa a, mi tamtak chu khawhlonaa inthawkin ân her hmangtir tah a nih."
"For the priest’s lips should keep knowledge, and they should seek the law at his mouth; for he is the messenger of Jehovah of hosts.","Thiempu hmûrhai chun hriet- thiemna a vawng ding a na, a baua inthawk chun miin dân chu an zawng ding a ni sih a: ama chu sipaihai LALPA mitir chu a ni sih a."
"But ye are turned aside out of the way; ye have caused many to stumble in the law; ye have corrupted the covenant of Levi, saith Jehovah of hosts.","Amiruokchu, nangni chu lam- puia inthawk chun in pêt hmang a, mi tamtak chu dâna chun in insuithlûk- tir a; Levi kuoma thuthlung chu in suksiet tah a nih, sipaihai LALPA chun a tih."
