en,hmr
"The book of the generation of Jesus Christ, the son of David, the son of Abraham.","Abraham naupa, David naupa, Isu Krista thlatuhai inthlazie chanchin chu:"
Abraham begat Isaac; and Isaac begat Jacob; and Jacob begat Judah and his brethren;,Abrahamin Isak a thlah a; Isakin Jakob a thlah a; Jakobin Juda le a unauhai a thlah a;
and Judah begat Perez and Zerah of Tamar; and Perez begat Hezron; and Hezron begat Ram;,"Judain Tamar leh, Perez le Zera a thlah a; Perezin Esrom a thlah a; Esromin Aram a thlah a;"
and Ram begat Amminadab; and Amminadab begat Nahshon; and Nahshon begat Salmon;,Aramin Amminadab a thlah a; Amminadabin Nason a thlah a; Nasonin Salmon a thlah a;
and Salmon begat Boaz of Rahab; and Boaz begat Obed of Ruth; and Obed begat Jesse;,"Salmonin Rahab leh, Boaz a thlah a; Boazin Ruth leh, Obed a thlah a; Obedin Jessai a thlah a;"
and Jesse begat David the king. And David begat Solomon of her that had been the wife of Uriah;,"Jessaiin lal David a thlah a; chun Davidin Uria nuhmei leh, Solomon a thlah a;"
and Solomon begat Rehoboam; and Rehoboam begat Abijah; and Abijah begat Asa;,Solomonin Rehoboam a thlah a; Rehoboamin Abia a thlah a; Abiain Asa a thlah a;
and Asa begat Jehoshaphat; and Jehoshaphat begat Joram; and Joram begat Uzziah;,Asain Jehosaphat a thlah a; Jehosaphatin Jehoram a thlah a; Jehoramin Uzzia a thlah a;
and Uzziah begat Jotham; and Jotham begat Ahaz; and Ahaz begat Hezekiah;,Uzziain Jotham a thlah a; Jothamin Ahaz a thlah a; Ahazin Hezekia a thlah a;
and Hezekiah begat Manasseh; and Manasseh begat Amon; and Amon begat Josiah;,Hezekiain Manasse a thlah a; Manassein Amos a thlah a; Amosin Josia a thlah a;
"and Josiah begat Jechoniah and his brethren, at the time of the carrying away to Babylon.","Babulon tienga sala an ṭhuoi lai vel khan, Josiain Jekonia le a unau- hai a thlah a;"
"And after the carrying away to Babylon, Jechoniah begat Shealtiel; and Shealtiel begat Zerubbabel;","Chun, Babulon tienga sala an ṭhuoi hnungin Jekoniain Salathiel a thlah a; Salathielin Zerubbabel a thlah a;"
and Zerubbabel begat Abiud; and Abiud begat Eliakim; and Eliakim begat Azor;,Zerubbabelin Abiud a thlah a; Abiudin Eliakim a thlah a; Eliakimin Azor a thlah a;
and Azor begat Sadoc; and Sadoc begat Achim; and Achim begat Eliud;,Azorin Sadok a thlah a; Sadokin Akim a thlah a; Akimin Eliud a thlah a;
and Eliud begat Eleazar; and Eleazar begat Matthan; and Matthan begat Jacob;,Eliudin Eleazar a thlah a; Elea- zarin Matthan a thlah a; Matthanin Jakob a thlah a;
"and Jacob begat Joseph the husband of Mary, of whom was born Jesus, who is called Christ.",Jakobin Josef Mari pasal chu a thlah a; chu Maria chun Isu Krista an ti hi a hung insieng tah a.
So all the generations from Abraham unto David are fourteen generations; and from David unto the carrying away to Babylon fourteen generations; and from the carrying away to Babylon unto the Christ fourteen generations.,"Chuongchun, suon po po chu Abrahama inthawk David chenin suon sâwmpali, Davida inthawka Babulon tienga sala an ṭhuoi chenin suon sâwmpali, Babulon tienga sala an ṭhuoia inthawka Krista chenin suon sâwmpali an nih."
"Now the birth of Jesus Christ was on this wise: When his mother Mary had been betrothed to Joseph, before they came together she was found with child of the Holy Spirit.","Chun, Isu Krista hung insieng- zie chu hieng ang hi a nih: A nu Mari chu Josef le an inhuol laiin, an inpâwl hmain Thlarau Inthiengin ân raitir ti an lo hriet tah a."
"And Joseph her husband, being a righteous man, and not willing to make her a public example, was minded to put her away privily.","Chun, a pasal Josef chu mi feltak a na; tlâng ihriet a nuom nawh a; arûka mâk el a nuom a."
"But when he thought on these things, behold, an angel of the Lord appeared unto him in a dream, saying, Joseph, thou son of David, fear not to take unto thee Mary thy wife: for that which is conceived in her is of the Holy Spirit.","Nisienlakhawm, chuong thu chu a ngaituo laiin, ngai ta, a mangah Lalpa vântirko a kuomah a hung inlâr a, “Josef, nang David naupa, Mari chu nuhmeia nei ṭi naw rawh; a nau vawn chu Thlarau Inthienga inthawk a nih i sawnnaw."
And she shall bring forth a son; and thou shalt call his name JESUS; for it is he that shall save his people from their sins.,"Naupasal nei a ta, a hming chu Isu sak i tih; ama chun a mihai an thil suksuolnaa inthawkin a sandam ding a ni sih a”, a ta."
"Now all this is come to pass, that it might be fulfilled which was spoken by the Lord through the prophet, saying,","Lalpain zâwlnei baua,"
"Behold, the virgin shall be with child, and shall bring forth a son, And they shall call his name Immanuel; which is, being interpreted, God with us.","“Ngai ta, nunghâk inthieng chu inrâi a ta, Naupasal nei a ta; A hming dingin Immanuel sak an tih,” tia a hril kha a hung tlung theina dingin chuong po po chu a hung um a nih. (Immanuel chu, “Ei kuomah Pathien a um” tina a nih)."
"And Joseph arose from his sleep, and did as the angel of the Lord commanded him, and took unto him his wife;","Chuongchun, Josef chu a in a tho a; Lalpa vântirkoin a kuoma thu a pêk ang chun a thawh a; Mari chu a nei tah a;"
and knew her not till she had brought forth a son: and he called his name JESUS.,"nisienlakhawm, naupasal a nei hmakhat chu a pâwl nawh a; chun, a hming chu ISU a sak tah a."
