en,hmr
"The word of Jehovah that came to Micah the Morashtite in the days of Jotham, Ahaz, and Hezekiah, kings of Judah, which he saw concerning Samaria and Jerusalem.","Juda lal Jotham, Ahaz le Hezekia hai inlal laia Moreseth mi Mika kuoma LALPA thu hung tlung, Samaria khuo le Jerusalem chung- châng thu a hmu chu."
"Hear, ye peoples, all of you; hearken, O earth, and all that therein is: and let the Lord Jehovah be witness against you, the Lord from his holy temple.","Nangni chihai, in rêngin hre unla, aw leihnuoi le a sûnga um po pohai; ngai ro, Lalpa PATHIEN, Lalpa chu a biekin inthienga inthawkin nangni kala in chungthu hretu ni raw se."
"For, behold, Jehovah cometh forth out of his place, and will come down, and tread upon the high places of the earth.","Ngai ta u, LALPA chu a hmuna inthawkin a hung suok a, hung ṭum a ta, hnuoi hmun insânghai chu a chîl ding a ni sih a."
"And the mountains shall be melted under him, and the valleys shall be cleft, as wax before the fire, as waters that are poured down a steep place.","Mei bula khuoihlu ang le hmun inṭêna tui inkhaw thla ang elin, tlânghai chu a hnuoia chun intui an ta, vadung ruomhai chu kakintan an tih."
"For the transgression of Jacob is all this, and for the sins of the house of Israel. What is the transgression of Jacob? is it not Samaria? and what are the high places of Judah? are they not Jerusalem?",Hieng po po hi Jakobhai baw- sietna le Israel sûngkuohai suolna lei a nih. Jakobhai bawsietna chu ieng am a na? Samaria ni lo am a nih? Juda bâwlhmunhai chu ieng am a na? Jerusalem ni lo am a nih?
"Therefore I will make Samaria as a heap of the field, and as places for planting vineyards; and I will pour down the stones thereof into the valley, and I will uncover the foundations thereof.","Chuleiin, Samaria chu phûla thil se um khâwm angin siem ka ta, grêp huon hmun ang elin; chun, chu hmuna lunghai chu vadung ruom tieng inhlum thlâng ka ta, a lung- phûmhai chu suklang ka tih."
"And all her graven images shall be beaten to pieces, and all her hires shall be burned with fire, and all her idols will I lay desolate; for of the hire of a harlot hath she gathered them, and unto the hire of a harlot shall they return.","A milim siemfâwmhai po po chu sukkawi hâwp vawng nîng an ta; a nawchizawr manhai chu meia raw hmang nîng a tih, a milimhai po po chu sukbohmang ka tih; nawchizawr mana a lâk khâwm a ni leiin, nawchizawr man bawkin ṭhang an tih."
"For this will I lament and wail; I will go stripped and naked; I will make a wailing like the jackals, and a lamentation like the ostriches.","Hi hi lei hin ṭap ka ta, khêk rak rak ka ta, inhlîp le saruokin um ka ta, sihalhai angin khêk ka ta, varîng- seihai angin inrûm ka tih."
"For her wounds are incurable; for it is come even unto Judah; it reacheth unto the gate of my people, even to Jerusalem.","A hliemnahai chu sukdam thei a ni nawh; Juda ram a tlung ta hiel sih a; ka mihai kawtkhâr, Jerusalem meu khawm a tlung a nih."
"Tell it not in Gath, weep not at all: at Beth-le-aphrah have I rolled myself in the dust.","Gath khuoa chun hril naw unla, ṭap dêr naw ro; Beth-le-Aphra khuoa chun pilvutah inbuol rawh."
