en,hmr
"The beginning of the gospel of Jesus Christ, the Son of God.",Pathien Naupa Isu Krista Chanchin Ṭha hung tlung phutna chu.
"Even as it is written in Isaiah the prophet, Behold, I send my messenger before thy face, Who shall prepare thy way;","Zâwlnei Isai lekhabua, “Ngai ta, ka tirko i hmaah ka tir a, Ama chun i lampui siem a tih,”"
"The voice of one crying in the wilderness, Make ye ready the way of the Lord, Make his paths straight;","Thlalêra mi khêk râwl chun, ‘Lalpa lamlien buotsai unla, A lampuihai suktlûn ro,’ a tih,” tia inziek ang khan."
"John came, who baptized in the wilderness and preached the baptism of repentance unto remission of sins.","Johan, thlalêra Baptistu kha suksuolnahai ngaidamna dingin sim- na baptisma thu hrilin a hung suok a."
"And there went out unto him all the country of Judæa, and all they of Jerusalem; and they were baptized of him in the river Jordan, confessing their sins.","Chun, Judai rama mi po po le Jerusalema mi po pohai chu a kuomah an feh a, an suolhai thupha chawiin Jordan vadungah a kuomah baptisma an chang tâwl a."
"And John was clothed with camel’s hair, and had a leathern girdle about his loins, and did eat locusts and wild honey.","Chun, Johan chu sanghâwngsei hmul puonin ân thuom a, a kâwngah savun kâwngkhiin ân khit a, rama khuoizu le khâuṭhikṭhi buin a ring a."
"And he preached, saying, There cometh after me he that is mightier than I, the latchet of whose shoes I am not worthy to stoop down and unloose.","Chun, “Ka hnungah keia nêka ropui lem a hung zing a nih; kûna a kekawk hrui sût tlâk khawm ka ni nawh."
I baptized you in water; but he shall baptize you in the Holy Spirit.,"Kei chun tuiin ka baptis hlak cheu a; ama ruok chun chu Thlarau Inthiengin a baptis ding cheu a nih,” tiin a hril a."
"And it came to pass in those days, that Jesus came from Nazareth of Galilee, and was baptized of John in the Jordan.","Chuong nihaia chun Isu Galili rama Nazaretha inthawkin a hung a, Jordan vadungah Johan kuomah baptisma a chang tah a."
"And straightway coming up out of the water, he saw the heavens rent asunder, and the Spirit as a dove descending upon him:","Chuongchun, tuia inthawka a hung suok phingle chun, vân in- hawnga Thlarau vâṭhu angin ama chunga hung ṭum a hmu tah a."
