en,hmr
The burden of Nineveh. The book of the vision of Nahum the Elkoshite.,"Ninevi khaw phurrik chu, Elkos mi Nahum inlârna hmu bu chu."
"Jehovah is a jealous God and avengeth; Jehovah avengeth and is full of wrath; Jehovah taketh vengeance on his adversaries, and he reserveth wrath for his enemies.","LALPA chu thîkthusie Pathien le phuba lâk hmang a nih; LALPA chun phuba a lâk a, lunginsennain a sip a nih; LALPA chun ama dotuhai chungah phuba a lâk a, a hmêlmahai ta ding chun lunginsenna ân khâwl- khâwm a nih."
"Jehovah is slow to anger, and great in power, and will by no means clear the guilty: Jehovah hath his way in the whirlwind and in the storm, and the clouds are the dust of his feet.","LALPA chu a lung ân uoi a, nasataka thilthawthei a na, mi suol chu thiem inchangtir hrim hrim naw ni; LALPA chun thlivira le thlipuia chun lampui a nei a, sûmhai chu a kea pilvut a nih."
"He rebuketh the sea, and maketh it dry, and drieth up all the rivers: Bashan languisheth, and Carmel; and the flower of Lebanon languisheth.","Tuisuoriet chu a kâwk a, a suk- kangintana, vadunghai po po khawm a sukkangintan zo a, Basan ram le Karmel tlâng an châu a, Lebanon tlâng pâr chu a châu a nih."
"The mountains quake at him, and the hills melt; and the earth is upheaved at his presence, yea, the world, and all that dwell therein.","Tlâng lienhai chu ama leiin an inhnîng a, tlâng chînhai chu an intuihmang a; a hmaa chun hnuoi hi ân thin a, anih, khawvêl le a sûnga um po pohai le chun."
"Who can stand before his indignation? and who can abide in the fierceness of his anger? his wrath is poured out like fire, and the rocks are broken asunder by him.","A lungninawna hmaa chun tu am ngîr thei an ta, a lunginsenna nasa- taka chun tu am um thei an ta? A lunginsenna chu mei anga bunthlâk a na, lungpuihai chu a sukkawi vawng a nih."
"Jehovah is good, a stronghold in the day of trouble; and he knoweth them that take refuge in him.","LALPA chu a ṭha a, lunginzîng nia chun kul nghet a nih, amaa an ringna innghattuhai chu a hriet."
"But with an over-running flood he will make a full end of her place, and will pursue his enemies into darkness.","Amiruokchu, tui lien luong liem- na hmangin chu hmun bohmang vawngna chu intlungtir a ta, hmêl- mahai chu inthimnaah hnawt lût a tih."
What do ye devise against Jehovah? he will make a full end; affliction shall not rise up the second time.,LALPA kalin ieng am in ngaituoh a? Tâwp râwtna ân tlungtir ding a nih: rinum vawi hnina tlung naw nih.
"For entangled like thorns, and drunken as with their drink, they are consumed utterly as dry stubble.","Hling bawn anga umin an uoin dâwn chun chie hu hnêp angin um sienla khawm, bupâwl ṭâwl ang ela sukbohmang vawng nîng an tih."
"There is one gone forth out of thee, that deviseth evil against Jehovah, that counselleth wickedness.","Nangmaa suok mi pakhat LALPA kalna thil suol ngaituotu, rîtlona thurâwntu a um a."
"Thus saith Jehovah: Though they be in full strength, and likewise many, even so shall they be cut down, and he shall pass away. Though I have afflicted thee, I will afflict thee no more.","LALPA chun hieng ang hin a tih: “An hrât thei tâwpin hrât hai sienla khawm, tam khawm tamtak ni hai sien khawm, chuongsa khawm chun vât thlûkin um an ta, bohmang an tih. Lo sukrimsi ta lang che khawm sukrimsi nâwk ta naw ning che."
"And now will I break his yoke from off thee, and will burst thy bonds in sunder.","Tuhin chu i kuoma inthawkin a rîngkawl chu suktliek ka ta, nangma khuopna hruihai chu suktan vawng ka tih."
"And Jehovah hath given commandment concerning thee, that no more of thy name be sown: out of the house of thy gods will I cut off the graven image and the molten image; I will make thy grave; for thou art vile.","LALPA chun i chungchâng thuah thu a pêk a, i hming chu chi anga thê ni ta naw nih; i pathien ina inthawka milim siemfâwm le milim sunghai chu sukbohmang ka tih; i thlân chu siem ka tih, i suol sih a,” tiin."
"Behold, upon the mountains the feet of him that bringeth good tidings, that publisheth peace! Keep thy feasts, O Judah, perform thy vows; for the wicked one shall no more pass through thee; he is utterly cut off.","Tlânghaia chanchin ṭha in- tluna, inremna thu tlânginsampui- tuhai ke chu en ta! Aw Juda, i ruoi- ṭhenahai chu inser la, i thutiemhai chu sukpuitling rawh; mi rilo chun a pal thleng nâwk ta âwm si naw cheh a, sukbohmang dêr a ni tah a nih."
"He that dasheth in pieces is come up against thee: keep the fortress, watch the way, make thy loins strong, fortify thy power mightily.","Sukkawinâwitu chu i hmai- hmaa chun a hung suok ie, kul- bîng chu enkawl la, lampui chu vêng rawh, i kâwng chu sukngar la, i thil- thawtheina chu hrâttakin siem ṭha rawh."
"For Jehovah restoreth the excellency of Jacob, as the excellency of Israel; for the emptiers have emptied them out, and destroyed their vine-branches.","Israelhai ropuina angin Jakob- hai ropuina chu LALPA chun ân ngîr nâwk sih a; sukruoktuhaiin anni chu an sukruok zo tah a, an grêp kauhai an suksiet zo ta sih a."
"The shield of his mighty men is made red, the valiant men are in scarlet: the chariots flash with steel in the day of his preparation, and the cypress spears are brandished.","A mi hrâthai phaw chu a sen a, mi huoisenhai chu a sen inlârin an inthuom a, an inbuotsaina nia chun tawlailîrhai chu kâpathîr tlêtin a tle zawr zawr a, feihai chu râpthlâktakin ân lap zawk zawk a nih."
The chariots rage in the streets; they rush to and fro in the broad ways: the appearance of them is like torches; they run like the lightnings.,"Tawlailîrhai chu kawtthlêra chun an tlân bur bur a, lamlien lien- haia chun an insuk sawk sawk a, meiser angin an inlang a, kâwlinlep angin an tlân thuok thuok a nih."
"He remembereth his nobles: they stumble in their march; they make haste to the wall thereof, and the mantelet is prepared.","A mi lienhai chu a hrietsuok a, an fe inruol chu an pêm a; kul bang tieng pan chun an inhmawh a, thil phên ding an siem a."
