en,hmr
"And Jehovah spake unto Moses in the wilderness of Sinai, in the tent of meeting, on the first day of the second month, in the second year after they were come out of the land of Egypt, saying,","Aigupta rama inthawka an hung suok kum hni kum, thla hnina, ni khat ni chun, Sinai thlalêra intuokna puon inah LALPAIN Mosie a biek a,"
"Take ye the sum of all the congregation of the children of Israel, by their families, by their fathers’ houses, according to the number of the names, every male, by their polls;","“Israel thlahai pungkhâwmhai po po chu a chi chiin, a sûngkuo kuoin, an hming indawt dân ang peiin pasal po po tiem vawng rawh."
"from twenty years old and upward, all that are able to go forth to war in Israel, thou and Aaron shall number them by their hosts.",Kum sâwmhni chin chungtieng Israelhai laia mi râl kâpa fe thei chin chu Aron le nangin a pâwl pâwlin in tiem vawng ding a nih.
And with you there shall be a man of every tribe; every one head of his fathers’ house.,"I kuomah hnam tin laia mi pakhat, sûngkaw puipa an um pei ding a nih."
And these are the names of the men that shall stand with you. Of Reuben: Elizur the son of Shedeur.,Hieng hi i kuoma um ding hai hming chu a nih. Reuben hnama mi Sedeur naupa Elizur.
Of Simeon: Shelumiel the son of Zurishaddai.,Simeon hnama mi Zurisaddai naupa Selumiel.
Of Judah: Nahshon the son of Amminadab.,Juda hnama mi Amminadab naupa Nason.
Of Issachar: Nethanel the son of Zuar.,"Issakar hnama mi, Zuar naupa Nethanel."
Of Zebulun: Eliab the son of Helon.,Zebulun hnama mi Helon naupa Eliab.
Of the children of Joseph: Of Ephraim: Elishama the son of Ammihud. Of Manasseh: Gamaliel the son of Pedahzur.,"Josef thla, Ephraim hnama mi Ammihud naupa Elisama. Manasse hnama mi Pedahzur naupa Gamaliel."
Of Benjamin: Abidan the son of Gideoni.,Benjamin hnama mi Gideoni naupa Abidan.
Of Dan: Ahiezer the son of Ammishaddai.,Dan hnama mi Ammisaddai naupa Ahiezer.
Of Asher: Pagiel the son of Ochran.,Aser hnama mi Okran naupa Pagiel.
Of Gad: Eliasaph the son of Deuel.,Gad hnama mi Deuel naupa Eliasaph.
Of Naphtali: Ahira the son of Enan.,Naphtali hnama mi Enan naupa Ahira.
"These are they that were called of the congregation, the princes of the tribes of their fathers; they were the heads of the thousands of Israel.","Hienghai hi mipuihai laia thlang, an pahnama ṭhuoitu, Israel sûngkuo puipahai chu an nih,” tiin."
And Moses and Aaron took these men that are mentioned by name:,"Chuongchun, Mosie le Aron chun chuong an hming lama umhai chu an ṭhuoi a,"
"and they assembled all the congregation together on the first day of the second month; and they declared their pedigrees after their families, by their fathers’ houses, according to the number of the names, from twenty years old and upward, by their polls.","mipui po po chu thla hnina, ni khat ni chun an ko khâwm vawng a, a chi chiin a sûngkuo kuoin, an hming indawt dân ang peiin kum sâwmhni chin chungtieng po po chu an thlatuhai hming an târlang a."
"As Jehovah commanded Moses, so he numbered them in the wilderness of Sinai.",LALPAIN Mosie thu a pêk ang- in Sinai thlalêra chun a tiem tah a.
"And the children of Reuben, Israel’s first-born, their generations, by their families, by their fathers’ houses, according to the number of the names, by their polls, every male from twenty years old and upward, all that were able to go forth to war;","Israel naupa upatak Reuben thla suonhai chu a chi chiin, an pahnam hnamin, an hming indawt dân ang peiin, pasal kum sâwmhni chin chungtieng, râl kâp thei chin,"
"those that were numbered of them, of the tribe of Reuben, were forty and six thousand and five hundred.",Reuben thla po po chu sîng li sâng ruk le za nga an nih.
"Of the children of Simeon, their generations, by their families, by their fathers’ houses, those that were numbered thereof, according to the number of the names, by their polls, every male from twenty years old and upward, all that were able to go forth to war;","Simeon thla suonhai chu a chi chiin, an pahnam hnamin, an hming tam ang peiin pasal kum sâwmhni chin chungtieng, râl kâp thei chin,"
"those that were numbered of them, of the tribe of Simeon, were fifty and nine thousand and three hundred.",Simeon thla po po chu sîng nga sâng kuo le za thum an nih.
"Of the children of Gad, their generations, by their families, by their fathers’ houses, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;","Gad thla suonhai chu a chi chiin, an pahnam hnamin, an hming tam dân ang peiin kum sâwmhni chin chungtieng, râl kâp thei chin,"
"those that were numbered of them, of the tribe of Gad, were forty and five thousand six hundred and fifty.",Gad thla po pohai chu sîng li sâng nga za ruk le sâwmnga an nih.
"Of the children of Judah, their generations, by their families, by their fathers’ houses, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;","Juda thla suonhai chu a chi chiin; an pahnam hnamin, an hming tam dân ang peiin kum sâwmhni chin chungtieng, râl kâp thei chin,"
