en,hmr
"Blessed is the man that walketh not in the counsel of the wicked, Nor standeth in the way of sinners, Nor sitteth in the seat of scoffers:","Mi rilohai remruot ang chu hraw loa, Mi suolhai lampuia khawm ngîr ngai loa, Hmusittuhai ṭhungphaa khawm ṭhung ngailo mi chu a hamṭha."
But his delight is in the law of Jehovah; And on his law doth he meditate day and night.,"A lâwmna chu LALPA dânah a ni lem a, A dân thu chu a sûn a zânin a ngaituo hlak a."
"And he shall be like a tree planted by the streams of water, That bringeth forth its fruit in its season, Whose leaf also doth not wither; And whatsoever he doeth shall prosper.","Ama chu tuiluong kâwla thing phun, A huntaka ra insuo hlak, A hna khawm vuoi ngailo ang hi a nih: A thilthaw taphawt chu hlawtling pei a tih."
"The wicked are not so, But are like the chaff which the wind driveth away.","Mi rilohai ruok chu chuong ang chu an ni nawh a, Busi thliin a lênhmang hlak ang hi an ni lem a."
"Therefore the wicked shall not stand in the judgment, Nor sinners in the congregation of the righteous.","Chuleiin, mi rilohai chu rorêlna hmaa chun ngîr thei naw ni hai a, Mi suolhai khawm mi felhai inkhâwmnaa chun ngîr thei bawk naw ni hai."
For Jehovah knoweth the way of the righteous; But the way of the wicked shall perish.,"Lalpa chun mi felhai lampui chu a hriet sih a, Mi rilohai lampui ruok chu bohmang a tih."
"Why standest thou afar off, O Jehovah? Why hidest thou thyself in times of trouble?","Aw LALPA, iengdinga hla- takah i ngîr hlak am a na? Iengdinga lunginzîng hun laia inbi hlak am i na?"
In the pride of the wicked the poor is hotly pursued; Let them be taken in the devices that they have conceived.,Mi rilohai chapona leiin mi rimsihai chu hnawt zêkin an um hlak a; An thil suol ngaituo suokhaia chun anni ngei âwk raw se.
"For the wicked boasteth of his heart’s desire, And the covetous renounceth, yea, contemneth Jehovah.","Mi rilo chun a lungril thil dit zâwng chu a suong hlak a. Mi duâm chun LALPA chu a peithlâk a, a hmusit hlak."
"The wicked, in the pride of his countenance, saith, He will not require it. All his thoughts are, There is no God.","Mi rilo chun chapo hmêl putin, “Iengkhawm mi ti hliek naw ni,” a ti hlak a, A ngaituona po po chu “Pathien hrim a um nawh,” ti ruok hi a nih."
"His ways are firm at all times; Thy judgments are far above out of his sight: As for all his adversaries, he puffeth at them.","A umdânhai chu ieng lai khawmin a det zing a, I rorêlnahai chu chungtieng hlatakah, a hmu phâk nawah a um dai a: Ama dotuhai po po hlak chu a nuisan el a."
"He saith in his heart, I shall not be moved; To all generations I shall not be in adversity.","A lungrila chun, “Châng naw ning: Suon po po chenin lungzîngin um naw ning,” a tih a."
His mouth is full of cursing and deceit and oppression: Under his tongue is mischief and iniquity.,"A bau chu ṭawngse inphurna dâm, hlêmna dâm, suknawmnatna dâmin a sip a; A lei hnuoia chun thil suk- suolna le khawhlona a um a."
He sitteth in the lurking-places of the villages; In the secret places doth he murder the innocent; His eyes are privily set against the helpless.,"Khaw tina inchân rûkna hmunhaiah a ṭhung hlak a, Hmun fienriela chun pawitâwk- lo mihai a that hlak a; A mitin iengkhawm thaw thei lo mi chu ân chânrûk zing hlak."
"He lurketh in secret as a lion in his covert; He lieth in wait to catch the poor: He doth catch the poor, when he draweth him in his net.","Sakeibakneiin a pûka ân chân- rûk angin, ama chun fienriel- ah ân chânrûk zing hlak a; Mi rimsi man dingin an chân hlak a, Mi rimsi chu a man ngei a; chuongchun, a lênin a keihmang hlak."
"He croucheth, he boweth down, And the helpless fall by his strong ones.","A bawkphêk a, a kûn a, Iengkhawm thaw thei lohai chu mi hrâthai sukthlûkin an um hlak."
"He saith in his heart: God hath forgotten; He hideth his face, he will never see it.","A lungrila chun, “Pathienin a theinghil tah; A hmai a thup a, iengtika khawm hmu naw ni,” a ti hlak a."
"Arise, O Jehovah; O God, lift up thy hand: Forget not the poor.","Aw LALPA, tho la, aw Pathien, i kut hang inlet ta, Mi rimsihai chu theinghil naw rawh."
"Wherefore doth the wicked contemn God, And say in his heart, Thou wilt not require it?","Ieng dinga mi rilo chun Pathien hmusitin, A lungrilah, “Iengkhawm mi ti hliek naw ti nih,” a ti hlak am a na?"
