en,hmr
"The Song of songs, which is Solomon’s.","Hlahai hla, Solomon ta chu."
Let him kiss me with the kisses of his mouth; For thy love is better than wine.,A baua fâwpnahai chun mi hung fâwp sien; I hmangaina chu uoin nêk chun a ṭha lem sih a.
Thine oils have a goodly fragrance; Thy name is as oil poured forth; Therefore do the virgins love thee.,"I hriekhai chun rim inhnikna tak a nei a; I hming chu hriek bun suok ang a nih; Chuleichun, nunghâkhaiin an hmangai che a nih."
Draw me; we will run after thee: The king hath brought me into his chambers; We will be glad and rejoice in thee; We will make mention of thy love more than of wine: Rightly do they love thee.,"Mi hîp la, i hnungah hung tlân kan tih: Lal chun a pindanhaia chun a mi ṭhuoi a; Nangmaa chun hlimin lâwm kan tih; Uoin nêk chun i hming chu hung hril lem kan ta; An hmangai takzet che a nih."
"I am black, but comely, O ye daughters of Jerusalem, As the tents of Kedar, As the curtains of Solomon.","Ka hâng a, nisienlakhawm, ngaino ka bei, Aw nangni Jerusalem naunuhai, Kedar puon inhai ang le, Solomon puonzârhai ang el chun."
"Look not upon me, because I am swarthy, Because the sun hath scorched me. My mother’s sons were incensed against me; They made me keeper of the vineyards; But mine own vineyard have I not kept.","Ka hâng êm leiin kei mîn sit naw unla, Nisa chun a mi em duk leiin. Ka nu naupasalhai chu ka chungah an lunginsen a, Grêp huon enkawltuah an mi siem a; Keima grêp huon ruok chu ka enkawl nawh."
"Tell me, O thou whom my soul loveth, Where thou feedest thy flock, Where thou makest it to rest at noon: For why should I be as one that is veiled Beside the flocks of thy companions?","Aw nang ka thlain a ihmangai, mi hril rawh, I ran ruol chu khâwlai am în tlattir a, sûn huna chun khâwlai am în châwltirna; I pâwlhai ran ruol sîra chun, Iengdinga invâk invâk ding am ka na? Tlangvâl"
"If thou know not, O thou fairest among women, Go thy way forth by the footsteps of the flock, And feed thy kids beside the shepherds’ tents.","Aw nang nuhmeihai laia hmêlṭha tak, i hriet naw a ni chun, Ran ruolhai kehnunga chun i lampui chu zui suok la, I kêltehai chu berâmpu puon in kâwla chun intlattir rawh."
"I have compared thee, O my love, To a steed in Pharaoh’s chariots.","Aw ka hmangai, Pharao sakawr tawlailîra, Sakawr lâ le chun ka hrilkhi cheh a."
"Thy cheeks are comely with plaits of hair, Thy neck with strings of jewels.","I bienghai chu samphier le chun ngaino an bei hle a, I rînga lunghlu ṭhihruihai le chun."
We will make thee plaits of gold With studs of silver.,"Rângkachak ṭhi hrui, Tangkaraw sûngphûm nei siempêk kan ti che. Nunghâk"
"While the king sat at his table, My spikenard sent forth its fragrance.","Lal chu a ṭhungnaa a ṭhung lai chun, Ka spiknard chun a riminhnik a tirsuok a."
"My beloved is unto me as a bundle of myrrh, That lieth betwixt my breasts.","Ka hmangaitak chu ka ta ding chun murra bâwm ang a na, Ka âwmhai inkâra um ang hi."
My beloved is unto me as a cluster of henna-flowers In the vineyards of En-gedi.,"Ka hmangaitak chu ka ta dingin henna pârbâwr, En-gedi grêp huona ang chu a nih. Tlangvâl"
"Behold, thou art fair, my love; Behold thou art fair; Thine eyes are as doves.","Ngai ta, ka hmangai, i hmêl a ṭha, ngai ta, i hmêl a ṭha, I mithai chu vaṭhu mit ang a nih. Nunghâk"
"Behold, thou art fair, my beloved, yea, pleasant: Also our couch is green.","Ngai ta,i hmêl a ṭha, ka hmangai, anih, lung sukâwi; Ei khum khawm a hring a."
"The beams of our house are cedars, And our rafters are firs.","Ei in tlungpûmhai chu sidar thing an na, Ei insunhai chu fâr thing an nih."
"I am a rose of Sharon, A lily of the valleys.","Sharon rose pâr, Phairuom lili ka nih. Tlangvâl"
"As a lily among thorns, So is my love among the daughters.","Hling laia lili ang hi A nih ka hmangaitak chu, nunghâkhai laia chun. Nunghâk"
