en,hmr
"In the eighth month, in the second year of Darius, came the word of Jehovah unto Zechariah the son of Berechiah, the son of Iddo, the prophet, saying,","Daria inlal kum hnina a thla rietnaah, Iddo naupa, Berekia naupa zâwlnei Zekaria kuomah LALPA thu chu a hung tlung a:"
Jehovah was sore displeased with your fathers.,“In thlatuhai chunga khan LALPA chu a lungni naw êm êm a.
"Therefore say thou unto them, Thus saith Jehovah of hosts: Return unto me, saith Jehovah of hosts, and I will return unto you, saith Jehovah of hosts.","Chuleiin, nangin an kuomah, LALPA chun, hieng hin a tih tiin hril rawh: Sipaihai LALPA chun, ka kuomah hung kîr ro, a tih; chuongchun, in kuomah hung kîr vêng ka tih, sipaihai LALPA chun a tih."
"Be ye not as your fathers, unto whom the former prophets cried, saying, Thus saith Jehovah of hosts, Return ye now from your evil ways, and from your evil doings: but they did not hear, nor hearken unto me, saith Jehovah.","Inhmaa zâwlneihaiin an kuoma, ‘Sipaihai LALPA chun hieng hin a tih: in thilthaw rilohai le, in um dân khawhlonahaia inthawk khan hung kîr ro,’ a tih tia a hril a, ngai si lohai le, keia tieng khawm pawisa si lohai, in thlatuhai ang khan um naw ro, LALPA chun a tih."
"Your fathers, where are they? and the prophets, do they live for ever?",In thlatuhai chu khâw lai am an um tah a? Zâwlneihai khawm chu an dam zing am a nih?
"But my words and my statutes, which I commanded my servants the prophets, did they not overtake your fathers? and they turned and said, Like as Jehovah of hosts thought to do unto us, according to our ways, and according to our doings, so hath he dealt with us.","Amiruokchu, ka thuhai le ka thuruothai, ka siehlaw zâwlneihai thu ka ipêkhai chu, chuonghai chun in thlatuhai chu an hnawtphâk tah ni lo am a nih? Anni chu an ngha kîr a, ‘ei thilthawhai ang pei le, ei um dân ang peia sipaihai LALPAIN ei chunga thaw dinga a ngaituo angtakin, chuong angtak chun ei chungah a thaw a ni hi,’ an tih a,” tiin."
"Upon the four and twentieth day of the eleventh month, which is the month Shebat, in the second year of Darius, came the word of Jehovah unto Zechariah the son of Berechiah, the son of Iddo, the prophet, saying,","Daria inlal kum hnina, thla sâwmpakhatna Sebat thla, ni sâwm- hni pali ni chun LALPA thu chu a hung tlung a:"
"I saw in the night, and, behold, a man riding upon a red horse, and he stood among the myrtle-trees that were in the bottom; and behind him there were horses, red, sorrel, and white.","“Zâna hin thil ka hmuh a, mi pakhat sakawr sen chunga chuong hi ka hmuh a, ama chu hmun inruom inhmui thing lai hin a ngîr zing a; chun, a hnunga chun sakawr sen dâm, a buong dâm, a vâr dâm hi an um a."
"Then said I, O my lord, what are these? And the angel that talked with me said unto me, I will show thee what these are.","Chun, keiin ‘Aw pu, hienghai hi ieng am an nih a?’ ka ta. Vântirko kei mi betu chun ka kuomah, ‘Hieng hi ieng am an ni inentir ka ti che,’ a ta."
"And the man that stood among the myrtle-trees answered and said, These are they whom Jehovah hath sent to walk to and fro through the earth.","Chun, inhmui thing buk laia ngîrpa chun a dawn a, ‘Hienghai hi LALPAIN hnuoi chung kil tin kil tanga fe dinga a tirhai chu an nih,’ a ta."
"And they answered the angel of Jehovah that stood among the myrtle-trees, and said, We have walked to and fro through the earth, and, behold, all the earth sitteth still, and is at rest.","Chun, anni chun LALPA vântir- ko inhmui thing laia ngîr chu an dawn a, ‘Hnuoi chung kil tin kil tanga chun kan fe tah a, ngai ta, leihnuoi po po chu a ṭhung ṭawk ṭawkin, râlmuongin a um a nih,’ an ta."
"Then the angel of Jehovah answered and said, O Jehovah of hosts, how long wilt thou not have mercy on Jerusalem and on the cities of Judah, against which thou hast had indignation these threescore and ten years?","Chun, LALPA vântirko chun a dawn a. ‘Aw sipaihai LALPA, kum sâwmsari sûng rau an chunga nasa- taka lunginsenna i nei, Juda khaw- puihai le Jerusalem chunga hin ieng chen am zângaina nei loin i um ding a na?’ a ta."
"And Jehovah answered the angel that talked with me with good words, even comfortable words.","Chun, vântirko kei mi betu chu LALPA chun thu ṭhatakhai, thu thlamuongumtakhai chun a dawn tah a."
"So the angel that talked with me said unto me, Cry thou, saying, Thus saith Jehovah of hosts: I am jealous for Jerusalem and for Zion with a great jealousy.","Chuongchun, vântirko a mi betu chun ka kuomah, ‘Hieng ang hin khêk rawh: Sipaihai LALPA chun hieng hin a tih: Jerusalem le Zion chu nasatakin ka thîk a nih."
"And I am very sore displeased with the nations that are at ease; for I was but a little displeased, and they helped forward the affliction.","Chuongchun, hnam nuomsaa umhai chunga chun ka lungni naw êm êm a; lungni naw dep chu ka ni deh a, anni chun sukrinumna chu an sukzuol pei sih a, tiin,’ a ta."
"Therefore thus saith Jehovah: I am returned to Jerusalem with mercies; my house shall be built in it, saith Jehovah of hosts, and a line shall be stretched forth over Jerusalem.","Chuleiin, LALPA chun a tih: ‘Zângaina leh Jerusalema chun ka hung kîr nâwk a; chutaka chun ka in chu bâwl a ni ding a nih, sipaihai LALPA chun a tih; chun, Jerusalem chunga hin inkhina hmawl keimar nîng a tih."
"Cry yet again, saying, Thus saith Jehovah of hosts: My cities shall yet overflow with prosperity; and Jehovah shall yet comfort Zion, and shall yet choose Jerusalem.","La khêk nâwk la, sipaihai LALPA chun hieng hin a tih: Ka khawpuihai chu hausakna leiin hung inzar lien a ta; chun, LALPA chun, Zion chu la thlamuon nâwk a ta, Jerusalem chu la thlang nâwk a tih,’” tiin."
"And I lifted up mine eyes, and saw, and, behold, four horns.","Chun, ka mithai ka hang inlên a, ka en a; chun, ki pali hi ka hmu a. Chun, vântirko a mi betu kuoma chun, “Hieng hi ieng am an nih a?” ka tih a."
"And I said unto the angel that talked with me, What are these? And he answered me, These are the horns which have scattered Judah, Israel, and Jerusalem.","Ama chun, “Hi kihai hi Juda le Israel le Jerusalem sukdartuhai chu an nih,” tiin a mi dawn a."
And Jehovah showed me four smiths.,"Chun, LALPA chun thîrsu pali hi a mîn hmutir a."
"Then said I, What come these to do? And he spake, saying, These are the horns which scattered Judah, so that no man did lift up his head; but these are come to terrify them, to cast down the horns of the nations, which lifted up their horn against the land of Judah to scatter it.","Chun, keiin, “Hieng hi ieng thaw dinga hung am an na?” ka tih a. Ama chun, “Hieng hi Juda sukdartu kihai chu an nih a, tukhawma an lu dawm kâng an ngam ngai nawh a; nisienlakhawm, hienghai hi, sukdar dinga Juda ram chunga an ki inlettu hnamhai kihai chu pei thla dinga, anni chu sukhmang dinga hung an nih,” a tih a."
"Ask ye of Jehovah rain in the time of the latter rain, even of Jehovah that maketh lightnings; and he will give them showers of rain, to every one grass in the field.","LALPA kâwlinlephai siemtu ngei chu, LALPA kuoma chun ruo nuhnung huna hin ruo ngên ro; chun ama chun ruopui sûr chu pêng a tih, loa thlaihna tin kuoma chun."
"For the teraphim have spoken vanity, and the diviners have seen a lie; and they have told false dreams, they comfort in vain: therefore they go their way like sheep, they are afflicted, because there is no shepherd.","Milim chun teplo mei mei a hril a, a lo dawngtuhai khawm chun khêl thu chu an hmu sih a; manga mang- tuhai khawm chun khêl mei mei an mang a, a thlâwn elin an insukthla- muong a nih; chuleiin, berâm angin anni lampui chu an hrawh a, sukrimsikin an um hlak, berâmpu a um naw leiin."
"Mine anger is kindled against the shepherds, and I will punish the he-goats; for Jehovah of hosts hath visited his flock, the house of Judah, and will make them as his goodly horse in the battle.","Berampuhai chunga chun ka lunginsenna chu a chawk a, kêlchal- hai chu ka hrem ngei ding a nih; sipaihai LALPA chun a berâmruol Juda sûngkuohai chu a hung sir tah a, indonaa sakawr ṭhatak angin a siem ngei ding a nih."
"From him shall come forth the corner-stone, from him the nail, from him the battle bow, from him every ruler together.","Amaa inthawkin a kiha lung dâm, amaa inthawkin a kilna dâm, amaa inthawkin indona thalngul dâm, amaa inthawkin rorêltu dâm an hung suok tlâng vawng ding a ni sih a."
"And they shall be as mighty men, treading down their enemies in the mire of the streets in the battle; and they shall fight, because Jehovah is with them; and the riders on horses shall be confounded.","Chun, indona chun an hmêlma- hai chu kawtthlêra chirhak chîl anga chîlin mi thilthawtheitakhai hung nîng an ta, LALPA chu an kuomah a um zing leiin, anni chu do an tih; chun, sakawr chunga chuong mihai khawm chu sukhamhaiin um an tih."
"And I will strengthen the house of Judah, and I will save the house of Joseph, and I will bring them back; for I have mercy upon them; and they shall be as though I had not cast them off: for I am Jehovah their God, and I will hear them.","Chun, Juda insûng chu hung sukhrât ka ta, Josef insûng chu sandam ka tih; chun, anni chu hung ṭhuoi kîr nâwk ka tih, an chungah lunginsietna ka nei sih a; chun, anni chu ka lo pei thlâk naw ang hrimin um tâng an tih; chun, an thu chu ngai bawk ka ta, LALPA an Pathien ka ni sih a."
"And they of Ephraim shall be like a mighty man, and their heart shall rejoice as through wine; yea, their children shall see it, and rejoice; their heart shall be glad in Jehovah.","Chun, Ephraimhai kha chu mi thilthawtheitak ang nîng an ta, uoin leiin an lungril chu hlim a tih; anih, an thlahai chu hmûng an ta, lâwm an tih; an lungril khawm chu LALPAA chun lâwm bawk a tih."
"I will hiss for them, and gather them; for I have redeemed them; and they shall increase as they have increased.","An ta dingin faifûk ka ta, anni ko khâwm ka tih; anni chu kân tlan ta sih a; a lo pung ta ang bawk khan hung insukpung an tih."
"And I will sow them among the peoples; and they shall remember me in far countries; and they shall live with their children, and shall return.","Chun, anni chu mipuihai laia chun tûng ka ta; ram hlataka khawm mi hre zing an tih; chun, an nau le têhai leh um an ta, hung kîr nâwk an tih."
"I will bring them again also out of the land of Egypt, and gather them out of Assyria; and I will bring them into the land of Gilead and Lebanon; and place shall not be found for them.",Aigupta rama inthawk khawm- in anni chu hung ṭhuoi suok nâwk ka ta. Assuria rama inthawkin la khâwm nâwk ka tih; Gilead le Lebanon rama chun ṭhuoi lût ka ta; an ta dinga hmun indai naw hielin.
"And he will pass through the sea of affliction, and will smite the waves in the sea, and all the depths of the Nile shall dry up; and the pride of Assyria shall be brought down, and the sceptre of Egypt shall depart.","Chun, ama chun sukrinumna tuisuoriet chu fe thleng a ta, tui- suorieta chun a fâwnhai chu thâwng a ta. Nile li inthûkhai po po khawm chu kang intan a tih; chun, Assuria chapona chu sukhnuoi nîng a ta, Aigupta lalhmawl chu fe hmang tâng a tih."
"And I will strengthen them in Jehovah; and they shall walk up and down in his name, saith Jehovah.","Chun, anni chu LALPAA chun sukhrât ka ta, chun, ama hmingin a suk a tungin fe tâng an tih, LALPA chun a tih."
"Open thy doors, O Lebanon, that the fire may devour thy cedars.","Aw Lebanon, i kawtkhârhai hawng rawh, I sidar thinghai chu meiin a kâng hmang theina dingin!"
"Wail, O fir-tree, for the cedar is fallen, because the goodly ones are destroyed: wail, O ye oaks of Bashan, for the strong forest is come down.","Aw fâr thing, inrûm rawh, sidar chu a tlu leiin; A ṭhatakhai chu suksiet an ni ta sih a! Basana thingsaisuohai, inrûm ro, Ramhâk chu a chau ta sih a!"
A voice of the wailing of the shepherds! for their glory is destroyed: a voice of the roaring of young lions! for the pride of the Jordan is laid waste.,"Berâmpuhai inrûm ri chu e, An ropuina suksiet a ni ta sih a! Chu, sakeibaknei vânglai inrûm râwlri chu! Jordan ramngaw chu suksiet a ni ta sih a."
Thus said Jehovah my God: Feed the flock of slaughter;,"LALPA ka Pathien chun hieng ang hin a tih, “Sathattu berâm ruol chu châwm rawh,"
"whose possessors slay them, and hold themselves not guilty; and they that sell them say, Blessed be Jehovah, for I am rich; and their own shepherds pity them not.","ân chawtuhai chun anni chu an that a, anni chu suolah an inngai nawh a; chun, anni zawrtu khawm chun, ‘LALPA chu inpâkin um raw se, ka hausa sih a’, an ta; an berâmpuhai ngei khawm chun anni chu an lunginsiet nawh."
"For I will no more pity the inhabitants of the land, saith Jehovah; but, lo, I will deliver the men every one into his neighbor’s hand, and into the hand of his king; and they shall smite the land, and out of their hand I will not deliver them.","Ram hluotuhai chu ka lunginsiet ta naw ding a ni sih a, LALPA chun a tih; nisienlakhawm, en ta, mihai chu, mi tin el chu mâni tuolbâwmhai kutah pêng ka ta, an lalhai kuta leh; chun, ram chu thâwng an ta, an kuta inthawk chun anni chu sansuok naw ningah,” tiin."
"So I fed the flock of slaughter, verily the poor of the flock. And I took unto me two staves; the one I called Beauty, and the other I called Bands; and I fed the flock.","Chuongchun, sathattu berâm ruol chu ka châwm a, berâm ruol chautak el nang chu. Chun, hmawl pahni ka lâk a, pakhat chu Ditsak kân bûk a, a dang chu Pumkhatna kân bûk a; chun, berâm ruol chu ka châwm tah a."
"And I cut off the three shepherds in one month; for my soul was weary of them, and their soul also loathed me.","Chun, thla khat sûngin berâmpu pathumhai chu ka pei thlâk a; ka lungrilin anni chu a nghawk a, anni lungril khawma kei an mi nghawk bawk sih a."
"Then said I, I will not feed you: that which dieth, let it die; and that which is to be cut off, let it be cut off; and let them that are left eat every one the flesh of another.","Chun, kei chun, “Châwm ta naw ning cheu, a thi thi chu thi sienla; pei thlâka um um chu pei thlâkin um sienla; a la damhai khawm chun anni le anni sa chu infatuo raw hai seh,” ka ta."
"And I took my staff Beauty, and cut it asunder, that I might break my covenant which I had made with all the peoples.","Chun, ka hmawl Ditsak chu ka lâk a, ka sât bawng tah a, hnamhai po po le ka thuthlung ka siem chu ka sût theina dingin."
And it was broken in that day; and thus the poor of the flock that gave heed unto me knew that it was the word of Jehovah.,"Chuongchun, chu ni chun sût a lo ni tah a, chuongchun, berâm ruol, nang kei mi pawisatu chun LALPA thu a nih ti i hriet a."
"And I said unto them, If ye think good, give me my hire; and if not, forbear. So they weighed for my hire thirty pieces of silver.","Chun, an kuoma chun, “In ngaia a ṭha chun ka hlaw chu mi pe unla, a ni naw chun, hrên el ro,” ka ta. Chuongchun, ka hlaw ding chun tangka sâwmthum an bûk tah a."
"And Jehovah said unto me, Cast it unto the potter, the goodly price that I was prized at by them. And I took the thirty pieces of silver, and cast them unto the potter, in the house of Jehovah.","Chun, LALPA chun ka kuomah, “Sum bâwmah the lût el rawh, man ṭhatak, annia ka man hi,” a tih a, chuong tangka sâwmthum chu ka lâk a, LALPA ina sum bâwma chun ka the lût tah a."
"Then I cut asunder mine other staff, even Bands, that I might break the brotherhood between Judah and Israel.","Chun, ka hmawl dang pakhat Pumkhatna chu ka sât bawng nâwk a, Juda le Israel inkâra inunauna chu ka suktan theina dingin."
"And Jehovah said unto me, Take unto thee yet again the instruments of a foolish shepherd.","Chun, LALPA chun ka kuomah, “Berâmpu invêt hmangruohai kha la la nâwk rawh."
"For, lo, I will raise up a shepherd in the land, who will not visit those that are cut off, neither will seek those that are scattered, nor heal that which is broken, nor feed that which is sound; but he will eat the flesh of the fat sheep, and will tear their hoofs in pieces.","En ta, rama chun Berâmpu pei thlâka umhai chu kankuo ngailo ding le, sukdara um chu zawng ngailo ding le, suktlieka um khawm chu sukdam ngailo ding chu, ka tungding nâwk ding a ni sih a; ama chun a hliem le a hrisêl khawm chu châwm chuong naw nih a, a thâu thâu sa chu fa lem a ta, an tinhai chu nawi tamtakin kei nawi a tih,” a ta."
"Woe to the worthless shepherd that leaveth the flock! the sword shall be upon his arm, and upon his right eye: his arm shall be clean dried up, and his right eye shall be utterly darkened.","Berâmpu, berâm ruol mâk- santu chung chu a va rik de! Kâwlhnâm chu a kut chunga chun um a ta. A mit changtieng chunga leh; A bân ṭâwl zo vawng a ta, A mit changtieng khawm chu inthim tlat a tih!"
"The burden of the word of Jehovah concerning Israel. Thus saith Jehovah, who stretcheth forth the heavens, and layeth the foundation of the earth, and formeth the spirit of man within him:","Israel chungthua LALPA thu phurrik chu, Vânhai chu kei- phar a, leihnuoi lungphûmhai chu phûm a, mihriem chu a sûnga a thlarau siempêktu LALPA chun hieng hin a tih:"
"Behold, I will make Jerusalem a cup of reeling unto all the peoples round about, and upon Judah also shall it be in the siege against Jerusalem.","“Ngai ta, a vêla hnamhai po po ta dingin Jerusalem chu inthinna noah siem ka ta, chun, Juda chunga khawm, Jerusalem inhuol nia chun chuong ang chu nîng a tih."
"And it shall come to pass in that day, that I will make Jerusalem a burdensome stone for all the peoples; all that burden themselves with it shall be sore wounded; and all the nations of the earth shall be gathered together against it.","Chu nia chun hieng hi hung nîng a ta, hnam po pohai ta dingin Jerusalem chu lung phurriksakah siem ka ta, chuonga amaa insukrik- tuhai po po nasataka sukhliem nîng an ta; chuongchun, hnuoi chunga hnam po pohai a chunga chun inhâwrkhâwm an tih,” tiin."
"In that day, saith Jehovah, I will smite every horse with terror, and his rider with madness; and I will open mine eyes upon the house of Judah, and will smite every horse of the peoples with blindness.","LALPA chun a tih, “Chu nia chun sakawr tin chu maktinain hrem ka ta, a chunga chuongtu chu invêt- nain; chun, Juda insûng chunga chun ka mit meng ka ta, hnam tin sakawr chu mit indelnain hrem ka tih."
"And the chieftains of Judah shall say in their heart, The inhabitants of Jerusalem are my strength in Jehovah of hosts their God.","Chun, Juda lalhai chun an lung- rilin, ‘An Pathien sipaihai LALPAA chun Jerusalem hluotuhai chu ka hrâtna an nih,’ la tîng an tih."
"In that day will I make the chieftains of Judah like a pan of fire among wood, and like a flaming torch among sheaves; and they shall devour all the peoples round about, on the right hand and on the left; and they of Jerusalem shall yet again dwell in their own place, even in Jerusalem.","“Chu nia chun Juda lalhai chu thing laia mei thuk ang le, buphal laia meiser angin siem ka ta; vawitienga le changtienga, an vêla hnam po pohai chu sukbo an ta; chun, Jerusalem chu ama hmun Jerusalem- a ngei chun a la chêng ding a nih,” tiin."
