en,hmr
"The word of Jehovah which came unto Zephaniah the son of Cushi, the son of Gedaliah, the son of Amariah, the son of Hezekiah, in the days of Josiah the son of Amon, king of Judah.","Juda lal Amon naupa Josia inlal laia, Hezekia naupa Amaria, chu naupa Gedalia, chu naupa Kusi naupa Zephania kuoma LALPA thu hung tlung chu."
"I will utterly consume all things from off the face of the ground, saith Jehovah.","“Leihnuoi chunga inthawkin thil tinrêng chu sukbohmang vawng ka tih,” LALPA chun a tih."
"I will consume man and beast; I will consume the birds of the heavens, and the fishes of the sea, and the stumblingblocks with the wicked; and I will cut off man from off the face of the ground, saith Jehovah.","“Mihriem le sa khawm sukbo- hmang ka ta, chunglêng vatehai le, tuisuorieta ngahai le mi khawhlohai insuithlûktir ka ta; chun, sukbo- hmang vawng ka ta; chun, leihnuoi chunga inthawk hin mihriem chu sât thlâng ka tih,” LALPA chun a tih."
"And I will stretch out my hand upon Judah, and upon all the inhabitants of Jerusalem; and I will cut off the remnant of Baal from this place, and the name of the Chemarim with the priests;","“Juda le Jerusalema chênghai po po chunga chun ka kut phar ka ta; thiempuhai laia milim bie hmingput le, Baal milim la um sunhai chu hi hmuna inthawk hin pei thlâng ka tih;"
"and them that worship the host of heaven upon the housetops; and them that worship, that swear to Jehovah and swear by Malcam;","chun, inchung sîpa inthawka vâna thil umhai chibai bûktuhai le, Milkom hminga inkhâmtuhai le, LALPA hminga ṭawng inkhâma betuhai le;"
"and them that are turned back from following Jehovah; and those that have not sought Jehovah, nor inquired after him.","LALPA zuinaa hnungkîrtuhai le, LALPA chu zawng ngai lo a, ama chanchin khawm indawn ngai lohai chu sât thlâng ka tih.”"
"Hold thy peace at the presence of the Lord Jehovah; for the day of Jehovah is at hand: for Jehovah hath prepared a sacrifice, he hath consecrated his guests.","Lalpa PATHIEN hmaihmaa chun to ṭhiep unla, LALPA ni chu a hnai ta hle sih a: LALPA chun inthawina chu a buotsai tah a, a mikhuolhai khawm chu a hlânthieng ta sih a."
"And it shall come to pass in the day of Jehovah’s sacrifice, that I will punish the princes, and the king’s sons, and all such as are clothed with foreign apparel.","Chun, LALPA inthawina hun sûng chun mi lienhai le lal naupasal- hai le ram dang incheinahaia inchei- tuhai po po chu hrem ka tih."
"And in that day I will punish all those that leap over the threshold, that fill their master’s house with violence and deceit.","Chun, chu ni chun hlêmna le nunsietna leia an hotuhai in suksip hlaktuhai, hrizâwl chunga inchâwm hlakhai chu hrem bawk ka tih."
"And in that day, saith Jehovah, there shall be the noise of a cry from the fish gate, and a wailing from the second quarter, and a great crashing from the hills.","Chun, chu ni chun nga kawt- khâra inthawk chun khêk ri nasatak um a ta, muolhaia inthawka kawi- hâwp ri nasatak le Misneha in- thawka ṭap inrûm ri nasatak um bawk a tih, LALPAIN a tih."
"Wail, ye inhabitants of Maktesh; for all the people of Canaan are undone; all they that were laden with silver are cut off.","Nangni Maktes hmuna chêng- hai, inrûm inrûm ro; Kanaan sum- dâwngtuhai po po chu hmangna bo an ni tah a, tangkaruoa inlamukhai po po khawm chu sât thlâk an ni ta sih a."
"And it shall come to pass at that time, that I will search Jerusalem with lamps; and I will punish the men that are settled on their lees, that say in their heart, Jehovah will not do good, neither will he do evil.","Chuong huna chun, Jerusalem chu khâwnvarhai sitin dap ka ta, mi an in kilkhâwrhaia chêng a, an lung- rila, “LALPA chun thil ṭha thaw naw nih a, thil ṭha naw khawm thaw chuong hliek naw ni,” tituhai chu hrem ka tih."
"And their wealth shall become a spoil, and their houses a desolation: yea, they shall build houses, but shall not inhabit them; and they shall plant vineyards, but shall not drink the wine thereof.","Chuongchun, an hausaknahai chu râllâk sum ang hung nîng a ta, an inhai chu râusan hung nîng a tih: anih, inhai chu bâwl hlak an ta chu, a hluo ruok chu hluo ngai naw ni hai a, grêphruihai khawm phun an ta, nisienlakhawm, chutaka a uoin chu dâwn dêr naw ni hai."
"The great day of Jehovah is near, it is near and hasteth greatly, even the voice of the day of Jehovah; the mighty man crieth there bitterly.","LALPA ni ropuitak chu a hnai tah a, LALPA ni râwlri ngei chu a hnai tah a, a tlung ṭêp a nih; chu huna chun mi thilthawtheitak chu rinumti- takin a khêk a nih."
"That day is a day of wrath, a day of trouble and distress, a day of wasteness and desolation, a day of darkness and gloominess, a day of clouds and thick darkness,","Chu ni chu lunginsenna ni, buoina le rinumna ni a na, sietna le sukrêmna ni, inthimna le lungzîngna ni, sûm zîngna le inthim sâmup ni,"
"a day of the trumpet and alarm, against the fortified cities, and against the high battlements.",in insâng kilkhâwr takhai chunga le khawpui kul neihai chunga suklâuna le tawtawrâwt mût ni chu a nih.
"And I will bring distress upon men, that they shall walk like blind men, because they have sinned against Jehovah; and their blood shall be poured out as dust, and their flesh as dung.","Chuongchun, mihriemhai chunga chun rinumna intlungtir ka ta, LALPA chungah thil an lo suksuol ta leiin mitdelhai angin lâwn an ta, an thisen chu pilvut anga bun- thlâk nîng a ta, an taksahai chu êk ang elin."
"Neither their silver nor their gold shall be able to deliver them in the day of Jehovah’s wrath; but the whole land shall be devoured by the fire of his jealousy: for he will make an end, yea, a terrible end, of all them that dwell in the land.","LALPA lunginsenna nia chun an tangkain amanih, an rângkachak- in amani khawm sansuok thei naw nih a; amiruokchu, ram pumpui chu a thîkna mei chun kâng hmang a tih; tâwpna chu, anih, rama chêngtuhai po po tâwpna râpthlâktak el chu ân tlungtir vak ding a ni sih a."
"Gather yourselves together, yea, gather together, O nation that hath no shame;","Nangni le nangni inkei khâwm unla, anih, inkei khâwm ro, aw inzakna hre lo hnamhai;"
"before the decree bring forth, before the day pass as the chaff, before the fierce anger of Jehovah come upon you, before the day of Jehovah’s anger come upon you.","thupêk chu lâk suok a ni hma hin, busi anga ni chu a liem el hma hin, in chunga LALPA lunginsenna ṭiumtak a hung tlung hma ngei hin, in chunga LALPA lunginsenna a hung tlung ni hma ngei hin."
"Seek ye Jehovah, all ye meek of the earth, that have kept his ordinances; seek righteousness, seek meekness: it may be ye will be hid in the day of Jehovah’s anger.","Nangni a rorêlnahai anga thaw- tu, hnuoi chunga zainêm po pohai, LALPA chu zawng ro; felna chu zawng unla, zainêmna chu zawng ro; LALPA lunginsenna nia chun thupa in um theina dingin."
"For Gaza shall be forsaken, and Ashkelon a desolation; they shall drive out Ashdod at noonday, and Ekron shall be rooted up.","Gaza chu mâksanin um a ta, Askelon chu râusanin, Asdod chu sûn changlai hnawt suok an ta, Ekron chu a zunga phawi dawk a ni ding a ni sih a."
"Woe unto the inhabitants of the sea-coast, the nation of the Cherethites! The word of Jehovah is against you, O Canaan, the land of the Philistines; I will destroy thee, that there shall be no inhabitant.","Kereth hnam, tuisuoriet panga chêngtuhai chu an chung a va rik de! Aw Kanaan, Philistin mihai ram, LALPA thu chu nangma chungah a hung tlung a nih; Suksieng ka ti cheh a, a hluotu che um naw ni hai."
"And the sea-coast shall be pastures, with cottages for shepherds and folds for flocks.","Tuisuoriet panghrûl chu ran ruolhai ta dinga inhai le, berâmpuhai ta dinga inhai umna hmun le ran ruol tlatna hmun hung nîng a tih."
"And the coast shall be for the remnant of the house of Judah; they shall feed their flocks thereupon; in the houses of Ashkelon shall they lie down in the evening; for Jehovah their God will visit them, and bring back their captivity.","Chu vakam hrûl chu Juda sûng- kuo a la um sunhai ta ding kha nîng a ta, chutaka chun an ran ruol chu intlattir tâng an ta, Askelon inhaia chun zânah riek an tih; LALPA an Pathien chun anni chu hung sir a ta, an sal intângna chu a hlîppêk ta ding a ni sih a."
"I have heard the reproach of Moab, and the revilings of the children of Ammon, wherewith they have reproached my people, and magnified themselves against their border.","Moab mihai hrilsietna le, Ammon thlahaiin an chierkhumnahai, ka mi- hai an hrilsieta an ramrihai ngeiah an vân suklien thu chu ka lo hriet a."
"Therefore as I live, saith Jehovah of hosts, the God of Israel, Surely Moab shall be as Sodom, and the children of Ammon as Gomorrah, a possession of nettles, and saltpits, and a perpetual desolation: the residue of my people shall make a prey of them, and the remnant of my nation shall inherit them.","Chuleiin, kei le kei insâlin, sipaihai LALPA, Israelhai Pathien chun a tih: “Matheiloin Moab chu Sodom ang hung nîng a ta, Ammon thlahai chu Gomorra, chikhurhai hmun le zakthlai bil râusan kumkhuo ang chu hung nîng a tih. Ka mi a la um sunhai chun anni chu suksieng an ta, ka mi a la um sunhai chun hluong an tih.”"
"This shall they have for their pride, because they have reproached and magnified themselves against the people of Jehovah of hosts.","Sipaihai LALPA mihai chunga chun anni chu an insuklienin, anni chu an lo hrilsiet ta leiin hi thil hi an chapopui dingin an hmu ding a nih."
"Jehovah will be terrible unto them; for he will famish all the gods of the earth; and men shall worship him, every one from his place, even all the isles of the nations.","An chunga chun LALPA chu ṭiumtak nîng a ta; hnuoi chunga pathienhai po po chu a sukbohmang ding a ni sih a; chuongchun, mihriem- hai chun ama chu be tâng an ta, mi tinin mâni hmun senga inthawk le, hnamhai po po chun mâni thlierkâr- haia inthawk chun."
"Ye Ethiopians also, ye shall be slain by my sword.",Nangni Ethiopia mihai khawm ka kâwlhnâma sât hlum nîng in tih.
"And he will stretch out his hand against the north, and destroy Assyria, and will make Nineveh a desolation, and dry like the wilderness.","Chun, ama chun hmârtienga chun a bân phar a ta, Assuria chu suksieng a ta; Ninevi chu râusan le thlalêr anga ṭâwlin siem a tih."
"And herds shall lie down in the midst of her, all the beasts of the nations: both the pelican and the porcupine shall lodge in the capitals thereof; their voice shall sing in the windows; desolation shall be in the thresholds: for he hath laid bare the cedar-work.","A sûnga chun ran ruolhai riek an ta, ran chi tinrênghai chu: kai- kuongrâl le saku chu, a khawpui laia chun riek an ta, an râwlhai chu tukvera inthawka hriet nîng a ta: sidar thinga remhai khawm chu a sukruok ta sih a."
"This is the joyous city that dwelt carelessly, that said in her heart, I am, and there is none besides me: how is she become a desolation, a place for beasts to lie down in! every one that passeth by her shall hiss, and wag his hand.","Hi hi khawpui hlim, fîmkhur lotaka khawsa a, a lungrila, “Kei ka nih, kei naw chu tu dang khawm an um nawh,” titu chu: iengtiziea râusana umin ran ruol riekna hmun a hung ni el am a ni ta leh aw! tukhawm a fe khêl taphawt chun inhlîp an ta, an kut thinkhum an tih."
Woe to her that is rebellious and polluted! to the oppressing city!,"Khawpui nêksâwra um, sukpawr- chea um le hela um chu a chung a va rik de!"
She obeyed not the voice; she received not correction; she trusted not in Jehovah; she drew not near to her God.,"Ama chun râwl chu a pawisa nawh a, sukdikna chu a pawm nawh a, LALPA khawm chu a ring nawh a; a Pathien khawm chu a hung hnai bawk nawh a."
Her princes in the midst of her are roaring lions; her judges are evening wolves; they leave nothing till the morrow.,A sûnga chun a mi ṭhahai chu sakeibaknei inrûm lai ang an na; a rorêltuhai chu zâna sihalhai ang an nih; a zînga chen dingin iengkhawm an hla naw a nih.
"Her prophets are light and treacherous persons; her priests have profaned the sanctuary, they have done violence to the law.","A zâwlneihai khawm chu mi ngaisam le mi khawhlo an na, a thiempuhai hlak chun hmun inthieng chu an sukpawrche tah a, dâna chun inpâwngnêkna chu an hmang ta a nih."
"Jehovah in the midst of her is righteous; he will not do iniquity; every morning doth he bring his justice to light, he faileth not; but the unjust knoweth no shame.","Ama sûnga chun LALPA chu mi indik a na; rîtlona chu thaw naw ni; zîng tinin a rorêlna chu varah a hung lâk suok a, a thlâwn ngai hrim hrim nawh a; amiruokchu, mi fel naw chun inzakna a hriet naw a nih."
"I have cut off nations; their battlements are desolate; I have made their streets waste, so that none passeth by; their cities are destroyed, so that there is no man, so that there is no inhabitant.","Hnamhai chu ka sât thlâk a, an in insânghai chen khawm chu râu- sanin a um tah a; an kawtthlêrhai chu ka suksiet vawng a, tukhawma an hraw ta nawh a; an khawpuihai chu suksietin a um a, chuongchun, mi an um ta nawh a, a hluotu khawm an um ta nawh."
"I said, Only fear thou me; receive correction; so her dwelling shall not be cut off, according to all that I have appointed concerning her: but they rose early and corrupted all their doings.","Ama chungthua ka lo ruot ta ang po poin, a chêngna chu sât thlâk a ni nawna dingin. “Matheiloin kei mi ṭîng i ta, sukdikna chu hmu bawk i tih,” ka ta; nisienlakhawm, zîngkâr an tho a, an thilthawhai po poa chun an sukdik nawh a."
"Therefore wait ye for me, saith Jehovah, until the day that I rise up to the prey; for my determination is to gather the nations, that I may assemble the kingdoms, to pour upon them mine indignation, even all my fierce anger; for all the earth shall be devoured with the fire of my jealousy.","LALPA chun, “Chuleichun, kei mi nghâk unla, sase se dinga ka tho ni hmakhat chun, ka thiltum chu, ka lunginsenna ṭium tak le ka lungin- thak nasatak chu bun khum dinga ramhai ka kei khâwm theina dingin hnamhai kei khâwm chu a ni sih a; leihnuoi hluo po po chu ka îtthîkna mei chun a kâng hmang ding a ni sih a."
"For then will I turn to the peoples of a pure language, that they may all call upon the name of Jehovah, to serve him with one consent.","Chun, chutaka inthawk chun hmûr inthieng put chihai kuoma chun kîr nâwk ka ta, lungril hmun- khata a rawng bâwl dinga LALPA hming chu an rênga an lam theina dingin."
"From beyond the rivers of Ethiopia my suppliants, even the daughter of my dispersed, shall bring mine offering.","Ethiopia vadunghai khêla in- thawk chun ka riminhnik rawtuhai, ka hnawtdarhai naunuhmeihai ngei chun, ka thil inhlânhai chu hung chawi an ta."
